Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,725","1,482","1,656","1,845","1,456","1,416",788.95,718.89,671.01,483.7,414.81
Revenue Growth (YoY),17.19%,-10.49%,-10.27%,26.75%,2.83%,79.46%,9.74%,7.13%,38.72%,16.61%,12.93%
Cost of Revenue,"1,069",948.29,"1,061","1,170",923.63,873.96,473.3,353.29,314.63,230.56,197.94
Gross Profit,655.85,533.75,594.97,675.51,532.32,541.87,315.65,365.61,356.38,253.15,216.87
"Selling, General & Admin",238.15,224.75,221.44,218.14,191.18,188.59,142.56,108.03,93.26,77.68,66.1
Research & Development,228.43,211.83,202.44,191.02,161.83,143.96,101.5,76.01,58,44.45,39.55
Amortization of Goodwill & Intangibles,22.25,26.05,28.25,26.11,22.06,20.13,12.17,5.77,4.35,4.17,4.37
Other Operating Expenses,2.24,2.24,0.4,-,-,-,-,-,-,-,-
Operating Expenses,491.07,464.87,452.53,435.28,375.07,352.68,256.23,189.82,155.61,126.29,110.02
Operating Income,164.78,68.88,142.44,240.23,157.25,189.19,59.43,175.79,200.77,126.86,106.85
Interest Expense,-17.21,-25.11,-16.57,-7.33,-3.58,-5.75,-3.42,-0.23,-0.07,-0.1,-0.9
Interest & Investment Income,27.26,42.86,27.09,4.15,0.45,-,-,-,-,-,-
Currency Exchange Gain (Loss),3.43,1.93,0.09,-,-,-,-,-,-1.44,-0.57,1.86
Other Non Operating Income (Expenses),-5.7,-3.7,-1.44,11.5,0.83,-10.83,2.13,1.53,-0.95,2.21,-3.19
EBT Excluding Unusual Items,172.56,84.86,151.61,248.56,154.96,172.61,58.14,177.1,198.31,128.4,104.62
Merger & Restructuring Charges,-20.58,-32.48,-27.71,-6.81,-4.75,-13.17,-5.04,-4.24,-,-,-0.2
Gain (Loss) on Sale of Assets,-,-,-,-,-1.5,-1.3,14.1,-0.48,-0.12,-0.32,1.02
Asset Writedown,-,-,-1.45,-,-,-,-,-,-,-,-
Pretax Income,151.98,52.38,122.46,241.74,148.71,158.15,67.19,172.38,198.19,128.08,105.44
Income Tax Expense,6.17,-3.93,-8.29,39.85,14,23,10.7,25.23,62.09,11.13,21.96
Earnings From Continuing Operations,145.81,56.31,130.75,201.89,134.71,135.15,56.5,147.15,136.1,116.95,83.48
Earnings From Discontinued Operations,-0.79,-2.09,-2.47,-2.22,0.07,-0.42,8.48,-0.04,1.76,10.51,-241.97
Net Income to Company,145.01,54.21,128.28,199.68,134.78,134.73,64.98,147.11,137.86,127.45,-158.49
Minority Interest in Earnings,-,-,-,-0.02,-0.04,-0.06,-0.03,-0.09,-,-,-
Net Income,145.01,54.21,128.28,199.66,134.74,134.68,64.94,147.03,137.86,127.45,-158.49
Net Income to Common,145.01,54.21,128.28,199.66,134.74,134.68,64.94,147.03,137.86,127.45,-158.49
Net Income Growth,238.80%,-57.74%,-35.75%,48.19%,0.04%,107.38%,-55.83%,6.65%,8.16%,-,-
Shares Outstanding (Basic),38,37,37,37,38,38,38,39,40,40,41
Shares Outstanding (Diluted),38,38,38,38,38,39,38,39,40,40,41
Shares Change (YoY),0.92%,0.24%,0.08%,-1.65%,-0.48%,0.12%,-2.18%,-2.05%,0.36%,-2.55%,0.10%
EPS (Basic),3.86,1.45,3.42,5.33,3.53,3.52,1.70,3.76,3.47,3.21,-3.89
EPS (Diluted),3.81,1.43,3.39,5.29,3.51,3.50,1.69,3.74,3.43,3.18,-3.86
EPS Growth,236.95%,-57.74%,-35.84%,50.67%,0.37%,107.01%,-54.79%,8.89%,7.90%,-,-
Free Cash Flow,152.66,73.96,147.93,124.7,111.43,164.87,23.2,130.94,173.66,112.47,100.7
Free Cash Flow Per Share,4.01,1.96,3.92,3.31,2.90,4.28,0.60,3.33,4.32,2.81,2.45
Dividend Per Share,0.400,0.400,0.400,0.400,0.400,-,-,-,-,-,-
Gross Margin,38.02%,36.02%,35.93%,36.60%,36.56%,38.27%,40.01%,50.86%,53.11%,52.34%,52.28%
Operating Margin,9.55%,4.65%,8.60%,13.02%,10.80%,13.36%,7.53%,24.45%,29.92%,26.23%,25.76%
Profit Margin,8.41%,3.66%,7.75%,10.82%,9.25%,9.51%,8.23%,20.45%,20.54%,26.35%,-38.21%
Free Cash Flow Margin,8.85%,4.99%,8.93%,6.76%,7.65%,11.64%,2.94%,18.21%,25.88%,23.25%,24.27%
EBITDA,228.23,137.33,208.98,300.53,210.15,236.96,85.57,189.38,210.19,134.67,115.69
EBITDA Margin,13.23%,9.27%,12.62%,16.29%,14.43%,16.74%,10.85%,26.34%,31.32%,27.84%,27.89%
D&A For EBITDA,63.46,68.46,66.53,60.3,52.89,47.77,26.15,13.59,9.42,7.81,8.83
EBIT,164.78,68.88,142.44,240.23,157.25,189.19,59.43,175.79,200.77,126.86,106.85
EBIT Margin,9.55%,4.65%,8.60%,13.02%,10.80%,13.36%,7.53%,24.45%,29.92%,26.23%,25.76%
Effective Tax Rate,4.06%,-,-,16.48%,9.42%,14.54%,15.92%,14.64%,31.33%,8.69%,20.83%
Revenue as Reported,-,-,-,-,-,-,-,718.89,671.01,483.7,414.81
