Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,643","4,356","4,061","3,207","3,430","3,711","2,728","1,652","2,676","2,173","1,159"
Market Cap Growth,88.24%,7.28%,26.63%,-6.51%,-7.57%,36.07%,65.07%,-38.26%,23.15%,87.55%,21.92%
Enterprise Value,"7,567","4,361","4,102","3,285","3,390","3,725","2,843","1,311","2,306","1,923",960
Last Close Price,202.48,115.36,108.27,84.92,89.74,95.15,69.87,42.13,66.22,53.72,27.70
PE Ratio,52.80,80.35,31.65,16.06,25.46,27.56,42.00,11.24,19.41,17.05,-
Forward PE,27.67,25.48,22.17,15.96,20.05,18.19,22.34,11.63,13.59,17.25,16.16
PS Ratio,4.41,2.94,2.45,1.74,2.36,2.62,3.46,2.30,3.99,4.49,2.79
PB Ratio,5.84,3.62,3.55,3.01,3.94,4.55,4.03,2.72,5.14,5.54,4.40
P/TBV Ratio,8.65,5.67,5.81,5.39,6.87,8.52,9.41,3.67,6.18,6.75,6.21
P/FCF Ratio,50.06,58.90,27.45,25.72,30.78,22.51,117.55,12.62,15.41,19.32,11.51
P/OCF Ratio,32.47,33.32,19.43,17.47,24.46,18.44,56.36,10.92,14.65,18.22,11.07
PEG Ratio,0.83,1.25,1.25,1.25,1.25,1.25,1.25,1.16,1.13,0.58,0.94
EV/Sales Ratio,4.39,2.94,2.48,1.78,2.33,2.63,3.60,1.82,3.44,3.98,2.31
EV/EBITDA Ratio,33.15,31.76,19.63,10.93,16.13,15.72,33.22,6.92,10.97,14.28,8.30
EV/EBIT Ratio,45.92,63.32,28.80,13.68,21.56,19.69,47.84,7.46,11.49,15.16,8.98
EV/FCF Ratio,49.57,58.97,27.73,26.35,30.43,22.59,122.52,10.01,13.28,17.10,9.53
Debt / Equity Ratio,0.52,0.56,0.89,0.45,0.58,0.53,0.66,-,-,-,-
Debt / EBITDA Ratio,2.63,4.09,4.34,1.48,2.13,1.66,4.42,-,-,-,-
Debt / FCF Ratio,4.47,9.08,6.91,3.89,4.52,2.64,19.30,-,-,-,-
Asset Turnover,0.75,0.62,0.73,0.97,0.84,0.89,0.67,0.93,1.03,0.94,0.72
Inventory Turnover,2.75,2.72,2.98,3.28,3.30,3.87,2.89,4.01,4.69,4.26,4.01
Quick Ratio,2.89,3.14,3.95,1.94,2.12,2.44,1.87,4.12,4.70,3.83,2.26
Current Ratio,4.10,4.42,5.10,3.02,3.14,3.31,2.71,5.15,5.61,4.61,3.10
Return on Equity (ROE),11.80%,4.80%,11.83%,20.84%,15.97%,18.11%,8.80%,26.09%,29.82%,35.67%,22.61%
Return on Assets (ROA),4.45%,1.79%,3.91%,7.88%,5.67%,7.44%,3.16%,14.18%,19.23%,15.33%,11.64%
Return on Capital (ROIC),5.40%,2.13%,4.79%,10.26%,7.49%,9.96%,4.29%,19.48%,27.50%,24.19%,18.09%
Return on Capital Employed (ROCE),8.00%,3.50%,6.40%,15.00%,10.90%,14.00%,4.90%,24.90%,32.00%,26.60%,29.80%
Earnings Yield,1.90%,1.24%,3.16%,6.23%,3.93%,3.63%,2.38%,8.90%,5.15%,5.87%,-13.68%
FCF Yield,2.00%,1.70%,3.64%,3.89%,3.25%,4.44%,0.85%,7.92%,6.49%,5.18%,8.69%
Dividend Yield,0.20%,0.35%,0.37%,0.47%,0.45%,-,-,-,-,-,-
Payout Ratio,10.49%,28.35%,11.87%,7.61%,11.42%,-,-,-,-,-,-
Buyback Yield / Dilution,-0.92%,-0.24%,-0.08%,1.65%,0.48%,-0.12%,2.18%,2.05%,-0.36%,2.55%,-0.10%
Total Shareholder Return,-0.72%,0.11%,0.29%,2.12%,0.93%,-0.12%,2.18%,2.05%,-0.36%,2.55%,-0.10%
