Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,52.08,89.14,60.08,127.68,59.25,100.85,62.29,49.54,34.24,6.54,34.87
Short-Term Investments,363.97,231.43,215.77,205.61,235.61,71.94,230.17,202.52,113.85,4,-
Cash & Short-Term Investments,416.05,320.57,275.85,333.29,294.86,172.79,292.46,252.06,148.08,10.54,34.87
Cash Growth,39.43%,16.21%,-17.23%,13.04%,70.64%,-40.92%,16.03%,70.22%,1305.35%,-69.78%,22840.13%
Receivables,33.03,18.51,14.87,6.22,1.03,-,-,-,-,-,-
Inventory,22.11,18.74,8.62,2.92,0.11,-,-,-,-,-,-
Other Current Assets,-,16.38,8.93,11.81,12.4,8.88,9.95,6.63,2.59,0.64,0.62
Total Current Assets,494.8,374.2,308.27,354.24,308.39,181.67,302.4,258.69,150.67,11.18,35.49
"Property, Plant & Equipment",3.4,4.11,2.12,3.38,4.34,5,5.72,1.12,0.84,0.93,0.02
Other Intangible Assets,5.53,6.17,7.03,7.88,4.66,-,-,-,-,-,-
Long-Term Deferred Charges,-,6.21,12.59,-,-,-,-,-,-,0.01,1.48
Other Long-Term Assets,3.14,1.58,2.73,16.98,12.14,0.4,0.4,0.4,0.23,0.23,0.29
Total Assets,506.87,392.27,332.75,382.48,329.52,187.07,308.52,260.21,151.74,12.34,37.28
Accounts Payable,13.63,12.33,4.89,4.8,5.74,4.9,10.42,7.64,2.43,1.9,1.43
Accrued Expenses,81.06,58.31,42.85,30.48,29.26,12.56,13.53,5.94,4.21,2.76,3.6
Current Portion of Long-Term Debt,5.56,1.54,-,-,-,-,-,-,-,-,-
Current Portion of Leases,0.62,-,0.77,0.68,0.61,0.54,0.47,-,-,-,-
Current Unearned Revenue,-,1.29,1.29,1.43,7,-,-,-,-,-,0.25
Other Current Liabilities,3.4,42.05,5.41,2.42,0.83,-,-,-,0.08,0.08,-
Total Current Liabilities,104.27,115.52,55.2,39.81,43.43,17.99,24.42,13.58,6.72,4.73,5.27
Long-Term Debt,103.41,108.27,106.14,75.81,-,-,-,-,-,-,-
Long-Term Leases,3.52,3.94,0.49,1.26,1.95,2.55,3.09,-,-,-,-
Other Long-Term Liabilities,-,-,1.15,1.34,-,-,-,0.37,0.23,0.31,-
Total Liabilities,211.19,227.72,162.99,118.22,45.37,20.55,27.5,13.95,6.95,5.04,5.27
Common Stock,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.01,0.09
Additional Paid-In Capital,"1,454","1,177","1,064",974.36,813.04,625.76,606.31,430.82,255.01,43.83,42.58
Retained Earnings,"-1,304","-1,155",-894.74,-710.06,-528.94,-459.33,-325.33,-184.6,-110.25,-76.54,-50.67
Comprehensive Income & Other,-0.93,-0.04,0.13,-0.09,-0,0.05,-,-,-,-,-
Total Common Equity,148.82,21.73,169.76,264.26,284.15,166.53,281.02,246.26,144.79,-32.7,-8
Shareholders' Equity,295.68,164.55,169.76,264.26,284.15,166.53,281.02,246.26,144.79,7.3,32
Total Liabilities & Equity,506.87,392.27,332.75,382.48,329.52,187.07,308.52,260.21,151.74,12.34,37.28
Total Debt,113.1,113.75,107.4,77.75,2.55,3.09,3.56,-,-,-,-
Net Cash (Debt),302.95,206.82,168.44,255.53,292.3,169.71,288.9,252.06,148.08,10.54,34.87
Net Cash Growth,63.65%,22.78%,-34.08%,-12.58%,72.24%,-41.26%,14.62%,70.22%,1305.35%,-69.78%,22840.13%
Net Cash Per Share,4.76,3.39,2.92,4.90,5.89,3.85,7.93,8.13,11.16,1.03,3.42
Filing Date Shares Outstanding,66.74,63.22,60.14,56.75,50.33,50.18,44.06,34.43,27.53,10.2,10.2
Total Common Shares Outstanding,66.68,62.39,59.43,56.61,50.28,44.24,44,34.41,27.28,10.2,10.2
Working Capital,390.54,258.68,253.07,314.43,264.96,163.67,277.99,245.11,143.95,6.44,30.22
Book Value Per Share,2.23,0.35,2.86,4.67,5.65,3.76,6.39,7.16,5.31,-3.21,-0.78
Tangible Book Value,143.28,15.56,162.73,256.38,279.49,166.53,281.02,246.26,144.79,-32.7,-8
Tangible Book Value Per Share,2.15,0.25,2.74,4.53,5.56,3.76,6.39,7.16,5.31,-3.21,-0.78
Machinery,-,2.69,2.7,2.65,2.37,1.93,1.72,0.83,0.32,0.18,-
Leasehold Improvements,-,2.71,2.71,2.71,2.71,2.71,2.71,1.1,0.89,0.89,0.02
