Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,174.33,130.13,77.43,23.64,3.15,-,-,-,-,-,-
Revenue Growth (YoY),54.92%,68.06%,227.56%,649.46%,-,-,-,-,-,-,-
Cost of Revenue,18.48,13.37,9.3,2.13,0.6,-,-,-,-,-,-
Gross Profit,155.86,116.76,68.13,21.51,2.56,-,-,-,-,-,-
"Selling, General & Admin",175.59,144.3,117.53,92.03,68.49,46.13,36.55,28.08,9.52,6.31,3.43
Research & Development,166.48,237.96,134.95,108.63,104.13,90.45,109.45,50.34,22.89,19.59,7.15
Operating Expenses,342.07,382.26,252.48,200.66,172.61,136.58,146,78.42,32.41,25.91,10.57
Operating Income,-186.21,-265.5,-184.36,-179.16,-170.06,-136.58,-146,-78.42,-32.41,-25.91,-10.57
Interest Expense,-21.42,-20.6,-13.89,-5.2,-,-,-,-,-,-,-
Interest & Investment Income,14.72,14.71,13.95,4.03,0.45,2.58,5.27,4.35,0.57,0.03,-
Other Non Operating Income (Expenses),9.91,11.14,0.19,0.25,100,-,-,-,-1.86,-,-0.5
EBT Excluding Unusual Items,-182.99,-260.26,-184.11,-180.08,-69.61,-134,-140.73,-74.06,-33.71,-25.87,-11.07
Gain (Loss) on Sale of Investments,-,-,-,-1.04,-,-,-,-,-,-,-
Pretax Income,-191.89,-260.26,-184.11,-181.12,-69.61,-134,-140.73,-74.06,-33.71,-25.87,-11.07
Income Tax Expense,0.44,0.35,0.56,-,-,-,-,-,-,-,-
Net Income,-192.33,-260.6,-184.68,-181.12,-69.61,-134,-140.73,-74.06,-33.71,-25.87,-11.07
Preferred Dividends & Other Adjustments,5.39,3.97,-,-,-,-,-,-,3.87,3.2,0.93
Net Income to Common,-197.71,-264.57,-184.68,-181.12,-69.61,-134,-140.73,-74.06,-37.58,-29.07,-12
Shares Outstanding (Basic),64,61,58,52,50,44,36,31,13,10,10
Shares Outstanding (Diluted),64,61,58,52,50,44,36,31,13,10,10
Shares Change (YoY),5.39%,5.76%,10.65%,5.08%,12.40%,21.15%,17.48%,133.68%,30.13%,-,-
EPS (Basic),-3.11,-4.34,-3.20,-3.47,-1.40,-3.04,-3.86,-2.39,-2.83,-2.85,-1.18
EPS (Diluted),-3.11,-4.34,-3.20,-3.47,-1.40,-3.04,-3.86,-2.39,-2.83,-2.85,-1.18
Free Cash Flow,-109.13,-113.88,-136.2,-173.71,-146.44,-122.19,-126.14,-62.78,-29.59,-24.28,-6.77
Free Cash Flow Per Share,-1.71,-1.87,-2.36,-3.33,-2.95,-2.77,-3.46,-2.02,-2.23,-2.38,-0.66
Gross Margin,89.40%,89.73%,87.99%,90.98%,81.01%,-,-,-,-,-,-
Operating Margin,-106.81%,-204.04%,-238.10%,-757.92%,-5391.85%,-,-,-,-,-,-
Profit Margin,-113.41%,-203.32%,-238.52%,-766.22%,-2207.10%,-,-,-,-,-,-
Free Cash Flow Margin,-62.60%,-87.51%,-175.91%,-734.87%,-4642.90%,-,-,-,-,-,-
EBITDA,-184.76,-263.94,-182.6,-177.49,-168.9,-135.89,-145.17,-77.98,-32.19,-25.76,-
EBITDA Margin,-105.98%,-202.83%,-235.83%,-,-,-,-,-,-,-,-
D&A For EBITDA,1.45,1.56,1.76,1.67,1.16,0.69,0.83,0.44,0.22,0.14,-
EBIT,-186.21,-265.5,-184.36,-179.16,-170.06,-136.58,-146,-78.42,-32.41,-25.91,-10.57
EBIT Margin,-106.81%,-204.04%,-238.10%,-,-,-,-,-,-,-,-
Revenue as Reported,174.33,130.13,77.43,23.64,3.15,-,-,-,-,-,-
