Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,634","3,440","2,717","1,641",502,"1,314","1,009",925,793,-,-
Market Cap Growth,119.05%,26.64%,65.56%,227.08%,-61.83%,30.31%,9.04%,16.66%,-,-,-
Enterprise Value,"6,331","3,397","2,419","1,295",176,"1,116",850,653,843,-,-
Last Close Price,99.41,55.98,45.97,29.12,9.98,29.73,22.96,26.88,29.06,-,-
PS Ratio,36.30,26.44,35.09,69.42,159.06,-,-,-,-,-,-
PB Ratio,44.55,20.91,16.00,6.21,1.77,7.89,3.59,3.76,5.48,-,-
P/TBV Ratio,46.30,221.17,16.69,6.40,1.80,7.89,3.59,3.76,5.48,-,-
EV/Sales Ratio,36.32,26.10,31.24,54.79,55.81,-,-,-,-,-,-
Debt / Equity Ratio,0.38,0.69,0.63,0.29,0.01,0.02,0.01,-,-,-,-
Asset Turnover,0.40,0.36,0.22,0.07,0.01,-,-,-,-,-,-
Inventory Turnover,1.03,0.98,1.61,1.41,-,-,-,-,-,-,-
Quick Ratio,4.31,2.94,5.27,8.53,6.81,9.60,11.98,18.56,22.04,2.23,6.61
Current Ratio,4.75,3.24,5.58,8.90,7.10,10.10,12.39,19.05,22.42,2.36,6.73
Return on Equity (ROE),-85.79%,-155.91%,-85.10%,-66.05%,-30.89%,-59.88%,-53.38%,-37.88%,-44.33%,-131.67%,-69.99%
Return on Assets (ROA),-26.74%,-45.77%,-32.22%,-31.45%,-41.15%,-34.45%,-32.09%,-23.79%,-24.69%,-65.27%,-35.27%
Return on Capital (ROIC),-34.49%,-59.75%,-37.22%,-35.62%,-46.59%,-37.59%,-34.38%,-25.07%,-26.64%,-82.40%,-41.77%
Return on Capital Employed (ROCE),-46.30%,-95.90%,-66.40%,-52.30%,-59.40%,-80.80%,-51.40%,-31.80%,-22.40%,-340.50%,-33.00%
Earnings Yield,-2.98%,-7.58%,-6.80%,-11.04%,-13.88%,-10.20%,-13.95%,-8.01%,-4.25%,-,-
FCF Yield,-1.64%,-3.31%,-5.01%,-10.59%,-29.19%,-9.30%,-12.51%,-6.79%,-3.73%,-,-
Buyback Yield / Dilution,-5.39%,-5.76%,-10.65%,-5.08%,-12.40%,-21.15%,-17.48%,-133.68%,-30.13%,-,-
