Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018"
Revenue,573.12,540.66,476.54,408.32,273.87,204.29,138.18,91.53,58.14
Revenue Growth (YoY),13.24%,13.45%,16.71%,49.09%,34.05%,47.85%,50.96%,57.43%,-
Cost of Revenue,227.93,215.87,191.3,169.28,111.41,88.14,64.07,46.45,30.47
Gross Profit,345.19,324.79,285.24,239.04,162.45,116.16,74.11,45.08,27.67
"Selling, General & Admin",214.81,200.89,201.77,200.24,134.11,100.5,66.98,46.07,29.89
Research & Development,129.15,129.42,116.96,119.58,79.36,58.26,35.3,22.23,16.56
Operating Expenses,343.97,330.31,318.72,319.82,213.48,158.77,102.28,68.3,46.45
Operating Income,1.23,-5.52,-33.48,-80.78,-51.03,-42.61,-28.17,-23.22,-18.78
Interest Expense,-14.35,-8.76,-4.14,-2.81,-1.51,-0.13,-,-,-
Interest & Investment Income,1.77,1.76,2.57,0.4,0.19,0.36,0.99,1.19,0.26
Currency Exchange Gain (Loss),5.3,-10.5,-1.2,-1.4,-2,1.5,-0.04,-0.1,-0.01
Other Non Operating Income (Expenses),1.68,0.07,0.34,0.04,0.72,0.19,0.07,0.01,-0.02
EBT Excluding Unusual Items,-4.37,-22.95,-35.91,-84.54,-53.62,-40.68,-27.15,-22.11,-18.54
Merger & Restructuring Charges,-18.23,-12.25,-1.51,-7.08,-10.01,-,-,-,-
Legal Settlements,-0.37,-0.37,-4.53,-6.15,-10.33,-,-,-,-
Pretax Income,-22.97,-35.56,-41.94,-97.77,-73.95,-40.68,-27.15,-22.11,-18.54
Income Tax Expense,4.46,-2.51,1.59,4.07,-23.83,0.59,0.59,0.19,0.05
Earnings From Continuing Operations,-27.43,-33.05,-43.53,-101.84,-50.12,-41.27,-27.74,-22.31,-18.59
Minority Interest in Earnings,-6.13,-4.83,1.18,-0.88,0.68,0.73,0.14,-,-
Net Income,-33.56,-37.88,-42.35,-102.72,-49.45,-40.54,-27.59,-22.31,-18.59
Net Income to Common,-33.56,-37.88,-42.35,-102.72,-49.45,-40.54,-27.59,-22.31,-18.59
Shares Outstanding (Basic),115,115,113,111,97,88,78,75,-
Shares Outstanding (Diluted),115,115,113,111,97,88,78,75,-
Shares Change (YoY),1.10%,2.21%,1.86%,14.36%,10.32%,11.95%,4.99%,-,-
EPS (Basic),-0.29,-0.33,-0.38,-0.93,-0.51,-0.46,-0.35,-0.30,-
EPS (Diluted),-0.29,-0.33,-0.38,-0.93,-0.51,-0.46,-0.35,-0.30,-
Free Cash Flow,59.77,52.93,53.41,-34.28,-24.69,4.88,-14.76,-12.55,-18.8
Free Cash Flow Per Share,0.52,0.46,0.47,-0.31,-0.26,0.06,-0.19,-0.17,-
Gross Margin,60.23%,60.07%,59.86%,58.54%,59.32%,56.86%,53.63%,49.25%,47.59%
Operating Margin,0.21%,-1.02%,-7.03%,-19.78%,-18.63%,-20.86%,-20.39%,-25.36%,-32.29%
Profit Margin,-5.85%,-7.01%,-8.89%,-25.16%,-18.05%,-19.84%,-19.97%,-24.37%,-31.97%
Free Cash Flow Margin,10.43%,9.79%,11.21%,-8.40%,-9.02%,2.39%,-10.68%,-13.71%,-32.33%
EBITDA,41.76,30.83,11.78,-46.13,-41.02,-35.18,-23.56,-21.76,-17.81
EBITDA Margin,7.29%,5.70%,2.47%,-11.30%,-14.98%,-17.22%,-17.05%,-23.77%,-30.62%
D&A For EBITDA,40.53,36.35,45.26,34.65,10.01,7.43,4.61,1.46,0.97
EBIT,1.23,-5.52,-33.48,-80.78,-51.03,-42.61,-28.17,-23.22,-18.78
EBIT Margin,0.21%,-1.02%,-7.03%,-19.78%,-18.63%,-20.86%,-20.39%,-25.36%,-32.29%
Revenue as Reported,573.12,540.66,476.54,408.32,273.87,204.29,138.18,91.53,58.14
