Period Ending,"Nov '25Nov 18, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018"
Market Capitalization,"2,854","3,938","3,561","3,176","5,029","6,618",-,-,-
Market Cap Growth,-33.80%,10.58%,12.15%,-36.85%,-24.01%,-,-,-,-
Enterprise Value,"3,000","3,921","3,529","3,150","4,696","6,243",-,-,-
Last Close Price,24.83,34.01,31.48,28.60,45.83,71.70,-,-,-
Forward PE,28.57,40.55,60.82,146.97,-,-,-,-,-
PS Ratio,4.99,7.28,7.47,7.78,18.36,32.39,-,-,-
PB Ratio,2.71,3.59,3.38,3.09,4.70,15.43,-,-,-
P/TBV Ratio,-,-,37.59,99.82,109.28,19.19,-,-,-
P/FCF Ratio,47.75,74.40,66.68,-,-,1354.94,-,-,-
P/OCF Ratio,42.08,71.35,62.17,-,-,717.58,-,-,-
EV/Sales Ratio,5.23,7.25,7.41,7.72,17.15,30.56,-,-,-
EV/EBITDA Ratio,71.84,127.22,299.49,-,-,-,-,-,-
EV/FCF Ratio,50.20,74.08,66.06,-,-,1278.28,-,-,-
Debt / Equity Ratio,0.25,0.22,0.07,0.09,0.05,0.04,-,-,-
Debt / EBITDA Ratio,5.42,6.09,3.88,-,-,-,-,-,-
Debt / FCF Ratio,4.51,4.47,1.39,-,-,3.33,-,-,-
Asset Turnover,0.38,0.37,0.36,0.31,0.29,0.50,0.75,0.79,-
Quick Ratio,0.89,1.06,1.05,0.89,0.93,3.70,1.77,2.00,3.03
Current Ratio,1.03,1.20,1.17,1.01,1.05,3.82,1.90,2.08,3.12
Return on Equity (ROE),-2.56%,-3.07%,-4.18%,-9.71%,-6.69%,-13.74%,-23.34%,-30.97%,-
Return on Assets (ROA),0.05%,-0.23%,-1.57%,-3.84%,-3.42%,-6.55%,-9.51%,-12.46%,-
Return on Capital (ROIC),0.06%,-0.28%,-1.86%,-4.50%,-4.08%,-8.63%,-14.82%,-20.15%,-
Return on Capital Employed (ROCE),0.10%,-0.40%,-3.00%,-7.20%,-4.50%,-9.50%,-16.20%,-34.40%,-24.10%
Earnings Yield,-1.18%,-0.96%,-1.19%,-3.23%,-0.98%,-0.61%,-,-,-
FCF Yield,2.09%,1.34%,1.50%,-1.08%,-0.49%,0.07%,-,-,-
Buyback Yield / Dilution,-1.10%,-2.21%,-1.86%,-14.36%,-10.32%,-11.95%,-4.99%,-,-
