Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018"
Cash & Equivalents,122.94,120.93,112.09,82.04,88.01,371.43,91.18,74.35,80.68
Cash & Short-Term Investments,122.94,120.93,112.09,82.04,88.01,371.43,91.18,74.35,80.68
Cash Growth,1.26%,7.89%,36.63%,-6.79%,-76.30%,307.34%,22.65%,-7.85%,-
Accounts Receivable,97.21,144.83,112.42,98.75,73.43,55,43.31,29.8,24.3
Other Receivables,1.26,1.96,0.56,0.75,1.1,1.82,1.19,0.73,1
Receivables,98.47,146.79,112.98,99.5,74.53,56.82,44.51,30.53,25.3
Prepaid Expenses,19.25,21.07,15.17,16.27,13.38,9.13,5.98,3.49,3.03
Other Current Assets,14.3,13.46,10.54,9.39,7.58,4.86,3.61,0.8,-
Total Current Assets,255.09,302.25,250.78,207.19,183.51,442.23,145.28,109.17,109.01
"Property, Plant & Equipment",90.37,90.98,98.41,94.95,73.85,29.94,13.48,10.41,3.79
Long-Term Investments,7.26,9.63,9.65,6.91,4.42,-,-,-,-
Goodwill,"1,071","1,019",838.87,839.44,841.49,57.15,55.84,-,-
Other Intangible Assets,151.92,154.57,115.57,152.83,180.12,23.14,26.09,-,-
Long-Term Deferred Tax Assets,-,6.2,4.14,-,0.11,0,-,-,-
Long-Term Deferred Charges,23.88,23.74,17.43,18.23,16.4,10.19,7,-,-
Other Long-Term Assets,16.56,3.64,5.59,7.72,1.12,0.75,2.46,0.39,0.17
Total Assets,"1,616","1,610","1,340","1,327","1,301",563.4,250.15,119.97,112.97
Accounts Payable,14.07,13.64,11.84,11.88,11.37,6,4.67,3.44,2.29
Accrued Expenses,33.65,38.67,25.13,32.22,36.2,20.03,12.78,6.96,4.22
Current Portion of Leases,6.03,6.83,5.12,4.89,4.17,0.32,-,-,-
Current Income Taxes Payable,-,1.2,2,1.3,-,-,-,-,-
Current Unearned Revenue,194.88,191.17,170.94,154.87,122.64,89.14,58.94,41.11,28.43
Other Current Liabilities,-,-,-,-,-,0.2,0.18,0.9,-
Total Current Liabilities,248.64,251.51,215.04,205.16,174.38,115.69,76.58,52.41,34.94
Long-Term Debt,203.5,166,-,30,-,-,-,-,-
Long-Term Leases,59.95,63.99,69.1,61.65,44.68,15.94,-,-,-
Long-Term Unearned Revenue,0.16,0.27,-,-,0.04,0.95,-,0.83,0.02
Long-Term Deferred Tax Liabilities,19.42,13.85,3.69,2.8,1.68,0.37,0.19,-,-
Other Long-Term Liabilities,17.19,17.16,-,-,9.74,1.49,1.75,0.7,-
Total Liabilities,548.85,512.78,287.83,299.6,230.51,134.43,78.52,53.93,34.95
Common Stock,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Additional Paid-In Capital,"1,511","1,474","1,401","1,334","1,277",585.96,288.56,170.77,160.42
Retained Earnings,-393.04,-385.34,-352.76,-310.34,-209.62,-161.06,-120.92,-104.75,-82.45
Comprehensive Income & Other,-0.12,0.18,1,0.69,-0.07,0.24,-0.41,-0.02,0.01
Total Common Equity,"1,057","1,089","1,049","1,024","1,068",425.18,167.27,66.04,78.01
Minority Interest,10.35,8.29,3.43,3.59,2.88,3.79,4.36,-,-
Shareholders' Equity,"1,067","1,098","1,053","1,028","1,071",428.97,171.63,66.04,78.01
Total Liabilities & Equity,"1,616","1,610","1,340","1,327","1,301",563.4,250.15,119.97,112.97
Total Debt,269.49,236.82,74.23,96.54,48.85,16.26,-,-,-
Net Cash (Debt),-146.55,-115.9,37.86,-14.5,39.17,355.16,91.18,74.35,80.68
Net Cash Growth,-,-,-,-,-88.97%,289.50%,22.65%,-7.85%,-
Net Cash Per Share,-1.27,-1.01,0.34,-0.13,0.40,4.05,1.16,1.00,-
Filing Date Shares Outstanding,115.81,116.45,114.22,111.87,109.96,94.37,81.53,75.89,-
Total Common Shares Outstanding,115.44,116,113.68,111.42,109.78,93.64,81.53,75.89,-
Working Capital,6.45,50.74,35.74,2.04,9.13,326.54,68.7,56.76,74.07
Book Value Per Share,9.15,9.39,9.23,9.19,9.73,4.54,2.05,0.87,-
Tangible Book Value,-166.05,-84.63,94.74,31.81,46.02,344.89,85.34,66.04,78.01
Tangible Book Value Per Share,-1.44,-0.73,0.83,0.29,0.42,3.68,1.05,0.87,-
Buildings,56.38,56.38,56.38,56.38,33.98,16.3,-,-,-
Machinery,18.16,18.91,20.08,19.09,15,11.75,9.19,7.15,4.03
Construction In Progress,6.69,0.63,0.17,0.67,13.08,0.28,2.06,0.04,0.07
Leasehold Improvements,24.36,28.05,27.71,28.7,14.11,11.58,8.44,6.83,2.16
