Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,203.9,154.57,78.82,108.62,148.03,18.83,3.48
Cash & Short-Term Investments,203.9,154.57,78.82,108.62,148.03,18.83,3.48
Cash Growth,96.70%,96.10%,-27.43%,-26.62%,686.18%,440.91%,-
Accounts Receivable,121.07,131.8,125.41,100.87,76.08,43.71,18.63
Other Receivables,-,0.22,0.24,0.64,19.27,2.42,0.5
Receivables,121.07,132.03,125.64,101.51,95.35,46.12,19.13
Prepaid Expenses,35.4,11.01,10.54,12.1,6.83,5.93,2.91
Other Current Assets,-,14.9,10.73,11,16.31,5.4,1.9
Total Current Assets,360.38,312.51,225.73,233.22,266.52,76.28,27.43
"Property, Plant & Equipment",308.38,313.92,358.93,393.62,152.24,59.35,22.43
Long-Term Investments,-,-,2.93,4.43,-,-,-
Goodwill,"1,293","1,293","1,293","1,273","1,205","1,099",214.61
Other Intangible Assets,180.75,190.8,221.07,263.29,300.36,332.8,14.95
Other Long-Term Assets,6.12,7.72,7.96,6.37,3.45,2.65,1.36
Total Assets,"2,149","2,118","2,110","2,174","1,927","1,570",280.78
Accounts Payable,12.22,7.24,7.05,12.29,14.15,7.69,3.64
Accrued Expenses,155.92,145.97,121.33,93.99,76.06,45.25,23.55
Current Portion of Long-Term Debt,12.69,7.25,2.93,2.35,1.32,3.74,0.84
Current Portion of Leases,47.38,49.45,46.48,38.82,-,-,-
Other Current Liabilities,0.36,18.98,25.09,28.55,25.22,19.25,26.98
Total Current Liabilities,228.56,228.89,202.87,176,116.75,75.92,55.01
Long-Term Debt,269.39,279.79,280.29,225.08,157.42,362.53,79.31
Long-Term Leases,144.19,148.7,181.36,212.59,-,-,-
Long-Term Deferred Tax Liabilities,13.99,14.33,15.57,38.7,54.28,81.23,0.86
Other Long-Term Liabilities,0.11,0.31,0.95,2.78,53.63,17.21,9.04
Total Liabilities,656.23,672.01,681.04,655.15,382.08,536.9,144.22
Common Stock,3.89,3.83,3.79,3.76,3.74,"1,010",0
Additional Paid-In Capital,"2,309","2,260","2,184","2,084","1,898",1.45,-
Retained Earnings,-820.29,-818.29,-760.85,-572.64,-357.07,-13.13,-166.36
Comprehensive Income & Other,-,0.93,2.3,3.27,-,-,-
Total Common Equity,"1,493","1,446","1,429","1,519","1,545",997.84,-166.36
Shareholders' Equity,"1,493","1,446","1,429","1,519","1,545","1,033",136.56
Total Liabilities & Equity,"2,149","2,118","2,110","2,174","1,927","1,570",280.78
Total Debt,473.64,485.19,511.04,478.83,158.74,366.27,80.16
Net Cash (Debt),-269.74,-330.62,-432.22,-370.21,-10.71,-347.44,-76.68
Net Cash Per Share,-0.70,-0.87,-1.18,-1.04,-0.03,-1.15,-2536.29
Filing Date Shares Outstanding,389,384.55,380.69,376.37,374.27,"1,010",0.03
Total Common Shares Outstanding,389,382.74,378.73,375.96,374.26,"1,010",0.03
Working Capital,131.82,83.62,22.86,57.22,149.77,0.36,-27.58
Book Value Per Share,3.84,3.78,3.77,4.04,4.13,0.99,-5502.61
Tangible Book Value,18.64,-37.86,-85.49,-17.51,40.13,-433.62,-395.92
Tangible Book Value Per Share,0.05,-0.10,-0.23,-0.05,0.11,-0.43,-13096.06
Machinery,67.85,67.42,70.46,64.04,40.47,16.62,8.99
Construction In Progress,14,7.87,9.04,16.89,40.62,7.58,3.01
Leasehold Improvements,182.97,173.84,170.21,148.25,87.81,39.59,14.71
