Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"2,404","2,820","2,964","1,857","3,562",-,-
Market Cap Growth,-6.36%,-4.87%,59.61%,-47.85%,-,-,-
Enterprise Value,"2,678","3,206","3,408","1,981","3,509",-,-
Last Close Price,6.18,7.37,7.83,4.94,9.52,-,-
PS Ratio,1.74,2.25,2.81,2.16,5.34,-,-
PB Ratio,1.61,1.95,2.08,1.22,2.31,-,-
P/TBV Ratio,129.17,-,-,-,88.76,-,-
P/FCF Ratio,20.17,32.91,-,-,-,-,-
P/OCF Ratio,15.96,26.29,-,35.19,378.12,-,-
EV/Sales Ratio,1.96,2.56,3.23,2.31,5.26,-,-
EV/EBITDA Ratio,41.35,76.18,-,-,-,-,-
EV/FCF Ratio,22.43,37.41,-,-,-,-,-
Debt / Equity Ratio,0.32,0.34,0.36,0.32,0.10,0.36,0.59
Debt / EBITDA Ratio,3.91,4.99,32.95,-,-,7.88,3.76
Debt / FCF Ratio,3.97,5.66,-,-,-,-,29.32
Asset Turnover,0.64,0.59,0.49,0.42,0.38,0.41,-
Quick Ratio,1.42,1.25,1.01,1.19,2.09,0.86,0.41
Current Ratio,1.58,1.37,1.11,1.33,2.28,1.00,0.50
Return on Equity (ROE),-0.62%,-4.00%,-12.64%,-14.07%,-23.83%,-6.51%,-
Return on Assets (ROA),0.26%,-0.85%,-3.55%,-6.27%,-10.14%,1.04%,-
Return on Capital (ROIC),0.28%,-0.93%,-3.86%,-6.94%,-11.43%,1.19%,-
Return on Capital Employed (ROCE),0.50%,-1.50%,-6.40%,-10.30%,-15.70%,1.00%,6.80%
Earnings Yield,-0.38%,-2.04%,-6.28%,-11.61%,-8.63%,-,-
FCF Yield,4.96%,3.04%,-1.94%,-1.43%,-2.39%,-,-
Buyback Yield / Dilution,-1.87%,-3.18%,-3.43%,-8.47%,-8.33%,-999949.62%,-
