Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,150.55,86.74,151.89,110.34,268.25,38.87,5.97
Cash & Short-Term Investments,150.55,86.74,151.89,110.34,268.25,38.87,5.97
Cash Growth,52.67%,-42.90%,37.66%,-58.87%,590.14%,551.07%,-
Receivables,9.79,13.98,25.86,9.13,8.26,4.15,0.7
Inventory,14.67,15.48,22.23,19.06,11.98,3.4,0.7
Prepaid Expenses,3.83,4.07,6.18,3.62,2.88,0.52,0.24
Restricted Cash,-,-,-,-,-,-,0.15
Total Current Assets,178.84,120.27,206.16,142.15,291.37,46.95,7.75
"Property, Plant & Equipment",20.82,22.32,17.42,12.91,2.3,0.72,0.88
Long-Term Investments,8.1,8.9,2.5,1.5,-,-,-
Goodwill,163.22,163.22,163.22,161.53,-,-,-
Other Intangible Assets,57.99,72.2,91.1,105.62,0.17,0.52,-
Other Long-Term Assets,1.24,3.08,5.15,1.55,1.55,0.1,0.1
Total Assets,430.21,389.98,485.55,425.26,295.6,48.51,8.96
Accounts Payable,9.76,10.24,24.74,14.65,4.86,3.7,0.87
Accrued Expenses,8.34,8.62,10.9,3.91,2.64,1.67,0.26
Current Portion of Long-Term Debt,-,-,-,-,3.2,1,2.4
Current Portion of Leases,2.14,1.77,1.89,1.31,-,-,-
Current Unearned Revenue,-,-,-,0.49,-,-,0.29
Other Current Liabilities,2.3,0.52,10.95,-,0.03,-,-
Total Current Liabilities,22.54,21.14,48.49,20.35,10.73,6.37,3.82
Long-Term Debt,-,-,-,-,3.72,4.97,2.4
Long-Term Leases,4.8,5.55,6.65,5.26,-,-,-
Long-Term Deferred Tax Liabilities,0.37,0.44,1.04,1.82,-,-,-
Other Long-Term Liabilities,31.51,14.83,48.75,13.06,215.62,0.09,0.07
Total Liabilities,59.22,41.97,104.93,40.5,230.07,11.43,6.29
Common Stock,0.02,0.02,0.02,0.02,0.02,0,0
Additional Paid-In Capital,840.89,732.78,680.79,535.88,294.19,3.56,2.48
Retained Earnings,-469.92,-384.79,-300.19,-154.75,-228.67,-75.98,-56.94
Comprehensive Income & Other,-0.01,-0.01,-0.01,-0.01,-0,-0,-
Total Common Equity,370.99,348.01,380.62,381.13,65.54,-72.42,-54.45
Minority Interest,-,-,-,3.63,-,-,-
Shareholders' Equity,370.99,348.01,380.62,384.76,65.54,37.08,2.67
Total Liabilities & Equity,430.21,389.98,485.55,425.26,295.6,48.51,8.96
Total Debt,6.94,7.32,8.55,6.57,6.92,5.97,4.8
Net Cash (Debt),143.61,79.42,143.35,103.77,261.34,32.9,1.17
Net Cash Growth,58.25%,-44.60%,38.14%,-60.29%,694.38%,2711.80%,-
Net Cash Per Share,0.73,0.44,0.85,0.71,6.67,2.02,0.08
Filing Date Shares Outstanding,214.94,190.53,179.25,160.89,122.86,15.33,14.52
Total Common Shares Outstanding,214.94,188.11,179.2,153.63,117.75,15.33,14.52
Working Capital,156.3,99.12,157.68,121.8,280.64,40.58,3.93
Book Value Per Share,1.73,1.85,2.12,2.48,0.56,-4.73,-3.75
Tangible Book Value,149.78,112.6,126.3,113.99,65.37,-72.94,-54.45
Tangible Book Value Per Share,0.70,0.60,0.70,0.74,0.56,-4.76,-3.75
Machinery,14.25,12.04,10.58,7.47,3.38,1.76,1.73
Construction In Progress,5.98,6.89,1.11,-,-,-,-
Leasehold Improvements,4.32,4.3,2.36,2.05,0.58,0.14,0.14
