Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"1,787",667,"1,445",539,"2,003",-,-
Market Cap Growth,294.47%,-53.85%,168.29%,-73.11%,-,-,-
Enterprise Value,"1,653",576,"1,274",429,"2,109",-,-
Last Close Price,7.73,3.57,8.07,3.51,17.01,-,-
PE Ratio,-,-,-,7.29,-,-,-
PS Ratio,26.70,8.01,18.19,14.20,84.37,-,-
PB Ratio,4.48,1.92,3.80,1.40,30.56,-,-
P/TBV Ratio,12.00,5.92,11.44,4.72,30.64,-,-
EV/Sales Ratio,29.21,6.92,16.04,11.32,88.84,-,-
Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.11,0.16,1.80
Asset Turnover,0.13,0.19,0.17,0.11,0.14,0.41,-
Inventory Turnover,2.39,2.92,2.34,1.68,1.70,3.97,-
Quick Ratio,7.11,4.76,3.67,5.87,25.78,6.76,1.75
Current Ratio,7.94,5.69,4.25,6.99,27.16,7.38,2.03
Return on Equity (ROE),-33.25%,-23.22%,-38.14%,32.37%,-297.58%,-95.81%,-
Return on Assets (ROA),-14.19%,-17.95%,-16.21%,-20.42%,-24.89%,-40.90%,-
Return on Capital (ROIC),-15.73%,-21.11%,-18.92%,-31.73%,-74.14%,-46.52%,-
Return on Capital Employed (ROCE),-23.70%,-34.10%,-27.00%,-29.10%,-24.00%,-44.60%,-332.50%
Earnings Yield,-6.96%,-12.69%,-10.06%,13.72%,-7.62%,-,-
FCF Yield,-2.61%,-9.84%,-3.19%,-9.12%,-2.22%,-,-
Buyback Yield / Dilution,-7.68%,-8.01%,-15.91%,-272.11%,-141.09%,-11.92%,-
