Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"2,099",885,709,"1,093","3,960","8,087","3,720",-,-
Market Cap Growth,194.09%,24.72%,-35.07%,-72.41%,-51.03%,117.39%,-,-,-
Enterprise Value,"2,117",842,569,798,"3,441","7,282","3,035",-,-
Last Close Price,13.71,6.00,4.90,7.64,28.06,59.13,29.92,-,-
PS Ratio,8.16,4.94,4.17,5.90,25.66,82.20,43.73,-,-
PB Ratio,10.23,4.37,2.30,2.35,6.56,10.88,6.52,-,-
P/TBV Ratio,25.45,11.02,3.85,3.23,8.31,13.17,8.45,-,-
P/FCF Ratio,-,-,-,-,-,-,19.16,-,-
P/OCF Ratio,-,-,-,-,-,-,18.11,-,-
EV/Sales Ratio,8.38,4.70,3.34,4.31,22.29,74.02,35.67,-,-
EV/FCF Ratio,-,-,-,-,-,-,15.63,-,-
Debt / Equity Ratio,1.05,1.10,0.74,0.50,0.19,0.14,0.06,-,-
Debt / FCF Ratio,-,-,-,-,-,-,0.19,-,-
Asset Turnover,0.48,0.30,0.22,0.21,0.15,0.10,0.14,0.16,-
Inventory Turnover,8.07,7.79,6.65,4.48,11.50,11.98,11.00,9.32,-
Quick Ratio,3.11,2.71,4.38,4.91,3.27,6.66,7.56,7.45,9.41
Current Ratio,3.38,2.89,4.66,5.12,3.54,6.91,7.82,7.93,9.77
Return on Equity (ROE),-37.21%,-62.49%,-58.34%,-37.52%,-30.77%,-22.25%,-15.70%,-14.51%,-
Return on Assets (ROA),-9.32%,-16.18%,-16.60%,-14.06%,-12.81%,-9.42%,-7.87%,-8.95%,-
Return on Capital (ROIC),-11.29%,-20.17%,-20.40%,-17.71%,-16.67%,-13.10%,-10.76%,-9.72%,-
Earnings Yield,-3.75%,-18.03%,-31.75%,-18.32%,-5.23%,-1.81%,-1.84%,-,-
FCF Yield,-2.97%,-11.18%,-23.54%,-18.33%,-6.43%,-2.08%,5.22%,-,-
Buyback Yield / Dilution,-2.70%,-1.88%,-1.31%,-1.54%,-6.96%,-89.71%,-447.64%,-3.55%,-
