Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Revenue,252.75,178.96,170.28,185.31,154.34,98.38,85.07,55.66,38.45
Revenue Growth (YoY),42.57%,5.10%,-8.11%,20.06%,56.88%,15.65%,52.83%,44.77%,-
Cost of Revenue,88.26,89.16,96.02,75.6,191.64,138.6,92.98,58.83,47.68
Gross Profit,164.49,89.8,74.26,109.71,-37.3,-40.22,-7.91,-3.16,-9.23
"Selling, General & Admin",162.87,157.57,172.51,184.13,169.97,110.89,68.79,44.9,32.71
Research & Development,78.12,85.87,101.65,124.07,-,-,-,-,-
Amortization of Goodwill & Intangibles,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.69
Operating Expenses,242.68,245.14,275.86,309.9,171.67,112.6,70.48,46.59,34.41
Operating Income,-78.19,-155.34,-201.61,-200.19,-208.97,-152.82,-78.39,-49.76,-43.64
Interest Expense,-11.78,-11.58,-13.8,-4.24,-,-,-,-,-
Interest & Investment Income,6.69,6.33,6.35,4.8,8.9,7.36,7.59,2.09,1.96
Other Non Operating Income (Expenses),-,-,-,-,-,-,-2.27,0.01,0.02
EBT Excluding Unusual Items,-83.28,-160.6,-209.06,-199.63,-200.07,-145.45,-73.07,-47.66,-41.65
Merger & Restructuring Charges,-7.21,-7.21,-,-,-,-,-,-,-0.84
Gain (Loss) on Sale of Investments,3.68,8.21,9.18,-0.74,-7.23,-0.77,4.46,1.21,-0.34
Asset Writedown,7.21,-,-25.43,-,-,-,-,-,-
Pretax Income,-79.6,-159.6,-225.3,-200.37,-207.3,-146.23,-68.61,-46.45,-42.83
Earnings From Continuing Operations,-79.6,-159.6,-225.3,-200.37,-207.3,-146.23,-68.61,-46.45,-42.83
Minority Interest in Earnings,-0.02,0.1,0.05,0.18,0.02,-,-,-,-
Net Income,-79.61,-159.49,-225.25,-200.19,-207.28,-146.23,-68.61,-46.45,-42.83
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,0.96,-0.1,-0.14
Net Income to Common,-79.61,-159.49,-225.25,-200.19,-207.28,-146.23,-69.57,-46.35,-42.7
Shares Outstanding (Basic),150,147,144,143,140,131,69,13,12
Shares Outstanding (Diluted),150,147,144,143,140,131,69,13,12
Shares Change (YoY),2.70%,1.88%,1.31%,1.54%,6.96%,89.71%,447.64%,3.55%,-
EPS (Basic),-0.53,-1.08,-1.56,-1.40,-1.48,-1.11,-1.01,-3.67,-3.50
EPS (Diluted),-0.53,-1.08,-1.56,-1.40,-1.48,-1.11,-1.01,-3.67,-3.50
Free Cash Flow,-62.94,-98.88,-167.02,-200.29,-254.47,-168.49,194.2,-38.56,-37.28
Free Cash Flow Per Share,-0.42,-0.67,-1.16,-1.41,-1.81,-1.28,2.81,-3.05,-3.06
Gross Margin,65.08%,50.18%,43.61%,59.20%,-24.17%,-40.88%,-9.30%,-5.68%,-24.00%
Operating Margin,-30.93%,-86.80%,-118.40%,-108.03%,-135.39%,-155.33%,-92.15%,-89.39%,-113.49%
Profit Margin,-31.50%,-89.12%,-132.28%,-108.03%,-134.30%,-148.63%,-81.78%,-83.26%,-111.05%
Free Cash Flow Margin,-24.90%,-55.25%,-98.09%,-108.09%,-164.87%,-171.26%,228.28%,-69.27%,-96.96%
EBITDA,-60.1,-136.09,-179.38,-179.27,-195.01,-144.35,-70.6,-43.76,-37.84
EBITDA Margin,-23.78%,-76.05%,-105.34%,-96.74%,-126.35%,-146.72%,-82.99%,-78.61%,-98.42%
D&A For EBITDA,18.09,19.26,22.23,20.92,13.95,8.47,7.79,6,5.8
EBIT,-78.19,-155.34,-201.61,-200.19,-208.97,-152.82,-78.39,-49.76,-43.64
EBIT Margin,-30.93%,-86.80%,-118.40%,-108.03%,-135.39%,-155.33%,-92.15%,-89.39%,-113.49%
Revenue as Reported,-,-,-,-,-,-,85.07,55.66,38.45
Advertising Expenses,-,6.1,8.6,13.7,-,14.5,6.6,3.5,1.8
