Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Revenue,348.05,284.87,226.47,337.61,331.86,222.99,228.73,227.77,295.4,310.3,316.37
Revenue Growth (YoY),57.91%,25.78%,-32.92%,1.73%,48.82%,-2.51%,0.42%,-22.90%,-4.80%,-1.92%,44.94%
Cost of Revenue,139.86,112.54,89.66,128.67,123.72,87.42,96.02,89.62,107.67,105.28,111.03
Gross Profit,208.2,172.33,136.82,208.93,208.13,135.57,132.71,138.14,187.73,205.01,205.34
"Selling, General & Admin",73.14,72.82,76.33,78.24,66.64,55.98,52.63,50.48,47.79,43.45,37.74
Research & Development,233.77,226.11,215.05,204.95,167.34,140.76,129.72,128.08,115.51,101.21,82.13
Operating Expenses,306.91,298.93,291.38,283.19,233.98,196.74,182.36,178.56,163.3,144.65,119.87
Operating Income,-98.71,-126.6,-154.56,-74.26,-25.84,-61.17,-49.65,-40.42,24.43,60.36,85.48
Interest & Investment Income,8.67,8.73,7.84,2.1,2.73,4.32,7.05,7,-,-,-
Other Non Operating Income (Expenses),-0.13,-0.44,-1.76,0.53,-0.7,0.26,-,-1.8,1.47,0.76,1.06
EBT Excluding Unusual Items,-90.18,-118.31,-148.48,-71.62,-23.81,-56.58,-42.6,-35.22,25.9,61.13,86.53
Merger & Restructuring Charges,-,-,-,-,-3.8,-,-,-,-,-,-0.8
Gain (Loss) on Sale of Investments,0.34,0.58,-0.05,0.68,-1.03,-0.72,0.97,0.67,-0.17,-0.25,-0.53
Pretax Income,-89.84,-117.73,-148.53,-70.94,-28.64,-57.3,-41.63,-34.55,25.73,60.88,85.21
Income Tax Expense,-1.21,-0.6,20.89,-5.55,-2.23,2.48,3.16,-4.11,6.88,3.07,8.7
Net Income,-88.63,-117.13,-169.42,-65.39,-26.41,-59.79,-44.79,-30.45,18.85,57.81,76.51
Net Income to Common,-88.63,-117.13,-169.42,-65.39,-26.41,-59.79,-44.79,-30.45,18.85,57.81,76.51
Net Income Growth,-,-,-,-,-,-,-,-,-67.39%,-24.44%,51.29%
Shares Outstanding (Basic),42,41,40,38,37,35,33,33,33,33,32
Shares Outstanding (Diluted),42,41,40,38,37,35,33,33,35,34,34
Shares Change (YoY),3.53%,3.57%,3.95%,4.88%,5.47%,4.83%,1.13%,-5.41%,0.74%,1.70%,4.58%
EPS (Basic),-2.11,-2.84,-4.25,-1.70,-0.72,-1.72,-1.35,-0.93,0.57,1.77,2.42
EPS (Diluted),-2.12,-2.84,-4.25,-1.70,-0.72,-1.72,-1.35,-0.93,0.55,1.68,2.27
EPS Growth,-,-,-,-,-,-,-,-,-67.26%,-25.99%,44.92%
Free Cash Flow,36.98,23.46,7.05,29.04,29.12,25.86,37.59,21.53,81.72,110.62,121.48
Free Cash Flow Per Share,0.88,0.57,0.18,0.76,0.80,0.75,1.14,0.66,2.36,3.22,3.60
Gross Margin,59.82%,60.49%,60.41%,61.89%,62.72%,60.80%,58.02%,60.65%,63.55%,66.07%,64.91%
Operating Margin,-28.36%,-44.44%,-68.25%,-22.00%,-7.79%,-27.43%,-21.71%,-17.75%,8.27%,19.45%,27.02%
Profit Margin,-25.46%,-41.12%,-74.81%,-19.37%,-7.96%,-26.81%,-19.58%,-13.37%,6.38%,18.63%,24.18%
Free Cash Flow Margin,10.63%,8.23%,3.11%,8.60%,8.77%,11.60%,16.43%,9.45%,27.66%,35.65%,38.40%
EBITDA,-85.52,-113.24,-141.25,-61.82,-18.24,-55.7,-43.92,-37.9,26.2,61.9,87.07
EBITDA Margin,-24.57%,-39.75%,-62.37%,-18.31%,-5.50%,-24.98%,-19.20%,-16.64%,8.87%,19.95%,27.52%
D&A For EBITDA,13.19,13.36,13.31,12.43,7.61,5.47,5.73,2.52,1.77,1.54,1.59
EBIT,-98.71,-126.6,-154.56,-74.26,-25.84,-61.17,-49.65,-40.42,24.43,60.36,85.48
EBIT Margin,-28.36%,-44.44%,-68.25%,-22.00%,-7.79%,-27.43%,-21.71%,-17.75%,8.27%,19.45%,27.02%
Effective Tax Rate,-,-,-,-,-,-,-,-,26.73%,5.04%,10.21%
