Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Cash & Equivalents,142.74,144.62,144.91,113.54,171.04,241.27,231.4,194.05,346.67,322.87,268.06
Short-Term Investments,118.44,105.64,75.01,93.32,-,199.43,173.35,164.86,87.92,82.52,39.84
Cash & Short-Term Investments,261.18,250.27,219.93,206.86,171.04,440.71,404.75,358.91,434.59,405.39,307.89
Cash Growth,18.82%,13.79%,6.31%,20.94%,-61.19%,8.88%,12.77%,-17.41%,7.20%,31.67%,48.03%
Receivables,42.9,29.77,24.95,51.99,44.31,24.97,18.49,26.21,31.29,38.6,39.41
Inventory,33.81,34.43,29.04,40.49,45.22,26.08,22.97,18.25,23.38,20.15,18.17
Prepaid Expenses,5.54,6.08,6.23,5.29,6.17,5.53,4.98,6.21,4.01,4.39,4.17
Restricted Cash,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Total Current Assets,343.87,320.55,280.16,304.63,266.75,497.3,451.19,409.59,493.28,468.54,369.65
"Property, Plant & Equipment",13.59,14.27,15.69,20.15,21.26,15.19,15.55,6.73,6.45,4.99,3.45
Goodwill,303.63,303.63,303.63,303.63,303.63,26.6,26.6,26.6,26.6,26.6,26.6
Other Intangible Assets,41.88,47.28,55.14,58.5,46.3,18.7,17.83,10.94,14.42,4.15,4.18
Long-Term Deferred Tax Assets,-,-,-,19.28,15.34,10.91,10.4,10.59,3.64,5.77,4.63
Other Long-Term Assets,3.46,3.24,3.05,4.01,4.27,4.57,5.71,2.41,2.26,2.22,2.12
Total Assets,706.43,688.97,657.66,710.2,657.55,573.28,527.28,466.85,546.65,512.27,410.62
Accounts Payable,26.78,21.78,28.5,17.85,31.17,21.12,14.91,12.8,19.82,19.96,14.18
Accrued Expenses,57.93,60.26,40.44,49.6,46.06,42.54,30.58,19.82,26.08,25.95,23.54
Current Portion of Leases,1.77,2.83,3.44,3.54,3.39,2.91,2.18,-,-,-,-
Current Income Taxes Payable,1.71,1.38,1.54,4.11,1.25,0.96,0.69,0.99,0.94,0.57,0.79
Current Unearned Revenue,19.48,14.23,0.89,1.31,1.41,0.84,0.7,0.53,0.31,7.43,10.08
Other Current Liabilities,18.26,20.52,8.16,7.06,6,5.58,4.39,4.88,6.1,0.5,0.23
Total Current Liabilities,125.94,120.99,82.98,83.46,89.28,73.97,53.45,39.02,53.24,54.4,48.82
Long-Term Leases,1.67,2.44,1.9,5.1,8.32,7.53,7.98,-,-,-,-
Long-Term Deferred Tax Liabilities,0.69,0.7,0.86,1.12,1.77,1.29,1.29,1.29,1.29,1.33,1.42
Other Long-Term Liabilities,1.61,3.43,12.05,14.43,10.99,15.52,16.49,7.05,9.93,1.91,10.92
Total Liabilities,129.91,127.56,97.78,104.11,110.37,98.3,79.2,47.36,64.46,57.64,61.16
Common Stock,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Additional Paid-In Capital,872.82,813.68,694.97,572.08,447.29,347.46,261.22,188.52,221.19,212.28,176.31
Retained Earnings,-296.38,-252.06,-134.93,34.49,99.87,126.28,186.07,230.86,261.27,242.41,173.14
Comprehensive Income & Other,0.06,-0.23,-0.18,-0.49,-,1.22,0.77,0.1,-0.28,-0.07,-0.01
Shareholders' Equity,576.52,561.41,559.87,606.09,547.18,474.98,448.07,419.49,482.19,454.63,349.46
Total Liabilities & Equity,706.43,688.97,657.66,710.2,657.55,573.28,527.28,466.85,546.65,512.27,410.62
Total Debt,3.44,5.27,5.34,8.64,11.71,10.44,10.16,-,-,-,-
Net Cash (Debt),257.74,245,214.59,198.23,159.33,430.27,394.59,358.91,434.59,405.39,307.89
Net Cash Growth,20.98%,14.17%,8.25%,24.41%,-62.97%,9.04%,9.94%,-17.41%,7.20%,31.67%,48.03%
Net Cash Per Share,6.13,5.93,5.38,5.17,4.36,12.41,11.93,10.97,12.57,11.81,9.12
Filing Date Shares Outstanding,42.69,42.44,40.96,39.58,38.07,36.25,34.21,32.72,33.64,33.52,32.33
Total Common Shares Outstanding,41.96,41.96,40.52,39.04,37.3,35.55,33.81,32.3,33.49,33.37,32.33
Working Capital,217.93,199.56,197.18,221.17,177.46,423.34,397.74,370.57,440.05,414.14,320.83
Book Value Per Share,13.74,13.38,13.82,15.52,14.67,13.36,13.25,12.99,14.40,13.62,10.81
Tangible Book Value,231.02,210.51,201.11,243.97,197.25,429.67,403.65,381.95,441.17,423.88,318.68
Tangible Book Value Per Share,5.51,5.02,4.96,6.25,5.29,12.09,11.94,11.82,13.17,12.70,9.86
Machinery,38.12,35.73,33.43,30.37,25.26,19.44,17.57,15.73,14.29,11,9.62
Construction In Progress,0.86,0.31,0.17,0.51,1.06,0.33,0.06,0.33,-,0.76,0.25
Leasehold Improvements,3.46,3.46,3.44,3.3,2.94,2.24,2.36,2.33,2.09,1.67,1.43
