Period Ending,"Nov '25Nov 18, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Market Capitalization,"3,568","3,199","2,115","3,482","5,186","3,319","1,984","1,218","1,679","1,643","1,272"
Market Cap Growth,53.84%,51.24%,-39.25%,-32.86%,56.26%,67.29%,62.89%,-27.45%,2.19%,29.17%,-24.16%
Enterprise Value,"3,331","2,979","1,899","3,292","4,741","2,905","1,594",869,"1,265","1,271",995
Last Close Price,84.06,76.72,52.56,89.84,140.15,94.36,59.14,38.00,50.40,49.61,39.68
PE Ratio,-,-,-,-,-,-,-,-,89.04,28.42,16.62
Forward PE,201.63,-,-,171.75,76.16,211.86,117.20,124.39,34.64,17.37,14.94
PS Ratio,10.15,11.23,9.34,10.31,15.63,14.88,8.67,5.35,5.68,5.29,4.02
PB Ratio,6.12,5.70,3.78,5.75,9.48,6.99,4.43,2.90,3.48,3.61,3.64
P/TBV Ratio,15.53,15.20,10.52,14.27,26.29,7.72,4.92,3.19,3.81,3.88,3.99
P/FCF Ratio,97.03,136.41,300.19,119.89,178.12,128.35,52.77,56.56,20.54,14.85,10.47
P/OCF Ratio,68.54,94.56,111.20,78.97,133.68,107.75,50.33,49.77,19.66,14.50,10.29
PEG Ratio,-,-,-,-,5.08,15.37,8.91,8.29,2.35,1.18,0.65
EV/Sales Ratio,9.57,10.46,8.39,9.75,14.29,13.03,6.97,3.82,4.28,4.10,3.15
EV/EBITDA Ratio,-,-,-,-,-,-,-,-,48.27,20.53,11.43
EV/EBIT Ratio,-,-,-,-,-,-,-,-,51.76,21.05,11.64
EV/FCF Ratio,90.06,127.00,269.47,113.36,162.82,112.33,42.39,40.37,15.48,11.49,8.19
Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.02,0.02,0.02,-,-,-,-
Debt / FCF Ratio,0.09,0.22,0.76,0.30,0.40,0.40,0.27,-,-,-,-
Asset Turnover,0.51,0.42,0.33,0.49,0.54,0.41,0.46,0.45,0.56,0.67,0.91
Inventory Turnover,4.34,3.55,2.58,3.00,3.47,3.56,4.66,4.31,4.95,5.50,5.57
Quick Ratio,2.41,2.31,2.95,3.10,2.41,6.30,7.92,9.87,8.75,8.16,7.11
Current Ratio,2.73,2.65,3.38,3.65,2.99,6.72,8.44,10.50,9.27,8.61,7.57
Return on Equity (ROE),-15.77%,-20.89%,-29.06%,-11.34%,-5.17%,-12.95%,-10.33%,-6.75%,4.03%,14.38%,26.08%
Return on Assets (ROA),-9.09%,-11.75%,-14.12%,-6.79%,-2.62%,-6.95%,-6.24%,-4.98%,2.88%,8.18%,15.38%
Return on Capital (ROIC),-10.88%,-13.98%,-16.37%,-7.91%,-3.09%,-8.10%,-7.07%,-5.60%,3.26%,9.38%,18.21%
Return on Capital Employed (ROCE),-17.00%,-22.30%,-26.90%,-11.80%,-4.50%,-12.30%,-10.50%,-9.40%,5.00%,13.20%,23.60%
Earnings Yield,-2.47%,-3.66%,-8.01%,-1.88%,-0.51%,-1.80%,-2.26%,-2.50%,1.12%,3.52%,6.02%
FCF Yield,1.03%,0.73%,0.33%,0.83%,0.56%,0.78%,1.90%,1.77%,4.87%,6.73%,9.55%
Buyback Yield / Dilution,-3.53%,-3.57%,-3.95%,-4.88%,-5.47%,-4.83%,-1.13%,5.41%,-0.74%,-1.70%,-4.58%
