Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,231","1,928","2,344",494,522,336,748,913,-,-,-
Market Cap Growth,103.64%,-17.73%,374.62%,-5.46%,55.61%,-55.09%,-18.16%,-,-,-,-
Enterprise Value,"4,538","3,356","3,853","1,431","1,912","1,885","2,075","2,321",-,-,-
Last Close Price,16.61,8.88,9.51,7.49,7.90,4.36,9.82,12.14,-,-,-
PE Ratio,10.56,6.84,-,10.08,4.43,4.20,2.39,0.76,-,-,-
Forward PE,10.95,7.30,9.30,6.97,0.69,0.69,3.63,3.61,-,-,-
PS Ratio,0.96,0.56,0.60,0.14,0.14,0.11,0.23,0.27,-,-,-
PB Ratio,-,-2.86,-3.19,-4.26,-1.12,-0.14,-0.35,-0.36,-,-,-
P/FCF Ratio,8.69,6.08,6.14,1.74,-,-,5.34,3.29,-,-,-
P/OCF Ratio,7.26,4.73,5.04,1.32,-,13.43,3.09,2.45,-,-,-
PEG Ratio,0.47,0.21,0.21,0.21,0.21,0.21,-,0.14,-,-,-
EV/Sales Ratio,1.28,0.97,0.99,0.40,0.53,0.62,0.64,0.69,-,-,-
EV/EBITDA Ratio,7.54,5.91,6.36,2.43,3.21,5.09,3.72,3.84,-,-,-
EV/EBIT Ratio,8.92,7.02,7.47,2.84,3.80,6.64,4.29,4.36,-,-,-
EV/FCF Ratio,12.20,10.59,10.09,5.04,-,-,14.82,8.35,-,-,-
Debt / Equity Ratio,-1.89,-2.27,-2.31,-10.34,-3.49,-0.93,-0.68,-0.63,-0.22,-0.35,-
Debt / EBITDA Ratio,2.47,2.61,2.73,1.99,2.67,5.56,2.54,2.63,0.85,0.79,-
Debt / FCF Ratio,4.13,4.82,4.44,4.22,-,-,10.36,5.73,-,1.92,-
Asset Turnover,1.54,1.45,1.51,1.35,1.27,1.15,1.48,1.32,1.09,-,-
Inventory Turnover,9.57,10.09,11.75,11.36,12.22,10.92,13.03,14.43,14.96,-,-
Quick Ratio,0.66,0.57,0.72,0.73,0.71,0.65,0.63,0.59,0.71,0.69,-
Current Ratio,1.01,0.93,1.02,1.04,1.00,0.94,0.86,0.82,0.82,0.81,-
Return on Assets (ROA),13.86%,12.44%,12.49%,11.79%,11.01%,6.71%,13.75%,13.01%,11.20%,-,-
Return on Capital (ROIC),43.28%,32.94%,31.56%,28.00%,63.00%,-,-,-,-,-,-
Return on Capital Employed (ROCE),47.30%,47.90%,44.80%,39.90%,42.10%,27.90%,54.80%,77.90%,112.90%,89.50%,-
Earnings Yield,10.09%,14.62%,11.13%,78.96%,94.75%,23.83%,41.87%,132.04%,-,-,-
FCF Yield,11.51%,16.44%,16.30%,57.50%,-73.12%,-16.38%,18.73%,30.44%,-,-,-
Payout Ratio,12.72%,-,16.09%,21.28%,-,-,-,-,-,-,-
Buyback Yield / Dilution,10.30%,-34.53%,-156.00%,79.50%,-317.22%,-0.22%,-2.06%,-0.45%,-,-,-
