Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,159","2,989","3,503","2,466","1,643",554,353,169,51,138,116
Market Cap Growth,1.42%,-14.68%,42.03%,50.06%,196.62%,57.13%,108.45%,232.69%,-63.10%,19.13%,-58.71%
Enterprise Value,"2,575","2,195","2,875","1,721","1,397",364,274,57,7,68,50
Last Close Price,40.61,39.20,46.06,39.43,31.24,15.38,13.11,6.31,2.83,7.70,8.04
Forward PE,-,-,-,-,-,-,-,-,-,-,21.65
PS Ratio,416.25,-,-,261.41,89.14,17.22,51.63,-,163.49,76.42,7.43
PB Ratio,5.60,3.96,3.78,3.42,2.99,3.23,3.83,1.64,1.42,2.16,1.90
P/TBV Ratio,5.58,3.96,3.78,3.42,2.99,3.23,3.83,1.64,1.42,2.16,1.90
PEG Ratio,-,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51
EV/Sales Ratio,343.33,-,-,182.44,75.77,11.31,40.19,-,22.74,37.87,3.22
Debt / Equity Ratio,0.02,0.01,0.01,0.01,0.02,0.02,0.18,0.14,0.19,-,-
Asset Turnover,0.01,-,-,0.01,0.05,0.19,0.05,-,0.01,0.03,0.21
Quick Ratio,12.08,17.66,23.43,26.12,38.72,12.10,3.28,29.00,10.80,17.94,21.20
Current Ratio,12.53,17.85,23.65,26.44,39.03,12.30,3.34,29.46,10.98,18.31,21.88
Return on Equity (ROE),-45.14%,-27.85%,-22.12%,-19.72%,-21.87%,-21.90%,-42.60%,-49.55%,-61.51%,-36.81%,-23.54%
Return on Assets (ROA),-29.50%,-19.80%,-15.57%,-12.17%,-12.97%,-11.61%,-19.81%,-23.76%,-35.84%,-23.60%,-7.73%
Return on Capital (ROIC),-30.97%,-20.50%,-16.01%,-12.51%,-13.47%,-13.82%,-23.61%,-24.87%,-38.18%,-24.83%,-8.74%
Return on Capital Employed (ROCE),-59.80%,-36.60%,-22.80%,-17.70%,-14.20%,-17.90%,-41.00%,-27.10%,-77.50%,-38.80%,-15.30%
Earnings Yield,-9.81%,-7.84%,-5.21%,-5.08%,-4.80%,-5.21%,-11.80%,-20.39%,-60.39%,-16.69%,-13.62%
FCF Yield,-8.11%,-6.17%,-4.47%,-4.21%,-4.35%,-9.16%,-1.69%,-20.83%,-57.12%,-14.40%,-16.13%
Buyback Yield / Dilution,-4.00%,-16.45%,-10.48%,-38.77%,-21.09%,-23.57%,-8.92%,-48.69%,-16.19%,-8.48%,-260.31%
