Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,104.51,142.71,148.64,57.24,175.69,45.01,24.76,67.75,20.49,17.1,58.65
Short-Term Investments,357.75,484.19,489.44,534.85,376.09,131.99,116.6,51.55,23.18,47.05,-
Cash & Short-Term Investments,462.27,626.91,638.08,592.09,551.77,177,141.36,119.31,43.67,64.15,58.65
Cash Growth,-29.32%,-1.75%,7.77%,7.31%,211.74%,25.21%,18.48%,173.22%,-31.93%,9.37%,-30.21%
Accounts Receivable,0.81,1.47,0.87,0.99,2.77,1.82,0.81,-,0.44,0.2,0.32
Other Receivables,-,-,-,-,-,-,-,0.15,-,-,-
Receivables,0.81,1.47,0.87,0.99,2.77,1.82,0.81,0.15,0.44,0.2,0.32
Prepaid Expenses,17.06,6.89,6.01,7.23,4.48,2.96,2.7,1.88,0.72,1.33,1.9
Total Current Assets,480.14,635.26,644.96,600.3,559.02,181.78,144.87,121.33,44.82,65.68,60.87
"Property, Plant & Equipment",15.85,18.22,18.85,16.91,12.52,6.88,2.59,0.99,1.07,1.4,1.99
Long-Term Investments,92.99,127.5,292.79,128.68,-,-,-,-,-,-,-
Long-Term Deferred Tax Assets,11.75,9.67,0.8,0.51,0.47,0.52,0.24,0.11,-,-,-
Other Long-Term Assets,7.11,7.5,7.4,7.75,-,-,-,-,0.23,0.41,1.09
Total Assets,607.84,798.14,964.8,754.15,572.01,189.19,147.7,122.43,46.12,67.49,63.95
Accounts Payable,4.55,5.07,8.6,8.49,3.82,3.04,2.47,0.67,1.25,1.46,1.09
Accrued Expenses,32.06,23.47,17.03,13.38,9.78,7.76,6.15,3.37,2.09,1.99,1.48
Current Portion of Long-Term Debt,-,-,-,-,-,-,4.65,-,0.7,-,-
Current Portion of Leases,1.5,1.37,1.3,0.49,0.61,0.27,0.17,-,-,-,-
Current Income Taxes Payable,0.23,5.69,0.35,-,-,-,-,-,-,-,-
Current Unearned Revenue,-,-,-,-,-,3.64,29.74,-,-,-,0.16
Other Current Liabilities,-,-,-,0.34,0.12,0.07,0.2,0.09,0.04,0.13,0.06
Total Current Liabilities,38.34,35.59,27.27,22.7,14.32,14.78,43.38,4.12,4.08,3.59,2.78
Long-Term Debt,-,-,-,-,-,-,10.89,15.01,6.1,-,-
Long-Term Leases,6.83,7.65,9.6,9.95,7.65,3.05,0.74,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,0.71,-,-,-,-
Other Long-Term Liabilities,3.16,-,-,-,-,-,-,-,-,-,0.13
Total Liabilities,48.33,43.24,36.88,32.65,21.97,17.83,55.72,19.13,10.19,3.59,2.92
Common Stock,"1,475","1,457","1,436","1,065",790.9,405.48,301.98,273.66,173.84,173.25,148.63
Additional Paid-In Capital,223.78,199.15,156.76,142.11,117.5,45.36,40.65,38.52,36.47,34.33,33.08
Retained Earnings,"-1,140",-899.47,-665.14,-482.75,-357.37,-278.49,-249.66,-207.89,-173.39,-142.68,-119.69
Comprehensive Income & Other,0.48,-1.61,-0.08,-3,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99
Shareholders' Equity,559.51,754.9,927.92,721.5,550.03,171.36,91.98,103.3,35.93,63.9,61.03
Total Liabilities & Equity,607.84,798.14,964.8,754.15,572.01,189.19,147.7,122.43,46.12,67.49,63.95
Total Debt,8.33,9.02,10.9,10.44,8.26,3.32,16.45,15.01,6.8,-,-
Net Cash (Debt),546.93,745.39,919.97,710.33,543.52,173.68,124.91,104.29,36.86,64.15,58.65
Net Cash Growth,-31.08%,-18.98%,29.51%,30.69%,212.94%,39.05%,19.77%,182.92%,-42.53%,9.37%,-30.21%
Net Cash Per Share,6.94,9.57,13.75,11.73,12.46,4.82,4.28,3.90,2.05,4.14,4.11
Filing Date Shares Outstanding,77.28,76.54,75.43,63.04,52.94,36.83,35.97,26.77,18,17.93,14.4
Total Common Shares Outstanding,77.12,76.42,75.37,62.59,52.65,36.03,29.16,26.77,18,17.93,14.39
Working Capital,441.8,599.67,617.69,577.6,544.7,167,101.49,117.21,40.74,62.09,58.08
Book Value Per Share,7.26,9.88,12.31,11.53,10.45,4.76,3.15,3.86,2.00,3.56,4.24
Tangible Book Value,559.51,754.9,927.92,721.5,550.03,171.36,91.98,103.3,35.93,63.9,61.03
Tangible Book Value Per Share,7.26,9.88,12.31,11.53,10.45,4.76,3.15,3.86,2.00,3.56,4.24
Machinery,-,14.38,11.89,11,10.8,12.32,9.98,10.82,10.34,10.12,10.2
Leasehold Improvements,-,9.36,9.02,4.2,7.02,6.39,6.37,6.37,6.37,6.37,6.37
