Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,7.5,-,-,9.43,18.44,32.17,6.83,-,0.31,1.8,15.58
Revenue Growth (YoY),-,-,-,-48.83%,-42.68%,371.02%,-,-,-82.75%,-88.42%,-45.09%
Cost of Revenue,272.71,210.39,167.51,105.77,75.46,50.52,38.85,23.63,25.57,1.11,2.76
Gross Profit,-265.21,-210.39,-167.51,-96.33,-57.03,-18.36,-32.02,-23.63,-25.26,0.69,12.82
"Selling, General & Admin",75.57,68.9,46.54,32.81,21.97,12.94,10.8,8.41,7.31,6.79,9.79
Research & Development,-,-,-,-,-,-,-,-,-,18.71,12.39
Operating Expenses,75.57,68.9,46.54,32.81,21.97,12.94,10.8,8.41,7.31,25.51,22.18
Operating Income,-340.78,-279.3,-214.05,-129.14,-78.99,-31.3,-42.82,-32.04,-32.58,-24.82,-9.36
Interest Expense,-,-,-,-,-,-0.48,-1.43,-1.39,-,-,-
Interest & Investment Income,30.91,41.94,27.62,8.71,0.47,2.28,2.35,1.22,0.48,0.5,0.54
Currency Exchange Gain (Loss),0.17,-1.06,0.2,-1.89,0.36,1.4,0.28,-0.7,1.39,1.32,-6.93
EBT Excluding Unusual Items,-309.7,-238.42,-186.24,-122.32,-78.17,-28.11,-41.62,-32.92,-30.7,-23,-15.75
Gain (Loss) on Sale of Investments,-,-,3.55,-2.93,-0.72,0,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-0.99,-,-1.6,-,-,-
Pretax Income,-309.7,-238.42,-182.69,-125.26,-78.89,-29.09,-41.62,-34.52,-30.7,-23,-15.75
Income Tax Expense,-3.37,-4.09,-0.29,0.12,-0.01,-0.26,-0.02,-0.02,-,-,-
Net Income,-306.33,-234.33,-182.39,-125.37,-78.88,-28.84,-41.6,-34.5,-30.7,-23,-15.75
Preferred Dividends & Other Adjustments,-,-,-,-0.44,-1.8,-,-,-,-,-,-
Net Income to Common,-306.33,-234.33,-182.39,-124.94,-77.09,-28.84,-41.6,-34.5,-30.7,-23,-15.75
Shares Outstanding (Basic),79,78,67,61,44,36,29,27,18,15,14
Shares Outstanding (Diluted),79,78,67,61,44,36,29,27,18,15,14
Shares Change (YoY),4.00%,16.45%,10.48%,38.77%,21.09%,23.57%,8.92%,48.69%,16.19%,8.48%,260.31%
EPS (Basic),-3.89,-3.01,-2.73,-2.06,-1.77,-0.80,-1.43,-1.29,-1.71,-1.48,-1.10
EPS (Diluted),-3.89,-3.01,-2.73,-2.06,-1.77,-0.80,-1.43,-1.29,-1.72,-1.48,-1.10
Free Cash Flow,-253.29,-184.46,-156.73,-103.92,-71.55,-50.76,-5.95,-35.23,-29.04,-19.85,-18.65
Free Cash Flow Per Share,-3.21,-2.37,-2.34,-1.72,-1.64,-1.41,-0.20,-1.32,-1.61,-1.28,-1.31
Gross Margin,-,-,-,-,-,-57.07%,-,-,-,38.21%,82.27%
Operating Margin,-4543.73%,-,-,-1368.91%,-428.45%,-97.31%,-627.02%,-,-10474.28%,-1376.43%,-60.09%
Profit Margin,-4084.45%,-,-,-1324.32%,-418.11%,-89.65%,-609.09%,-,-9872.67%,-1275.48%,-101.12%
Free Cash Flow Margin,-3377.15%,-,-,-1101.57%,-388.09%,-157.81%,-87.19%,-,-9337.94%,-1100.72%,-119.75%
EBITDA,-338.18,-276.74,-211.99,-127.74,-78.09,-30.66,-42.39,-31.45,-31.93,-23.95,-8.32
EBITDA Margin,-,-,-,-,-,-95.31%,-,-,-,-,-53.43%
D&A For EBITDA,2.6,2.56,2.06,1.41,0.91,0.64,0.43,0.59,0.65,0.86,1.04
EBIT,-340.78,-279.3,-214.05,-129.14,-78.99,-31.3,-42.82,-32.04,-32.58,-24.82,-9.36
EBIT Margin,-,-,-,-,-,-97.31%,-,-,-,-,-60.09%
Revenue as Reported,-,-,-,-,-,-,-,-,0.31,1.8,15.58
