Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"4,974","4,771",-,-
Enterprise Value,"4,399","4,423",-,-
Last Close Price,20.72,28.52,-,-
PS Ratio,6.47,9.75,-,-
PB Ratio,8.24,9.72,-,-
P/TBV Ratio,11.02,12.75,-,-
P/FCF Ratio,53.18,81.50,-,-
P/OCF Ratio,52.42,78.01,-,-
PEG Ratio,1.16,7.32,-,-
EV/Sales Ratio,7.71,9.04,-,-
EV/FCF Ratio,46.46,75.57,-,-
Debt / Equity Ratio,0.03,0.04,0.19,0.15
Debt / FCF Ratio,0.19,0.32,1.07,-
Asset Turnover,0.67,0.83,1.10,-
Quick Ratio,2.26,2.23,1.10,1.31
Current Ratio,2.37,2.36,1.23,1.44
Return on Equity (ROE),-22.22%,-102.65%,-24.76%,-
Return on Assets (ROA),-10.07%,-33.71%,-5.60%,-
Return on Capital (ROIC),-16.17%,-62.79%,-13.99%,-
Return on Capital Employed (ROCE),-23.40%,-62.50%,-23.60%,-40.40%
Earnings Yield,-1.64%,-4.53%,-,-
FCF Yield,1.88%,1.23%,-,-
Buyback Yield / Dilution,-11.13%,-195.34%,-,-
