Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Revenue,570.68,489.41,374.92,279.32
Revenue Growth (YoY),24.19%,30.54%,34.22%,-
Cost of Revenue,183.15,179.33,114.5,92.51
Gross Profit,387.53,310.08,260.42,186.81
"Selling, General & Admin",388.05,472.79,235.64,202.97
Research & Development,136.46,156.81,55.29,43.13
Operating Expenses,524.51,629.61,290.93,246.1
Operating Income,-136.98,-319.53,-30.51,-59.29
Interest Expense,-,-,-,-0.05
Interest & Investment Income,25.03,14.25,4.06,-
Other Non Operating Income (Expenses),-1.9,-1.9,-2.27,-5.47
EBT Excluding Unusual Items,-111.41,-307.18,-28.72,-64.81
Gain (Loss) on Sale of Investments,0.14,2.4,1.2,-
Pretax Income,-111.28,-304.78,-27.52,-64.81
Income Tax Expense,2.18,1.88,1.42,0.66
Earnings From Continuing Operations,-113.46,-306.66,-28.93,-65.47
Minority Interest in Earnings,30.71,90.46,-,-
Net Income,-82.75,-216.2,-28.93,-65.47
Preferred Dividends & Other Adjustments,-,-14.64,-,-
Net Income to Common,-82.75,-201.56,-28.93,-65.47
Shares Outstanding (Basic),178,163,79,79
Shares Outstanding (Diluted),178,234,79,79
Shares Change (YoY),11.13%,195.34%,-,-
EPS (Basic),-0.46,-1.23,-0.37,-0.83
EPS (Diluted),-0.98,-1.25,-0.37,-0.83
Free Cash Flow,94.68,58.53,18.68,-37.92
Free Cash Flow Per Share,0.53,0.25,0.24,-0.48
Gross Margin,67.91%,63.36%,69.46%,66.88%
Operating Margin,-24.00%,-65.29%,-8.14%,-21.22%
Profit Margin,-14.50%,-41.18%,-7.72%,-23.44%
Free Cash Flow Margin,16.59%,11.96%,4.98%,-13.58%
EBITDA,-133.66,-316.87,-28.63,-57.9
EBITDA Margin,-23.42%,-64.75%,-7.63%,-20.73%
D&A For EBITDA,3.32,2.66,1.89,1.39
EBIT,-136.98,-319.53,-30.51,-59.29
EBIT Margin,-24.00%,-65.29%,-8.14%,-21.22%
Revenue as Reported,570.68,489.41,374.92,279.32
Advertising Expenses,-,2.4,1.6,4.3
