Period Ending,"Nov '25Nov 14, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Dec '11Dec 31, 2011"
Market Capitalization,"5,992","3,683","1,928","1,378","1,745",942,807,622,-,-,-
Market Cap Growth,41.93%,91.05%,39.86%,-21.01%,85.16%,16.82%,29.68%,-,-,-,-
Enterprise Value,"7,379","4,138","2,310","1,717","1,817",940,799,614,-,-,-
Last Close Price,106.82,69.80,36.56,26.23,33.37,18.20,15.58,12.10,-,-,-
PE Ratio,78.01,53.42,39.34,64.48,86.49,23.39,18.71,12.25,-,-,-
Forward PE,39.68,42.09,32.37,33.12,37.20,24.26,16.67,15.80,-,-,-
PS Ratio,2.36,2.02,1.23,1.06,1.92,1.20,1.03,0.92,-,-,-
PB Ratio,7.01,6.42,3.73,3.02,4.27,2.45,2.35,2.08,-,-,-
P/TBV Ratio,-,11.45,5.71,4.44,5.47,2.81,2.68,2.37,-,-,-
P/FCF Ratio,39.21,30.40,32.48,-,-,17.92,414.36,26.68,-,-,-
P/OCF Ratio,21.77,17.61,12.27,83.54,35.98,8.96,14.60,9.41,-,-,-
PEG Ratio,1.02,1.36,0.83,0.99,2.90,-,1.22,1.37,-,-,-
EV/Sales Ratio,3.01,2.27,1.48,1.32,2.00,1.20,1.02,0.90,-,-,-
EV/EBITDA Ratio,22.70,19.54,14.70,17.32,21.51,10.12,9.13,8.82,-,-,-
EV/EBIT Ratio,38.46,34.82,29.61,51.41,52.39,17.55,14.21,13.87,-,-,-
EV/FCF Ratio,48.29,34.16,38.93,-,-,17.86,410.36,26.31,-,-,-
Debt / Equity Ratio,1.76,0.96,0.76,0.86,0.55,0.26,0.15,0.21,0.38,0.39,-
Debt / EBITDA Ratio,4.08,2.27,2.14,3.17,2.23,0.92,0.58,0.90,0.89,1.09,-
Debt / FCF Ratio,9.83,4.57,6.58,-,-,1.93,25.84,2.70,2.54,2.27,-
Asset Turnover,1.13,1.32,1.35,1.37,1.27,1.36,1.52,1.65,1.76,-,-
Inventory Turnover,16.49,16.42,17.28,18.16,17.13,18.21,22.61,27.62,31.06,-,-
Quick Ratio,1.15,1.19,1.36,1.46,1.51,2.12,1.81,1.70,1.34,1.61,0.48
Current Ratio,1.47,1.54,1.70,1.85,1.90,2.44,2.18,1.99,1.53,1.77,0.51
Return on Equity (ROE),10.60%,12.65%,10.08%,4.94%,5.08%,11.06%,13.41%,22.49%,16.88%,-,-
Return on Assets (ROA),5.50%,5.38%,4.21%,2.20%,3.02%,5.77%,6.84%,6.70%,8.33%,-,-
Return on Capital (ROIC),7.01%,7.30%,5.56%,2.82%,3.87%,7.60%,9.30%,9.67%,12.63%,-,-
Return on Capital Employed (ROCE),8.10%,10.20%,8.30%,3.80%,5.30%,10.90%,13.90%,12.20%,20.10%,15.80%,-
Earnings Yield,1.24%,1.87%,2.54%,1.55%,1.16%,4.28%,5.34%,8.16%,-,-,-
FCF Yield,2.55%,3.29%,3.08%,-3.80%,-0.45%,5.58%,0.24%,3.75%,-,-,-
Buyback Yield / Dilution,-3.84%,-0.60%,-0.58%,-0.36%,-0.26%,-0.41%,-11.99%,-10.52%,3.39%,-,-
