Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Dec '11Dec 31, 2011"
Revenue,"2,451","1,824","1,564","1,302",910.74,785.68,783.24,680.1,568.21,542.35,4.12
Revenue Growth (YoY),39.18%,16.65%,20.12%,42.93%,15.92%,0.31%,15.17%,19.69%,4.77%,13054.52%,492.11%
Cost of Revenue,"2,087","1,566","1,367","1,162",790.8,663.47,665.29,580.56,477.24,467.46,-
Gross Profit,363.81,258.25,196.39,139.3,119.94,122.21,117.95,99.54,90.97,74.88,4.12
"Selling, General & Admin",182.57,150.04,126.65,106.76,85.26,66.87,61.15,55.3,47.87,40.43,-
Other Operating Expenses,-10.63,-10.63,-8.3,-0.86,-0,1.79,0.56,-,-,-,-
Operating Expenses,171.94,139.41,118.35,105.9,85.26,68.66,61.71,55.3,47.87,40.43,-
Operating Income,191.87,118.84,78.04,33.4,34.68,53.55,56.24,44.23,43.1,34.46,-
Interest Expense,-81.68,-29.7,-25.64,-8.56,-2.41,-1.33,-1.3,-1.27,-3.96,-4.66,-
Earnings From Equity Investments,-0.01,-0,-,-0.02,0.01,0.6,1.34,1.26,-,-,-
Other Non Operating Income (Expenses),0.39,-0.07,0.88,0.6,-1.44,-1.39,-1.16,-0.1,-0.21,-0.23,-
EBT Excluding Unusual Items,110.57,89.07,53.27,25.42,30.85,51.44,55.12,44.12,38.94,29.57,-
Merger & Restructuring Charges,-21.39,-1.46,-0.3,-0.8,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,9.96,4.48,12.44,3.67,2.04,1.62,1.91,2.39,3.48,3,-
Legal Settlements,-,-,-,-,-4.36,-,-,14.8,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,-1.64,-,-
Pretax Income,99.14,92.1,65.4,28.29,28.53,53.06,57.03,61.32,40.78,32.56,-
Income Tax Expense,24.62,23.16,16.4,6.92,8.35,12.76,13.91,10.53,14.74,10.54,-
Earnings From Continuing Operations,-,68.94,49,21.38,20.18,40.3,43.12,50.79,26.04,22.02,-
Net Income,74.52,68.94,49,21.38,20.18,40.3,43.12,50.79,26.04,22.02,-0.52
Net Income to Common,74.52,68.94,49,21.38,20.18,40.3,43.12,50.79,26.04,22.02,-
Net Income Growth,5.64%,40.68%,129.23%,5.94%,-49.93%,-6.55%,-15.10%,95.05%,18.25%,-,-
Shares Outstanding (Basic),54,52,52,52,52,51,51,46,42,43,-
Shares Outstanding (Diluted),55,53,52,52,52,52,51,46,42,43,-
Shares Change (YoY),3.84%,0.60%,0.58%,0.36%,0.26%,0.41%,11.99%,10.52%,-3.39%,-,-
EPS (Basic),1.38,1.33,0.95,0.41,0.39,0.78,0.84,1.11,0.63,0.51,-
EPS (Diluted),1.37,1.31,0.94,0.41,0.39,0.78,0.84,1.11,0.63,0.51,-
EPS Growth,2.44%,39.36%,129.27%,5.13%,-50.00%,-6.99%,-24.45%,77.11%,22.40%,-,-
Free Cash Flow,152.81,121.15,59.35,-52.35,-7.83,52.6,1.95,23.32,22.53,26.84,-
Free Cash Flow Per Share,2.80,2.30,1.14,-1.01,-0.15,1.02,0.04,0.51,0.54,0.62,-
Gross Margin,14.85%,14.16%,12.56%,10.70%,13.17%,15.55%,15.06%,14.64%,16.01%,13.81%,100.00%
Operating Margin,7.83%,6.52%,4.99%,2.57%,3.81%,6.82%,7.18%,6.50%,7.59%,6.35%,-
Profit Margin,3.04%,3.78%,3.13%,1.64%,2.21%,5.13%,5.50%,7.47%,4.58%,4.06%,-
Free Cash Flow Margin,6.24%,6.64%,3.80%,-4.02%,-0.86%,6.69%,0.25%,3.43%,3.96%,4.95%,-
EBITDA,325.06,211.76,157.14,99.13,84.49,92.85,87.47,69.55,64.18,55.99,-
EBITDA Margin,13.26%,11.61%,10.05%,7.62%,9.28%,11.82%,11.17%,10.23%,11.29%,10.32%,-
D&A For EBITDA,133.19,92.92,79.1,65.73,49.81,39.3,31.23,25.32,21.07,21.53,-
EBIT,191.87,118.84,78.04,33.4,34.68,53.55,56.24,44.23,43.1,34.46,-
EBIT Margin,7.83%,6.52%,4.99%,2.57%,3.81%,6.82%,7.18%,6.50%,7.59%,6.35%,-
Effective Tax Rate,24.83%,25.15%,25.08%,24.44%,29.27%,24.05%,24.39%,17.16%,36.15%,32.37%,-
