Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Dec '11Dec 31, 2011"
Cash & Equivalents,114.34,74.69,48.24,35.53,57.25,148.32,80.62,99.14,27.55,51.09,2.13
Cash & Short-Term Investments,114.34,74.69,48.24,35.53,57.25,148.32,80.62,99.14,27.55,51.09,2.13
Cash Growth,102.99%,54.81%,35.78%,-37.94%,-61.40%,83.97%,-18.68%,259.88%,-46.08%,2295.27%,41.41%
Receivables,519.29,376.78,331,294.48,181.19,139.64,151.91,129.63,125.58,110.26,0.17
Inventory,148.54,106.7,84.04,74.2,53.79,38.56,34.29,24.56,17.49,13.25,-
Prepaid Expenses,25.3,10.17,4.27,7.22,5.44,3.61,3.04,4.99,1.5,-,-
Restricted Cash,1.97,2,0.84,0.03,-,-,-,-,-,-,-
Other Current Assets,-,14.67,5.03,5.74,2.35,1.43,10.1,9.15,3.02,2.34,-
Total Current Assets,809.44,585.01,473.42,417.19,300.03,331.56,279.97,267.46,175.13,176.93,2.44
"Property, Plant & Equipment","1,218",668.86,519.58,495.4,411.37,244.61,205.87,178.69,115.91,104.34,5.79
Long-Term Investments,9.45,11.73,27,24.81,0.11,0.2,0.5,1.96,-,-,-
Goodwill,775.76,231.66,159.27,129.47,85.42,46.35,38.55,32.92,30.6,29.96,-
Other Intangible Assets,81.86,20.55,19.52,15.98,4.16,3.22,3.43,3.74,2.55,2.85,-
Long-Term Deferred Tax Assets,-,-,-,-,-,0.39,1.17,1.58,1.88,2.01,-
Other Long-Term Assets,31.29,23.72,20,11.57,4.17,0.16,0.16,7.41,1.38,2.2,-
Total Assets,"2,926","1,542","1,220","1,096",806.62,628.11,531.77,496.31,328.55,318.28,11.16
Accounts Payable,244.12,182.57,151.41,130.47,86.39,64.73,70.44,63.51,52.4,40.76,-
Accrued Expenses,61.08,33.16,22.98,16.06,22.75,19.79,16.93,14.55,14.56,12.81,-
Short-Term Debt,-,-,-,-,-,-,-,-,-,5.1,-
Current Portion of Long-Term Debt,38.5,26.56,15,12.5,10.1,13,7.54,14.77,10,9.76,-
Current Portion of Leases,17.55,9.07,2.34,2.21,1.4,2.05,-,-,-,-,-
Current Unearned Revenue,124.15,120.07,78.91,52.48,33.72,33.7,31.12,38.74,32.11,26.89,-
Other Current Liabilities,66.8,9.03,8.56,12.42,3.62,2.56,2.14,2.97,5.47,4.72,-
Total Current Liabilities,552.2,380.45,279.18,226.14,157.96,135.83,128.17,134.54,114.55,100.04,4.77
Long-Term Debt,"1,393",486.96,360.74,363.07,206.92,80.76,42.77,48.12,47.14,46.1,-
Long-Term Leases,53.23,30.66,12.65,12.06,5.3,5.55,-,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,1.94
Long-Term Deferred Tax Liabilities,52.99,53.85,37.12,26.71,17.36,14,11.48,8.89,9.67,8.94,-
Other Long-Term Liabilities,21.46,16.47,13.4,11.67,10.17,6.77,5.8,5.3,5.02,6.92,-
Total Liabilities,"2,073",968.4,703.09,639.64,397.72,242.92,188.22,196.84,176.37,162,6.71
Common Stock,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0,-
Additional Paid-In Capital,535.26,278.07,267.33,256.57,248.57,245.02,243.45,242.49,142.39,141.92,-
Retained Earnings,360.42,315.21,246.28,197.27,175.9,155.72,115.65,72.53,21.73,26.99,-
Treasury Stock,-47.9,-27.09,-15.78,-15.64,-15.6,-15.6,-15.6,-15.6,-11.98,-12.62,-
Comprehensive Income & Other,5.49,7.5,18.69,17.62,-0.02,-,-,-,-,-,-
Shareholders' Equity,853.33,573.74,516.57,455.88,408.9,385.2,343.55,299.47,152.18,156.28,4.45
Total Liabilities & Equity,"2,926","1,542","1,220","1,096",806.62,628.11,531.77,496.31,328.55,318.28,11.16
Total Debt,"1,502",553.25,390.73,389.83,223.72,101.36,50.31,62.89,57.14,60.96,-
Net Cash (Debt),"-1,388",-478.56,-342.48,-354.3,-166.47,46.96,30.31,36.25,-29.59,-9.88,-
Net Cash Growth,-,-,-,-,-,54.91%,-16.38%,-,-,-,-
Net Cash Per Share,-25.40,-9.10,-6.55,-6.82,-3.22,0.91,0.59,0.79,-0.71,-0.23,-
Filing Date Shares Outstanding,56.09,55.88,52.71,52.69,52.37,51.78,51.78,51.41,41.69,41.5,-
Total Common Shares Outstanding,55.97,52.68,52.73,52.55,52.29,51.78,51.78,51.41,41.69,41.5,-
Working Capital,257.25,204.55,194.24,191.05,142.06,195.73,151.79,132.91,60.58,76.89,-
Book Value Per Share,15.25,10.89,9.80,8.68,7.82,7.44,6.63,5.82,3.65,3.77,-
Tangible Book Value,-4.29,321.54,337.78,310.44,319.31,335.62,301.57,262.82,119.03,123.48,-
Tangible Book Value Per Share,-0.08,6.10,6.41,5.91,6.11,6.48,5.82,5.11,2.86,2.98,-
Land,188.15,94.18,76.4,59.45,53.42,38.65,34.37,29.62,20.99,15.84,-
Buildings,53.98,39.84,36.89,32.57,27.16,18.31,15.46,12.42,9.85,9.6,-
Machinery,"1,159",833.87,663.71,577.32,483.56,361.2,311.64,274.41,225.16,215.64,-
Construction In Progress,25.82,18.27,15.89,23.79,3.71,5.27,0.52,1.37,-,-,-
Leasehold Improvements,1.43,1.27,1.27,1.23,1.23,1.14,1.14,0.77,0.77,0.41,-
Order Backlog,-,"2,000","1,600","1,400",966.2,-,-,594.4,549.9,364.1,-
