Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"4,055","3,554","2,399","3,172","2,051","1,617","1,805","1,379","1,714","1,809","1,558"
Investment Securities,"1,125","1,285","1,612","1,576",551.09,586.14,516.73,791.03,463.03,465.11,545.25
Trading Asset Securities,15.88,10.48,41.1,20.75,8.95,0.99,-,-,-,1.57,1.95
Mortgage-Backed Securities,12.17,13.05,14.8,16.6,29.32,15.76,17.1,2.6,18.16,19.92,22.2
Total Investments,"1,153","1,308","1,668","1,613",589.35,602.89,533.83,793.63,481.19,486.6,569.4
Gross Loans,"8,278","8,025","7,657","6,944","6,171","6,409","5,662","4,976","4,722","4,400","4,232"
Allowance for Loan Losses,-99.51,-99.5,-96.8,-92.73,-83.94,-91.37,-54.24,-51.39,-51.67,-48.69,-41.67
Other Adjustments to Gross Loans,-,-,-,-,-2,-14.5,-,-,-,-,-
Net Loans,"8,179","7,926","7,560","6,851","6,086","6,303","5,608","4,925","4,670","4,352","4,190"
"Property, Plant & Equipment",313.77,303.94,284.49,283.69,274.05,266.08,206.28,174.36,134.09,126.77,126.81
Goodwill,182.26,182.26,182.26,182.06,149.92,149.92,148.6,79.75,54.04,54.04,54.04
Other Intangible Assets,10.55,13.16,16.7,19.98,17.57,19,22.61,16.38,10.93,13.12,15.39
Loans Held for Sale,8.92,8.07,3.49,6.23,24.78,53.72,11,8.17,6.17,9.32,13.73
Accrued Interest Receivable,41.2,40.9,39.4,30.6,21,26,24.5,65.24,51.06,39.35,38.76
Restricted Cash,-,-,-,-,-,-,63.84,45.2,44.49,41.97,40.09
Other Current Assets,0.05,0.46,-,6.6,-,-,-,-,-,-,-
Long-Term Deferred Tax Assets,-,15.83,18.91,22.75,1.17,7.91,0.67,5.21,9.09,12.68,9.72
Other Real Estate Owned & Foreclosed,52.58,33.67,34.19,36.94,39.55,32.48,6.07,6.87,4.42,3.87,8.21
Other Long-Term Assets,202.32,167.89,166.18,163.57,151.9,134.32,135.02,75.79,73.25,70.51,68.21
Total Assets,"14,198","13,554","12,372","12,388","9,406","9,212","8,566","7,574","7,253","7,019","6,693"
Interest Bearing Deposits,"8,302","7,245","6,419","5,805","4,166","4,119","4,373","3,642","3,545","3,393","3,221"
Institutional Deposits,-,566.74,299.02,224.52,150.39,154.65,153.99,349.92,319.81,328.36,342.92
Non-Interest Bearing Deposits,"3,816","3,907","3,982","4,945","3,775","3,791","2,956","2,614","2,550","2,527","2,410"
Total Deposits,"12,118","11,719","10,700","10,974","8,092","8,065","7,484","6,605","6,415","6,248","5,973"
Short-Term Borrowings,26.07,9.11,42.53,19.98,8.24,1.97,1.1,1.68,0.9,1.81,1.49
Current Portion of Leases,-,2.04,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,113.28,111.29,88.1,51.37,42.84,46.69,49.23,37.5,29.62,26.04,30.51
Other Current Liabilities,-,-,15.5,-,-,-,-,-,-,-,-
Long-Term Debt,86.2,86.16,86.1,86.04,85.99,26.8,-,-,-,-,-
Long-Term Leases,-,5.99,5.8,5.4,4.9,4.3,-,-,-,-,-
Trust Preferred Securities,-,-,-,-,-,-,26.8,26.8,31.96,31.96,31.96
Total Liabilities,"12,415","11,933","10,938","11,137","8,234","8,144","7,561","6,671","6,478","6,308","6,037"
Common Stock,33.33,33.22,32.93,32.88,32.6,32.72,32.69,32.6,31.9,31.62,15.6
Additional Paid-In Capital,194.32,187.06,174.7,169.23,159.91,156.57,153.35,149.71,107.48,101.73,102.87
Retained Earnings,"1,568","1,434","1,276","1,120",977.07,871.16,815.49,722.62,638.58,577.65,535.52
Comprehensive Income & Other,-12.8,-32.86,-50.04,-71.56,2.15,7.43,3.45,-2.14,-2.33,0.09,1.53
Shareholders' Equity,"1,783","1,621","1,434","1,251","1,172","1,068","1,005",902.79,775.63,711.09,655.51
Total Liabilities & Equity,"14,198","13,554","12,372","12,388","9,406","9,212","8,566","7,574","7,253","7,019","6,693"
Total Debt,112.27,103.29,134.43,111.43,99.12,33.08,27.9,28.48,32.86,33.77,33.45
Net Cash (Debt),"3,958","3,462","2,305","3,081","1,961","1,585","1,778","1,351","1,681","1,777","1,527"
Net Cash Growth,36.34%,50.15%,-25.17%,57.15%,23.71%,-10.84%,31.61%,-19.67%,-5.39%,16.40%,-17.02%
Net Cash Per Share,117.10,102.97,68.83,92.14,58.85,47.72,53.33,40.40,51.62,55.84,48.05
Filing Date Shares Outstanding,33.33,33.23,32.94,32.89,32.63,32.75,32.7,32.61,32.63,31.73,31.06
Total Common Shares Outstanding,33.33,33.22,32.93,32.88,32.6,32.72,32.69,32.6,31.89,31.62,31.19
Book Value Per Share,53.49,48.81,43.54,38.05,35.94,32.64,30.74,27.69,24.32,22.49,21.01
Tangible Book Value,"1,590","1,426","1,235","1,049","1,004",898.96,833.78,806.66,710.66,643.94,586.08
Tangible Book Value Per Share,47.71,42.92,37.50,31.90,30.80,27.47,25.50,24.74,22.28,20.36,18.79
