Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,585","3,882","3,204","2,899","2,298","1,918","2,040","1,634","1,630","1,462",914
Market Cap Growth,-0.14%,21.15%,10.55%,26.12%,19.80%,-5.94%,24.80%,0.26%,11.53%,59.87%,-6.86%
Last Close Price,106.95,115.81,94.45,84.00,66.08,53.82,55.42,43.32,43.59,39.02,24.05
PE Ratio,15.28,17.94,15.08,15.01,13.71,19.26,15.12,12.99,18.86,20.68,13.82
PS Ratio,5.33,6.24,5.32,5.30,4.65,5.03,4.96,4.28,4.84,4.88,3.19
PB Ratio,2.00,2.40,2.24,2.32,1.96,1.80,2.03,1.81,2.10,2.06,1.40
P/FCF Ratio,18.22,17.29,15.22,14.04,13.01,21.70,15.46,18.54,17.77,18.34,13.67
P/OCF Ratio,14.40,14.86,13.75,12.81,11.27,12.39,12.83,11.67,14.85,16.14,11.70
Debt / Equity Ratio,0.06,0.06,0.09,0.09,0.09,0.03,0.03,0.03,0.04,0.05,0.05
Debt / FCF Ratio,0.57,0.46,0.64,0.54,0.56,0.37,0.21,0.32,0.36,0.42,0.50
Return on Equity (ROE),14.11%,14.16%,15.83%,15.94%,14.97%,9.61%,14.14%,14.99%,11.63%,10.34%,10.46%
Return on Assets (ROA),1.73%,1.67%,1.72%,1.77%,1.80%,1.12%,1.67%,1.70%,1.21%,1.03%,1.00%
Earnings Yield,6.66%,5.57%,6.63%,6.66%,7.29%,5.19%,6.61%,7.70%,5.30%,4.83%,7.24%
FCF Yield,5.49%,5.78%,6.57%,7.12%,7.69%,4.61%,6.47%,5.39%,5.63%,5.45%,7.32%
Dividend Yield,1.82%,1.54%,1.76%,1.81%,2.12%,2.45%,2.24%,2.35%,1.84%,1.90%,2.91%
Payout Ratio,26.56%,26.70%,25.25%,25.10%,26.93%,42.65%,29.51%,24.05%,28.67%,32.22%,32.41%
Buyback Yield / Dilution,-0.75%,-0.37%,-0.16%,-0.38%,-0.31%,0.36%,0.30%,-2.65%,-2.34%,-0.16%,-0.58%
Total Shareholder Return,1.08%,1.17%,1.59%,1.43%,1.81%,2.81%,2.54%,-0.29%,-0.51%,1.74%,2.33%
