Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Revenue,122.5,71.54,64.98,65.7
Revenue Growth (YoY),88.52%,10.09%,-1.10%,-
Cost of Revenue,55.2,39.51,43.61,42.39
Gross Profit,67.3,32.03,21.37,23.31
"Selling, General & Admin",36.91,34.49,34.2,18.36
Other Operating Expenses,-193.32,-509.3,-33.47,22.87
Operating Expenses,-119.87,-452.07,15.14,58.06
Operating Income,187.17,484.1,6.24,-34.75
Interest Expense,-,-3.49,-8.81,-20.18
Currency Exchange Gain (Loss),-,-,-0.3,-
Other Non Operating Income (Expenses),5.72,6.78,-,-
EBT Excluding Unusual Items,192.89,487.39,-2.87,-54.93
Asset Writedown,-,-,-,-49.67
Other Unusual Items,-,5.97,23.68,-
Pretax Income,190.46,493.36,20.81,-104.6
Income Tax Expense,24.02,59.61,-18.8,-0.39
Earnings From Continuing Operations,166.45,433.75,39.61,-104.21
Earnings From Discontinued Operations,-,-4.82,-,-
Net Income,166.45,428.94,39.61,-104.21
Net Income to Common,166.45,428.94,39.61,-104.21
Net Income Growth,320.18%,982.81%,-,-
Shares Outstanding (Basic),921,51,-,-
Shares Outstanding (Diluted),921,51,-,-
EPS (Basic),0.18,8.49,-,-
EPS (Diluted),0.18,8.49,-,-
Free Cash Flow,-27.17,-89.71,-56.93,-119.5
Free Cash Flow Per Share,-0.03,-1.78,-,-
Gross Margin,54.94%,44.77%,32.89%,35.48%
Operating Margin,152.79%,676.71%,9.60%,-52.90%
Profit Margin,135.87%,599.60%,60.96%,-158.61%
Free Cash Flow Margin,-22.18%,-125.41%,-87.61%,-181.89%
EBITDA,223.71,506.85,20.64,-17.92
EBITDA Margin,182.62%,708.51%,31.77%,-27.27%
D&A For EBITDA,36.54,22.74,14.41,16.84
EBIT,187.17,484.1,6.24,-34.75
EBIT Margin,152.79%,676.71%,9.60%,-52.90%
Effective Tax Rate,12.61%,12.08%,-,-
