Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest and Dividend Income,"2,632","2,619","2,592","2,032","1,777","2,022","2,331","1,935","1,437","1,077",831.12
Total Interest Expense,"1,145","1,138","1,030",542.8,381.93,492.12,689.89,522.38,316.35,186.87,123.32
Net Interest Income,"1,487","1,481","1,562","1,489","1,395","1,530","1,641","1,413","1,121",890.38,707.8
Gain (Loss) on Sale of Loans & Receivables,323.67,254.93,160.29,327.75,548.32,238.32,-,2.06,-,0.23,135.36
Gain (Loss) on Sale of Investments,-8.06,0.47,2.68,-60.27,39.1,4.37,8,-1.55,-,-,-
Other Revenue,117.69,112.87,84.15,67.16,44.89,39.22,23.1,-52.32,5.36,59.54,41.94
Revenue Before Loan Losses,"1,920","1,849","1,809","1,823","2,027","1,811","1,672","1,361","1,126",950.15,885.09
Provision for Loan Losses,459.65,408.52,345.46,633.45,-32.96,93.13,354.25,244.86,185.77,159.41,90.06
Revenue,"1,461","1,441","1,464","1,190","2,060","1,718","1,318","1,116",940.55,790.75,795.04
Revenue Growth (YoY),-7.91%,-1.59%,23.02%,-42.24%,19.89%,30.37%,18.07%,18.69%,18.95%,-0.54%,22.27%
Salaries & Employee Benefits,339.48,349.39,326.55,270.35,258.32,282.5,278.23,252.35,213.32,184,158.98
Cost of Services Provided,42.29,51.61,45.77,20.94,23.37,21.96,32.85,32.79,28.95,19.21,14.35
Other Operating Expenses,265.85,235.58,245.93,257.57,236.96,233.64,263.17,271.84,206.82,183.11,175.77
Total Operating Expenses,651.89,641.9,684.62,556.64,518.65,538.09,574.25,556.98,449.09,386.31,350.58
Operating Income,808.73,798.64,779.25,633.33,"1,542","1,180",743.74,559.33,491.47,404.44,444.46
EBT Excluding Unusual Items,808.73,798.64,779.25,633.33,"1,542","1,180",743.74,559.33,491.47,404.44,444.46
Restructuring Charges,-,-,-,-,-1.26,-26.22,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,-,10,-5.4
Pretax Income,808.73,798.64,778.3,630.73,"1,540","1,154",743.74,559.33,491.47,414.44,439.06
Income Tax Expense,185.52,190.31,196.91,161.71,379.75,273.32,165.46,71.85,202.53,164.11,164.78
Earnings From Continuing Ops.,623.22,608.33,581.39,469.01,"1,161",880.69,578.28,487.48,288.93,250.33,274.28
Net Income,623.22,608.33,581.39,469.01,"1,161",880.69,578.28,487.48,288.93,250.33,274.28
Preferred Dividends & Other Adjustments,16.29,18.3,17.71,9.03,4.74,9.73,16.84,15.64,15.71,21.2,19.6
Net Income to Common,606.93,590.03,563.69,459.99,"1,156",870.96,561.44,471.84,273.22,229.12,254.69
Net Income Growth,-6.31%,4.63%,23.96%,-59.59%,31.77%,52.30%,18.63%,68.72%,15.42%,-8.73%,41.22%
Shares Outstanding (Basic),209,216,231,258,315,384,427,435,431,428,426
Shares Outstanding (Diluted),213,220,234,262,320,387,431,440,439,433,432
Shares Change (YoY),-4.18%,-6.04%,-10.49%,-18.26%,-17.38%,-10.10%,-2.05%,0.26%,1.30%,0.16%,-0.01%
EPS (Basic),2.90,2.73,2.44,1.78,3.67,2.27,1.31,1.08,0.63,0.54,0.60
EPS (Diluted),2.84,2.68,2.41,1.76,3.61,2.25,1.30,1.07,0.62,0.53,0.59
EPS Growth,-2.15%,11.20%,36.93%,-51.25%,60.44%,73.08%,21.50%,72.58%,16.98%,-10.17%,40.48%
Dividend Per Share,0.520,0.460,0.440,0.440,0.200,0.120,0.120,-,-,-,-
Dividend Growth,18.18%,4.54%,-,120.00%,66.67%,-,-,-,-,-,-
Operating Margin,55.37%,55.44%,53.23%,53.22%,74.83%,68.69%,56.43%,50.10%,52.25%,51.15%,55.91%
Profit Margin,41.55%,40.96%,38.51%,38.66%,56.10%,50.69%,42.60%,42.27%,29.05%,28.98%,32.04%
Effective Tax Rate,22.94%,23.83%,25.30%,25.64%,24.65%,23.68%,22.25%,12.85%,41.21%,39.60%,37.53%
