Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,604","5,856","4,326","4,153","5,767","4,649","3,762","3,620","4,880","4,720","2,778"
Market Cap Growth,16.99%,35.36%,4.17%,-27.98%,24.04%,23.60%,3.90%,-25.82%,3.41%,69.88%,-35.57%
PE Ratio,9.71,9.93,7.68,9.03,4.99,5.34,6.70,7.67,17.86,20.60,10.91
PS Ratio,3.96,4.07,2.96,3.49,2.80,2.71,2.85,3.24,5.19,5.97,3.49
PB Ratio,2.68,2.71,2.30,2.40,2.68,1.81,1.14,1.22,1.97,2.01,1.33
P/OCF Ratio,-,-,-,831.99,-,-,-,-,-,-,-
Debt / Equity Ratio,2.92,2.98,2.78,3.03,2.76,2.03,1.40,1.44,1.32,0.93,0.53
Quick Ratio,1.36,1.31,1.21,1.21,1.26,1.12,1.29,1.38,1.36,1.33,1.22
Current Ratio,1.37,1.32,1.22,1.22,1.27,1.26,1.30,1.39,1.37,1.33,1.22
Asset Turnover,0.05,0.05,0.05,0.04,0.07,0.05,0.04,0.05,0.05,0.05,0.06
Return on Equity (ROE),27.85%,30.11%,32.23%,24.20%,49.25%,29.98%,18.40%,17.90%,11.99%,11.27%,13.97%
Return on Assets (ROA),2.09%,2.05%,2.00%,1.62%,3.87%,2.78%,1.95%,2.01%,1.43%,1.48%,1.95%
Earnings Yield,10.83%,10.39%,13.44%,11.29%,20.12%,18.94%,15.37%,13.46%,5.92%,5.30%,9.87%
Dividend Yield,1.88%,1.69%,2.38%,2.82%,1.11%,1.07%,1.51%,-,-,-,-
Payout Ratio,18.29%,19.31%,20.46%,26.01%,5.62%,6.37%,11.75%,3.21%,5.44%,8.47%,7.14%
Buyback Yield / Dilution,4.18%,6.04%,10.49%,18.26%,17.38%,10.10%,2.05%,-0.26%,-1.30%,-0.16%,0.01%
Total Shareholder Return,6.07%,7.72%,12.87%,21.08%,18.49%,11.17%,3.56%,-0.26%,-1.30%,-0.16%,0.01%
