Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,353","2,745","2,929","2,408","1,946","1,618","1,859","1,245","1,129",937,602
Market Cap Growth,-15.71%,-6.29%,21.68%,23.71%,20.28%,-12.96%,49.35%,10.23%,20.47%,55.76%,-35.37%
Enterprise Value,"2,907","3,350","3,595","2,825","2,403","1,866","2,168","1,549","1,451","1,281",983
Last Close Price,97.38,109.95,115.65,93.64,74.42,60.83,67.56,44.34,39.51,32.05,19.84
PE Ratio,16.20,11.85,16.78,20.91,21.69,15.86,19.20,15.67,7.34,24.50,14.87
Forward PE,14.88,19.54,23.05,21.44,19.39,16.51,19.92,16.42,22.06,22.18,14.15
PS Ratio,2.57,3.01,3.52,3.79,3.64,2.83,3.26,2.50,2.44,2.21,1.49
PB Ratio,2.00,2.44,3.14,3.00,2.66,2.37,2.93,2.18,2.15,2.38,1.59
P/TBV Ratio,2.90,3.68,5.37,3.64,3.52,2.50,3.11,2.32,2.31,2.62,1.76
P/FCF Ratio,17.44,12.99,-,38.21,14.28,12.69,35.30,27.22,21.91,11.64,19.98
P/OCF Ratio,11.17,7.33,30.73,12.38,9.94,8.96,9.89,8.72,9.23,6.66,4.17
PEG Ratio,1.11,1.63,1.77,1.65,1.49,1.27,1.33,1.10,1.58,1.58,1.13
EV/Sales Ratio,3.12,3.68,4.32,4.45,4.50,3.26,3.80,3.11,3.14,3.02,2.43
EV/EBITDA Ratio,11.52,13.18,16.16,15.85,15.45,12.48,14.41,12.26,13.83,14.52,11.43
EV/EBIT Ratio,12.50,14.26,17.80,19.18,19.34,13.26,15.34,13.18,15.05,16.17,12.77
EV/FCF Ratio,21.46,15.85,-,44.84,17.64,14.64,41.18,33.89,28.15,15.92,32.64
Debt / Equity Ratio,0.46,0.54,0.83,0.53,0.58,0.33,0.48,0.52,0.58,0.83,1.00
Debt / EBITDA Ratio,2.11,2.29,3.33,2.30,2.74,1.49,1.97,2.36,2.89,3.70,4.43
Debt / FCF Ratio,4.07,2.85,-,6.75,3.13,1.75,5.76,6.53,5.89,4.05,12.66
Asset Turnover,0.40,0.41,0.42,0.39,0.37,0.44,0.45,0.42,0.41,0.37,0.36
Inventory Turnover,27.45,31.99,-,-,-,-,-,-,-,-,-
Quick Ratio,1.47,1.32,1.50,1.22,1.18,1.15,1.31,1.35,1.25,1.25,1.49
Current Ratio,2.04,1.81,2.07,2.63,1.50,1.46,1.67,1.70,1.51,1.58,1.89
Return on Equity (ROE),12.70%,22.53%,12.87%,13.45%,12.03%,15.49%,16.06%,14.49%,33.52%,9.88%,10.06%
Return on Assets (ROA),6.27%,6.54%,6.43%,5.57%,5.41%,6.80%,6.99%,6.21%,5.29%,4.34%,4.24%
Return on Capital (ROIC),8.42%,8.54%,8.58%,7.71%,7.53%,9.55%,9.78%,8.65%,7.78%,6.69%,6.38%
Return on Capital Employed (ROCE),10.70%,11.10%,9.80%,9.40%,8.50%,12.10%,11.70%,10.40%,9.10%,7.50%,7.10%
Earnings Yield,6.16%,8.44%,5.96%,4.78%,4.61%,6.30%,5.21%,6.38%,13.63%,4.08%,6.73%
FCF Yield,5.74%,7.70%,-3.83%,2.62%,7.00%,7.88%,2.83%,3.67%,4.57%,8.59%,5.00%
Dividend Yield,2.03%,1.73%,1.61%,1.94%,2.34%,2.76%,2.22%,3.07%,2.63%,3.18%,5.04%
Payout Ratio,32.71%,20.18%,26.09%,38.45%,47.02%,39.00%,36.71%,38.96%,16.16%,63.91%,63.70%
Buyback Yield / Dilution,-0.25%,-0.17%,-0.04%,-0.02%,0.07%,0.37%,-0.34%,-1.12%,-1.22%,5.82%,2.74%
Total Shareholder Return,1.77%,1.56%,1.57%,1.93%,2.40%,3.14%,1.88%,1.95%,1.41%,9.00%,7.78%
