Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Operating Revenue,"1,518","1,472","1,282","1,098",847.69,631.73,546.21,447.75,368.43,296.38,228.01
Other Revenue,122.88,123.42,120.84,76.56,4.96,3.9,15.12,19.88,9.09,3.63,2.69
Revenue,"1,640","1,595","1,403","1,175",852.65,635.63,561.33,467.63,377.53,300.01,230.7
Revenue Growth (YoY),13.30%,13.74%,19.40%,37.76%,34.14%,13.24%,20.04%,23.87%,25.84%,30.04%,51.08%
Cost of Revenue,508.4,495.49,439.84,365.68,285.89,218.64,181.43,153.85,149.2,123.99,98.09
Gross Profit,"1,132","1,100",962.68,808.92,566.76,416.99,379.9,313.78,228.33,176.02,132.62
"Selling, General & Admin",600.51,587.12,526.66,488.54,378.15,281.58,250.38,207.23,174.74,139.63,109.43
Research & Development,214.2,205.85,178.33,163.99,102.91,76.71,62.77,50.33,37.65,29.1,26.74
Other Operating Expenses,1.32,1.37,1.42,1.35,0.99,0.66,0.58,-,-,-,-
Operating Expenses,816.03,794.34,706.42,653.88,482.04,358.95,313.73,257.56,212.38,168.73,136.17
Operating Income,316.01,305.39,256.26,155.05,84.72,58.04,66.17,56.22,15.95,7.3,-3.55
Interest Expense,-15.01,-13.05,-0.76,-0.75,-0.5,-1,-0.7,-,-,-,-
Interest & Investment Income,-,-,-,-,-,-,-,-,1.03,0.33,0.59
Other Non Operating Income (Expenses),16.01,18.09,17.68,4.34,-0.5,0.06,1.64,1.82,-,-,-
EBT Excluding Unusual Items,317.01,310.43,273.18,158.63,83.72,57.1,67.12,58.05,16.98,7.62,-2.96
Merger & Restructuring Charges,-1.92,-1.37,-0.47,-0.02,-0.12,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-0.23,-0.25,-0.71
Other Unusual Items,-,-,4.3,-,-,-,-,-,-,-,-
Pretax Income,315.09,309.06,277.02,158.61,83.6,57.1,67.12,58.05,16.75,7.37,-3.67
Income Tax Expense,89.55,81.94,70.25,17.79,-7.18,-13.72,2.66,4.22,-21.85,0.65,0.18
Net Income,225.55,227.13,206.77,140.82,90.78,70.82,64.46,53.82,38.6,6.72,-3.85
Net Income to Common,225.55,227.13,206.77,140.82,90.78,70.82,64.46,53.82,38.6,6.72,-3.85
Net Income Growth,1.68%,9.85%,46.83%,55.13%,28.18%,9.87%,19.75%,39.45%,474.55%,-,-
Shares Outstanding (Basic),55,56,56,56,55,54,54,53,52,51,51
Shares Outstanding (Diluted),56,57,57,57,56,56,56,55,55,54,51
Shares Change (YoY),-0.66%,-0.75%,0.67%,0.27%,0.25%,0.89%,0.71%,0.96%,1.54%,6.17%,1.57%
EPS (Basic),4.06,4.08,3.68,2.53,1.65,1.30,1.20,1.02,0.74,0.13,-0.08
EPS (Diluted),4.00,4.02,3.63,2.49,1.61,1.26,1.15,0.97,0.70,0.12,-0.08
EPS Growth,2.58%,10.74%,45.78%,54.66%,27.78%,9.56%,18.56%,38.57%,483.33%,-,-
Free Cash Flow,398.69,405.15,366.64,260.81,136.98,115.39,96.08,96.27,64.44,37.8,16.91
Free Cash Flow Per Share,7.06,7.17,6.43,4.61,2.43,2.05,1.72,1.74,1.17,0.70,0.33
Gross Margin,69.01%,68.94%,68.64%,68.87%,66.47%,65.60%,67.68%,67.10%,60.48%,58.67%,57.48%
Operating Margin,19.26%,19.14%,18.27%,13.20%,9.93%,9.13%,11.79%,12.02%,4.23%,2.43%,-1.54%
Profit Margin,13.75%,14.24%,14.74%,11.99%,10.65%,11.14%,11.48%,11.51%,10.22%,2.24%,-1.67%
Free Cash Flow Margin,24.30%,25.40%,26.14%,22.20%,16.07%,18.15%,17.12%,20.59%,17.07%,12.60%,7.33%
EBITDA,358.13,345.08,287.44,184.47,109.67,77.79,84.82,73.87,31.84,18.88,4.88
EBITDA Margin,21.83%,21.63%,20.50%,15.71%,12.86%,12.24%,15.11%,15.80%,8.43%,6.29%,2.11%
D&A For EBITDA,42.12,39.69,31.18,29.43,24.95,19.75,18.65,17.64,15.89,11.58,8.43
EBIT,316.01,305.39,256.26,155.05,84.72,58.04,66.17,56.22,15.95,7.3,-3.55
EBIT Margin,19.26%,19.14%,18.27%,13.20%,9.93%,9.13%,11.79%,12.02%,4.23%,2.43%,-1.54%
Effective Tax Rate,28.42%,26.51%,25.36%,11.22%,-,-,3.97%,7.27%,-,8.83%,-
Revenue as Reported,"1,640","1,595","1,403","1,175",852.65,635.63,561.33,467.63,377.53,300.01,230.7
Advertising Expenses,-,19.8,22.41,15.7,8.34,3.19,1.02,0.28,0.18,0.2,0.22
