Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,165.19,398.07,401.81,288.77,139.76,202.29,250.85,132.48,137.19,103.47,86.5
Short-Term Investments,-,-,-,-,-,4.46,34.56,29.31,0.73,-,-
Cash & Short-Term Investments,165.19,398.07,401.81,288.77,139.76,206.74,285.41,161.79,137.93,103.47,86.5
Cash Growth,-78.78%,-0.93%,39.15%,106.62%,-32.40%,-27.56%,76.41%,17.30%,33.30%,19.62%,6.45%
Receivables,41.72,41.64,33,25.09,15.75,6.27,4.92,4.36,3.45,2.04,1.68
Prepaid Expenses,59.42,50.94,39.77,35.06,28.9,15.97,13.19,13.9,11.25,14.88,7.41
Other Current Assets,"2,897","2,821","3,050","2,700","4,047","1,804","1,360","1,416","1,226",942.46,"1,240"
Total Current Assets,"3,163","3,312","3,524","3,048","4,232","2,033","1,663","1,596","1,378","1,063","1,335"
"Property, Plant & Equipment",87.14,90.21,94.43,108.14,112.05,103.82,115.4,70.06,62.03,40.76,26.79
Long-Term Investments,-,-,-,-,-,-,2.6,0.71,-,-,-
Goodwill,343.16,343.1,108.94,102.05,101.95,33.65,21.66,9.59,9.59,6,6
Other Intangible Assets,221.13,224.99,144.7,120.65,107.46,58.05,49.86,38.24,34.1,26.3,21.85
Long-Term Deferred Tax Assets,14.13,17.75,17.82,15.85,19.06,11.6,4.96,6.47,22.14,-,-
Long-Term Deferred Charges,400.42,393.67,348,294.22,229.07,170.66,125.71,81.42,-,-,-
Other Long-Term Assets,7.2,7.74,7.08,6.33,7.75,4.22,2.32,1.27,1.5,1.54,0.85
Total Assets,"4,236","4,389","4,245","3,696","4,809","2,415","1,986","1,804","1,508","1,137","1,391"
Accounts Payable,6.01,17.35,8.64,6.15,8.37,4.23,1.76,3.95,2.99,2.05,1.62
Accrued Expenses,127.55,148.74,124.73,110.95,102.44,86.12,63.02,50.57,39.44,30.3,24.98
Current Portion of Leases,8.06,8.62,7.63,7.8,8.4,7.55,8.08,1.48,-,-,-
Current Unearned Revenue,38.57,35.72,25.95,24.54,13.55,9.44,8.78,5.57,0.65,-,-
Other Current Liabilities,"2,765","2,695","2,950","2,625","3,988","1,760","1,327","1,394","1,228",942.46,"1,240"
Total Current Liabilities,"2,945","2,905","3,117","2,775","4,121","1,867","1,409","1,456","1,271",974.81,"1,266"
Long-Term Debt,81.25,162.5,-,-,-,-,100,-,-,-,-
Long-Term Leases,46.24,46.77,46.81,62.47,69.12,67.2,73.3,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,-,0.72,-,-,-
Long-Term Deferred Tax Liabilities,51.35,32.56,41.82,11.82,2.22,1.78,8.75,6.94,-,0.4,0.25
Other Long-Term Liabilities,8.49,8.58,6.4,3.73,3.68,1.96,1.75,32.27,23.93,14.62,4.65
Total Liabilities,"3,133","3,156","3,212","2,853","4,196","1,938","1,593","1,496","1,295",989.83,"1,271"
Common Stock,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05
Additional Paid-In Capital,148.58,327.52,360.49,380.63,289.84,241.72,227.91,207.98,219.59,192.84,171.52
Retained Earnings,948.57,900.58,673.46,466.69,325.87,235.09,164.27,99.82,-6.68,-45.28,-51.99
Comprehensive Income & Other,6.27,5.59,-0.94,-4.52,-2.3,0.07,0.68,0.11,-0.14,-,-
Shareholders' Equity,"1,103","1,234","1,033",842.86,613.46,476.93,392.91,307.96,212.82,147.61,119.57
Total Liabilities & Equity,"4,236","4,389","4,245","3,696","4,809","2,415","1,986","1,804","1,508","1,137","1,391"
Total Debt,135.55,217.89,54.45,70.27,77.52,74.75,181.38,1.48,-,-,-
Net Cash (Debt),29.65,180.18,347.36,218.5,62.24,131.99,104.03,160.31,137.93,103.47,86.5
Net Cash Growth,-92.59%,-48.13%,58.98%,251.06%,-52.85%,26.89%,-35.11%,16.23%,33.30%,19.62%,6.45%
Net Cash Per Share,0.53,3.19,6.10,3.86,1.10,2.34,1.86,2.89,2.51,1.91,1.70
Filing Date Shares Outstanding,54.38,55.16,55.57,55.92,55.28,54.6,53.81,53.08,52.77,51.75,51.16
Total Common Shares Outstanding,54.38,55.37,55.51,55.91,55.19,54.59,53.79,53.08,52.76,51.74,51.13
Working Capital,217.63,406.7,407.13,273.64,111.15,165.87,254.21,140.14,107.4,88.04,68.99
Book Value Per Share,20.29,22.28,18.61,15.07,11.12,8.74,7.30,5.80,4.03,2.85,2.34
Tangible Book Value,539.19,665.66,779.42,620.16,404.05,385.24,321.39,260.14,169.14,115.31,91.72
Tangible Book Value Per Share,9.92,12.02,14.04,11.09,7.32,7.06,5.97,4.90,3.21,2.23,1.79
Machinery,84.09,83.47,78.99,74.14,72.65,63.74,60.28,53.06,43.89,35.55,24.98
Leasehold Improvements,51.02,50.75,49.39,48.16,47.52,46.81,46.19,44.35,36.37,21.43,11.16
