Period Ending,"Nov '25Nov 13, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"8,065","10,007","7,440","10,299","9,615","10,395","7,832","4,970","3,099","2,327","2,204"
Market Cap Growth,-17.13%,34.50%,-27.76%,7.12%,-7.50%,32.72%,57.59%,60.37%,33.17%,5.61%,21.42%
Enterprise Value,"8,035","9,830","7,005","10,137","9,598","10,289","7,735","4,831","2,970","2,226","2,114"
Last Close Price,148.30,181.19,131.85,184.53,174.42,190.80,145.89,93.82,58.86,45.18,43.20
PE Ratio,37.06,44.06,35.99,73.14,105.92,146.78,121.52,92.34,80.29,346.42,-
Forward PE,19.85,26.29,20.27,34.75,58.58,96.63,101.82,59.36,59.50,64.09,142.95
PS Ratio,5.02,6.27,5.31,8.77,11.28,16.35,13.95,10.63,8.21,7.76,9.55
PB Ratio,7.31,8.11,7.20,12.22,15.67,21.80,19.93,16.14,14.56,15.77,18.43
P/TBV Ratio,14.96,15.03,9.55,16.61,23.80,26.98,24.37,19.11,18.32,20.18,24.03
P/FCF Ratio,20.23,24.70,20.29,39.49,70.19,90.08,81.52,51.63,48.10,61.57,130.32
P/OCF Ratio,19.52,23.93,19.34,36.43,62.01,83.26,69.52,43.21,31.67,37.55,66.79
PEG Ratio,3.05,6.31,6.31,6.31,6.31,4.83,5.09,2.62,2.32,1.97,5.72
EV/Sales Ratio,4.90,6.16,4.99,8.63,11.26,16.19,13.78,10.33,7.87,7.42,9.16
EV/EBITDA Ratio,22.44,28.49,24.37,54.95,87.52,132.27,91.18,65.40,93.28,117.92,433.46
EV/EBIT Ratio,25.43,32.19,27.33,65.38,113.30,177.26,116.89,85.92,186.20,305.07,-
EV/FCF Ratio,20.15,24.26,19.11,38.87,70.07,89.17,80.50,50.18,46.09,58.89,125.01
Debt / Equity Ratio,0.12,0.18,0.05,0.08,0.13,0.16,0.46,0.01,-,-,-
Debt / EBITDA Ratio,0.36,0.61,0.18,0.35,0.63,0.81,1.86,0.02,-,-,-
Debt / FCF Ratio,0.34,0.54,0.15,0.27,0.57,0.65,1.89,0.02,-,-,-
Asset Turnover,0.40,0.37,0.35,0.28,0.24,0.29,0.30,0.28,0.28,0.24,0.22
Quick Ratio,0.07,0.15,0.14,0.11,0.04,0.11,0.21,0.11,0.11,0.11,0.07
Current Ratio,1.07,1.14,1.13,1.10,1.03,1.09,1.18,1.10,1.09,1.09,1.05
Return on Equity (ROE),20.42%,20.04%,22.04%,19.34%,16.65%,16.28%,18.39%,20.67%,21.42%,5.03%,-3.39%
Return on Assets (ROA),4.78%,4.42%,4.03%,2.28%,1.47%,1.65%,2.18%,2.12%,0.75%,0.36%,-0.21%
Return on Capital (ROIC),14.51%,15.03%,16.01%,12.08%,8.52%,6.44%,9.36%,13.46%,5.53%,3.41%,-1.95%
Return on Capital Employed (ROCE),24.50%,20.60%,22.70%,16.80%,12.30%,10.60%,11.50%,16.20%,6.70%,4.50%,-
Earnings Yield,2.80%,2.27%,2.78%,1.37%,0.94%,0.68%,0.82%,1.08%,1.24%,0.29%,-0.18%
FCF Yield,4.94%,4.05%,4.93%,2.53%,1.43%,1.11%,1.23%,1.94%,2.08%,1.62%,0.77%
Buyback Yield / Dilution,0.66%,0.75%,-0.67%,-0.27%,-0.25%,-0.89%,-0.71%,-0.96%,-1.54%,-6.17%,-1.57%
