Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Dec '15Dec 26, 2015"
Market Capitalization,"4,258","6,159","6,961","5,852","6,564","5,196","4,466","3,914","4,369","3,564","2,510"
Market Cap Growth,-31.43%,-11.52%,18.95%,-10.84%,26.33%,16.33%,14.11%,-10.41%,22.58%,41.99%,-24.59%
Enterprise Value,"3,937","5,752","6,590","5,833","6,485","5,075","4,299","3,816","4,228","3,500","2,478"
Last Close Price,123.63,170.87,186.46,153.88,159.75,123.10,100.44,83.96,89.99,73.42,49.77
PE Ratio,31.52,31.43,26.33,13.58,17.20,27.05,19.61,15.33,24.67,25.95,17.00
Forward PE,23.87,27.33,26.49,17.22,17.30,21.65,19.35,15.07,25.88,25.22,16.38
PS Ratio,0.90,1.27,1.31,0.79,1.00,1.26,1.09,0.85,1.20,1.13,0.76
PB Ratio,4.78,6.33,7.08,6.60,7.62,7.51,6.19,5.68,6.68,6.57,5.38
P/TBV Ratio,4.97,6.61,7.39,6.92,7.99,7.98,6.54,6.04,7.14,6.97,5.77
P/FCF Ratio,21.35,24.10,18.92,9.81,25.90,28.85,15.49,13.58,35.41,21.26,11.88
P/OCF Ratio,19.91,21.49,17.68,9.40,23.72,24.66,14.51,13.14,31.44,18.73,11.62
PEG Ratio,7.96,2.48,1.32,1.35,0.83,1.91,1.89,1.00,1.82,1.99,1.09
EV/Sales Ratio,0.82,1.19,1.24,0.78,0.99,1.23,1.05,0.83,1.16,1.10,0.75
EV/EBITDA Ratio,15.35,18.92,16.57,9.32,11.72,15.53,12.56,10.19,14.90,13.69,9.16
EV/EBIT Ratio,18.94,23.26,19.41,10.27,12.87,18.06,14.43,11.54,17.39,15.92,10.26
EV/FCF Ratio,19.80,22.51,17.91,9.78,25.58,28.18,14.90,13.24,34.27,20.88,11.73
Debt / Equity Ratio,0.14,0.17,0.14,0.22,0.27,0.25,0.23,0.27,0.26,0.32,0.34
Debt / EBITDA Ratio,0.49,0.54,0.33,0.31,0.41,0.54,0.49,0.49,0.59,0.68,0.59
Debt / FCF Ratio,0.63,0.64,0.36,0.33,0.90,0.98,0.58,0.64,1.36,1.04,0.76
Asset Turnover,2.80,2.67,2.85,3.74,3.54,2.69,2.91,3.38,2.98,3.04,3.26
Quick Ratio,1.92,1.93,1.97,1.61,1.49,1.48,1.77,1.78,1.73,1.91,1.74
Current Ratio,2.01,1.96,2.00,1.64,1.51,1.50,1.81,1.81,1.75,1.94,1.78
Return on Equity (ROE),14.41%,20.03%,28.26%,49.27%,49.11%,27.18%,32.29%,38.01%,29.59%,27.23%,30.95%
Return on Assets (ROA),7.60%,8.55%,11.37%,17.85%,17.03%,11.40%,13.26%,15.13%,12.41%,13.16%,14.83%
Return on Capital (ROIC),12.06%,13.72%,19.29%,32.67%,32.17%,20.01%,21.14%,24.40%,19.76%,20.45%,23.95%
Return on Capital Employed (ROCE),19.90%,21.70%,30.10%,53.90%,48.70%,33.20%,34.10%,39.20%,30.30%,30.70%,38.80%
Earnings Yield,3.23%,3.18%,3.80%,7.36%,5.81%,3.70%,5.10%,6.52%,4.05%,3.85%,5.88%
FCF Yield,4.68%,4.15%,5.29%,10.20%,3.86%,3.47%,6.46%,7.36%,2.82%,4.70%,8.42%
Dividend Yield,2.91%,0.81%,0.68%,0.71%,0.58%,0.64%,0.70%,0.75%,0.42%,0.46%,0.60%
Payout Ratio,90.77%,25.44%,17.28%,26.84%,29.35%,15.91%,12.25%,34.83%,9.00%,10.44%,8.86%
Buyback Yield / Dilution,1.86%,1.06%,1.95%,4.19%,0.95%,2.98%,3.69%,1.70%,0.50%,3.60%,3.00%
Total Shareholder Return,4.77%,1.87%,2.62%,4.91%,1.53%,3.62%,4.39%,2.45%,0.92%,4.06%,3.60%
