Period Ending,"Aug '25Aug 2, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021","Feb '20Feb 1, 2020","Feb '19Feb 2, 2019","Feb '18Feb 3, 2018","Jan '17Jan 28, 2017","Jan '16Jan 30, 2016"
Cash & Equivalents,231.16,205.12,266.26,210.6,246.98,447.13,89.95,51.94,39.23,98.68,30.26
Short-Term Investments,85.89,223.55,86.98,60.17,-,-,-,-,-,-,-
Cash & Short-Term Investments,317.06,428.67,353.24,270.76,246.98,447.13,89.95,51.94,39.23,98.68,30.26
Cash Growth,-10.22%,21.35%,30.46%,9.63%,-44.76%,397.08%,73.18%,32.39%,-60.24%,226.13%,37.84%
Receivables,1.81,2.35,2.22,2.37,1.37,0.62,2.84,0.57,1.27,0.3,0.18
Inventory,637.24,552.54,505.79,470.53,467.31,353.7,335.18,296.41,255.19,210.11,190.61
Prepaid Expenses,11.72,10.23,10.17,10.63,11.17,7.32,5.57,9.58,7.99,3.74,2.76
Total Current Assets,967.82,993.79,871.43,754.3,726.83,808.77,433.54,358.5,303.68,312.83,223.81
"Property, Plant & Equipment","1,013",889.7,745.59,612.27,567.73,519.26,484.77,119.05,54.89,46.33,39.29
Goodwill,444.85,444.85,444.85,444.85,444.85,444.85,444.85,444.85,444.85,444.85,444.85
Other Intangible Assets,230.56,230.56,230.56,230.56,230.56,230.56,230.56,232.3,232.64,232.98,233.35
Other Long-Term Assets,2.24,2.25,2.17,2.12,2.2,2.42,2.53,4.3,2.15,2.39,2.52
Total Assets,"2,802","2,561","2,295","2,044","1,972","2,006","1,596","1,159","1,038","1,039",943.82
Accounts Payable,165.63,130.28,128.1,90.2,106.6,117.22,63.22,77.43,74.21,50.45,52.08
Accrued Expenses,51.37,66.74,65.41,60.02,60.94,74.79,42.01,51.68,42.31,44.75,35.57
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,10.16,5.08,5.02
Current Portion of Leases,103.64,84.5,89.82,89.07,75.87,65.06,53.82,0.24,-,-,-
Current Income Taxes Payable,0.13,1.71,14.74,3.06,2.56,10.96,3.91,7.39,6.04,4.55,4.1
Current Unearned Revenue,17.44,16.01,12.81,10.66,10.07,10.02,9.93,10.5,-,-,-
Other Current Liabilities,30.16,5.11,4.68,6.28,7.23,5.75,4.79,3.75,4.02,-,-
Total Current Liabilities,368.37,304.34,315.55,259.29,263.27,283.8,177.69,151,136.73,104.82,96.77
Long-Term Debt,-,-,-,-,-,-,-,-,38.84,188.92,193.43
Long-Term Leases,561.94,480.37,398.93,352.11,355.01,322.11,300.27,0.44,-,-,-
Long-Term Deferred Tax Liabilities,85.64,81.12,71.88,70.63,66.18,65.06,59.4,55.62,59.07,89.22,87.17
Other Long-Term Liabilities,-,-,-,0,0,0,0.01,9.3,7.1,5.15,4.5
Total Liabilities,"1,016",865.84,786.36,682.03,684.46,670.97,537.36,216.35,241.74,388.11,381.87
Common Stock,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06
Additional Paid-In Capital,745.64,735.28,694.96,677.69,664.29,648.95,615.35,600.23,583.47,565.86,536.32
Retained Earnings,"1,477","1,368","1,168",986.51,883.72,726.27,483.57,342.44,213.02,85.43,25.66
Treasury Stock,-436.38,-407.75,-354.75,-302.2,-260.37,-40.4,-40.1,-0.09,-0.09,-0.09,-0.09
Shareholders' Equity,"1,786","1,695","1,508","1,362","1,288","1,335","1,059",942.65,796.46,651.26,561.95
Total Liabilities & Equity,"2,802","2,561","2,295","2,044","1,972","2,006","1,596","1,159","1,038","1,039",943.82
Total Debt,665.58,564.87,488.75,441.18,430.88,387.17,354.09,0.68,48.99,194,198.45
Net Cash (Debt),-348.52,-136.2,-135.51,-170.41,-183.9,59.96,-264.14,51.26,-9.76,-95.32,-168.19
Net Cash Per Share,-5.64,-2.21,-2.18,-2.72,-2.83,0.91,-4.01,0.78,-0.15,-1.53,-3.01
Filing Date Shares Outstanding,61.31,61.25,61.37,61.95,62.69,65.5,63.75,63.19,62.2,60.88,59.95
Total Common Shares Outstanding,61.33,61.35,61.45,62.01,62.7,65.46,63.01,63.01,62,60.75,58.8
Working Capital,599.45,689.45,555.88,495.01,463.56,524.97,255.85,207.5,166.95,208.01,127.04
Book Value Per Share,29.12,27.63,24.54,21.97,20.54,20.39,16.80,14.96,12.85,10.72,9.56
Tangible Book Value,"1,111","1,020",832.82,686.66,612.3,659.47,383.48,265.5,118.97,-26.57,-116.26
Tangible Book Value Per Share,18.11,16.62,13.55,11.07,9.77,10.07,6.09,4.21,1.92,-0.44,-1.98
Land,-,13.74,9.89,7.94,7.94,7.52,7.48,27.01,2.1,1.6,-
Buildings,-,77.24,34.61,34.61,34.61,33.66,3.15,1.52,1.26,1.23,-
Machinery,-,336.84,266.02,227.84,186.39,164.23,143.27,108.65,89.78,73.26,60.03
Construction In Progress,-,12.67,65.64,-,-,-,30.45,25.52,-,-,-
Leasehold Improvements,-,121.02,78.1,55.95,40.86,31.94,25.02,16.79,11.83,8.64,7.53
