Period Ending,"Aug '25Aug 2, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021","Feb '20Feb 1, 2020","Feb '19Feb 2, 2019","Feb '18Feb 3, 2018","Jan '17Jan 28, 2017","Jan '16Jan 30, 2016"
Revenue,"2,441","2,272","2,103","1,827","1,753","1,809","1,408","1,241","1,077",890.32,762.37
Revenue Growth (YoY),10.14%,8.04%,15.09%,4.22%,-3.09%,28.45%,13.44%,15.26%,20.97%,16.78%,19.50%
Cost of Revenue,"1,446","1,357","1,270","1,171","1,072","1,085",852.61,743.73,645.39,529.9,459.51
Gross Profit,994.43,914.45,832.37,656.09,681.25,723.37,555.59,497.65,431.65,360.41,302.86
"Selling, General & Admin",659.12,606.91,562.67,490.57,447.62,418.89,356.06,312.79,278.17,242.89,209.78
Operating Expenses,723.53,659.45,604.57,525.18,476.65,445.87,383.73,335.6,295.89,258.22,223.29
Operating Income,270.91,255,227.8,130.92,204.59,277.5,171.86,162.05,135.76,102.19,79.57
Interest Expense,-,-,-,-,-0.21,-,-,-1.26,-4.47,-5.94,-15.42
Interest & Investment Income,17.4,16.31,14.69,2.97,-,0.28,0.88,-,-,-,-
EBT Excluding Unusual Items,288.31,271.31,242.49,133.88,204.38,277.78,172.73,160.79,131.29,96.26,64.16
Other Unusual Items,-5.5,-5.5,-,-,-,-,-,-0.15,-0.8,-,-6.71
Pretax Income,282.81,265.81,242.49,133.88,204.38,277.78,172.73,160.64,130.49,96.26,57.45
Income Tax Expense,69.5,66.05,61.05,31.09,46.93,35.08,31.6,25.63,2.89,36.5,21.61
Net Income,213.31,199.76,181.44,102.79,157.46,242.7,141.13,135.01,127.59,59.76,35.84
Net Income to Common,213.31,199.76,181.44,102.79,157.46,242.7,141.13,135.01,127.59,59.76,35.84
Net Income Growth,4.77%,10.10%,76.51%,-34.72%,-35.12%,71.97%,4.53%,5.82%,113.50%,66.76%,33.16%
Shares Outstanding (Basic),61,61,62,62,64,65,63,63,61,60,54
Shares Outstanding (Diluted),62,62,62,63,65,66,66,66,65,62,56
Shares Change (YoY),-0.10%,-0.48%,-1.01%,-3.35%,-1.51%,-0.00%,-0.05%,1.47%,4.06%,11.86%,14.79%
EPS (Basic),3.48,3.26,2.94,1.64,2.44,3.75,2.23,2.16,2.08,0.99,0.67
EPS (Diluted),3.45,3.23,2.92,1.64,2.43,3.68,2.14,2.05,1.96,0.96,0.64
EPS Growth,5.15%,10.62%,78.05%,-32.51%,-33.97%,71.96%,4.39%,4.59%,104.17%,50.00%,16.36%
Free Cash Flow,144.25,106.9,130.09,62.68,10.04,330.73,28.37,51.9,76.65,50.65,31.65
Free Cash Flow Per Share,2.33,1.73,2.10,1.00,0.15,5.02,0.43,0.79,1.18,0.81,0.57
Gross Margin,40.74%,40.25%,39.59%,35.91%,38.86%,39.99%,39.45%,40.09%,40.08%,40.48%,39.73%
Operating Margin,11.10%,11.22%,10.83%,7.17%,11.67%,15.34%,12.20%,13.05%,12.61%,11.48%,10.44%
Profit Margin,8.74%,8.79%,8.63%,5.63%,8.98%,13.42%,10.02%,10.88%,11.85%,6.71%,4.70%
Free Cash Flow Margin,5.91%,4.71%,6.19%,3.43%,0.57%,18.28%,2.01%,4.18%,7.12%,5.69%,4.15%
EBITDA,321.39,298.96,262.74,159.61,229.49,299.97,189.4,176.4,148.02,112.86,88.91
EBITDA Margin,13.17%,13.16%,12.50%,8.74%,13.09%,16.58%,13.45%,14.21%,13.74%,12.68%,11.66%
D&A For EBITDA,50.49,43.96,34.94,28.69,24.89,22.47,17.54,14.34,12.26,10.67,9.34
EBIT,270.91,255,227.8,130.92,204.59,277.5,171.86,162.05,135.76,102.19,79.57
EBIT Margin,11.10%,11.22%,10.83%,7.17%,11.67%,15.34%,12.20%,13.05%,12.61%,11.48%,10.44%
Effective Tax Rate,24.58%,24.85%,25.17%,23.22%,22.96%,12.63%,18.30%,15.96%,2.22%,37.91%,37.61%
Advertising Expenses,-,69.8,64.5,62.4,52.2,41.4,42.4,36.7,32.4,28,25.8
