Period Ending,"Nov '25Nov 13, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021","Feb '20Feb 1, 2020","Feb '19Feb 2, 2019","Feb '18Feb 3, 2018","Jan '17Jan 28, 2017","Jan '16Jan 30, 2016"
Market Capitalization,"7,745","6,833","4,624","3,359","2,836","6,197","3,377","4,990","3,314","1,779","1,308"
Market Cap Growth,40.91%,47.77%,37.65%,18.43%,-54.23%,83.53%,-32.33%,50.56%,86.30%,36.03%,-
Enterprise Value,"8,093","7,086","4,849","3,633","3,026","6,261","3,697","5,008","3,398","1,938","1,534"
Last Close Price,126.32,111.51,75.07,53.97,44.93,94.73,53.04,79.35,53.75,29.35,22.35
PE Ratio,36.62,34.20,25.48,32.68,18.01,25.53,23.93,36.96,25.97,29.77,36.49
Forward PE,30.50,31.03,23.84,23.68,22.73,36.16,24.15,39.49,34.74,28.82,33.07
PS Ratio,3.17,3.01,2.20,1.84,1.62,3.43,2.40,4.02,3.08,2.00,1.72
PB Ratio,4.34,4.03,3.07,2.47,2.20,4.64,3.19,5.29,4.16,2.73,2.33
P/TBV Ratio,6.97,6.70,5.55,4.89,4.63,9.40,8.81,18.79,27.86,-,-
P/FCF Ratio,53.69,63.92,35.54,53.59,282.38,18.74,119.04,96.14,43.24,35.12,41.33
P/OCF Ratio,30.63,30.04,18.17,29.38,62.98,17.15,32.05,39.58,34.55,26.52,28.52
PEG Ratio,2.38,2.67,1.24,-,2.92,2.05,1.44,1.58,1.42,1.55,1.84
EV/Sales Ratio,3.32,3.12,2.31,1.99,1.73,3.46,2.63,4.03,3.16,2.18,2.01
EV/EBITDA Ratio,25.18,23.70,18.46,22.76,13.19,20.87,19.52,28.39,22.96,17.17,17.26
EV/EBIT Ratio,29.87,27.79,21.29,27.75,14.79,22.56,21.52,30.90,25.03,18.97,19.28
EV/FCF Ratio,56.10,66.29,37.27,57.97,301.25,18.93,130.35,96.49,44.33,38.27,48.49
Debt / Equity Ratio,0.37,0.33,0.32,0.32,0.34,0.29,0.33,0.00,0.06,0.30,0.35
Debt / EBITDA Ratio,1.43,1.31,1.28,1.66,1.33,1.01,1.37,0.00,0.33,1.72,2.23
Debt / FCF Ratio,4.61,5.28,3.76,7.04,42.90,1.17,12.48,0.01,0.64,3.83,6.27
Asset Turnover,0.94,0.94,0.97,0.91,0.88,1.00,1.02,1.13,1.04,0.90,0.82
Inventory Turnover,2.48,2.57,2.60,2.50,2.61,3.15,2.70,2.70,2.77,2.65,2.55
Quick Ratio,0.87,1.42,1.13,1.05,0.94,1.58,0.52,0.35,0.30,0.94,0.32
Current Ratio,2.63,3.27,2.76,2.91,2.76,2.85,2.44,2.37,2.22,2.98,2.31
Return on Equity (ROE),12.63%,12.47%,12.64%,7.76%,12.01%,20.28%,14.10%,15.53%,17.63%,9.85%,7.32%
Return on Assets (ROA),6.54%,6.56%,6.56%,4.08%,6.43%,9.63%,7.80%,9.22%,8.17%,6.44%,5.34%
Return on Capital (ROIC),7.45%,7.49%,7.49%,4.65%,7.43%,11.06%,9.12%,11.32%,10.04%,7.96%,6.64%
Return on Capital Employed (ROCE),11.10%,11.30%,11.50%,7.30%,12.00%,16.10%,12.10%,16.10%,15.10%,10.90%,9.40%
Earnings Yield,2.75%,2.92%,3.92%,3.06%,5.55%,3.92%,4.18%,2.71%,3.85%,3.36%,2.74%
FCF Yield,1.86%,1.57%,2.81%,1.87%,0.35%,5.34%,0.84%,1.04%,2.31%,2.85%,2.42%
Buyback Yield / Dilution,0.10%,0.48%,1.01%,3.35%,1.51%,0.00%,0.05%,-1.47%,-4.06%,-11.86%,-14.79%
