Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,88.53,93.53,71.87,168.77,320.91,237.18,223.56,273.35,285.87,371.17,185.67
Short-Term Investments,-,-,-,-,-,7.55,-,-,11.75,39.33,203.33
Cash & Short-Term Investments,88.53,93.53,71.87,168.77,320.91,244.73,223.56,273.35,297.63,410.5,388.99
Cash Growth,-44.52%,30.13%,-57.42%,-47.41%,31.13%,9.47%,-18.21%,-8.16%,-27.50%,5.53%,-17.65%
Receivables,94.49,98.8,91.72,82.27,63.41,61.15,68.7,71.21,68.03,57.37,51.67
Inventory,76.19,81.28,91.14,39.78,29.04,32.48,39.94,27.54,20.07,18.2,27.93
Prepaid Expenses,13.76,16.26,13.28,11.87,7.3,5.61,6.39,13.64,25.35,30.7,13.13
Other Current Assets,2.99,2.86,3.08,3.51,3.75,3.85,4.35,4.64,-,-,-
Total Current Assets,275.96,292.73,271.08,306.2,424.41,347.82,342.94,390.38,411.07,516.77,481.72
"Property, Plant & Equipment","1,993","2,095","2,212","2,450","2,683","2,941","3,208","3,371","3,210","2,813","2,444"
Long-Term Investments,63.45,89.82,133.63,142.15,-,-,-,-,-,-,-
Goodwill,98.94,98.19,-,-,-,-,-,-,-,-,-
Other Intangible Assets,87.92,90.88,41.1,42.58,44,45.5,46.98,48.54,50.02,45.8,46.59
Long-Term Deferred Tax Assets,-,1.8,-,-,-,-,-,-,-,-,-
Other Long-Term Assets,34.66,3.23,4.08,12.85,29.68,26.57,25.84,204.49,110.8,123.98,99.3
Total Assets,"2,554","2,671","2,662","2,954","3,181","3,361","3,624","4,014","3,782","3,500","3,071"
Accounts Payable,13.15,19.72,28.67,21.37,16.2,14.39,6.71,12.87,43.1,11.13,31.53
Accrued Expenses,48.57,59.77,50.5,64.18,44.42,45.67,53.69,86.42,47.24,37.98,33.12
Short-Term Debt,-,33.12,15,16.5,16.5,16.77,10.88,126,85.5,-,-
Current Portion of Leases,-,5.04,4.33,3.78,3.7,3.84,3.4,-,-,-,-
Current Unearned Revenue,41.53,51.57,33.06,35.74,28.02,32.41,39.08,37.43,38.39,34.09,36.97
Total Current Liabilities,103.25,169.21,131.55,141.58,108.84,113.07,113.75,262.72,214.23,83.19,101.61
Long-Term Debt,"1,810","1,758","1,467","1,471","1,582","1,597","1,766","1,830","1,618","1,657","1,389"
Long-Term Leases,-,11.06,14.09,15.8,19.59,23.26,26.86,-,-,-,-
Long-Term Unearned Revenue,35.43,38.26,43.97,45.27,48.07,51.26,67.09,74.66,47.61,36.42,28.57
Long-Term Deferred Tax Liabilities,125.79,114.14,114.64,151.57,134.28,155.08,188.65,241.42,246.17,361.66,296.83
Other Long-Term Liabilities,29.24,4.4,1.94,0.56,0.56,1.95,1.53,4.16,59.52,17.46,26.67
Total Liabilities,"2,104","2,095","1,774","1,825","1,893","1,942","2,164","2,413","2,186","2,156","1,842"
Common Stock,0.11,0.11,0.12,0.13,0.13,0.13,0.13,0.11,0.1,0.1,0.1
Additional Paid-In Capital,889.4,964.35,"1,089","1,125","1,154","1,161","1,134","1,109","1,081","1,060","1,044"
Retained Earnings,-443.42,-406.09,-235.4,-47.74,140.81,275.92,331.97,501.71,518.79,288.8,193.2
Comprehensive Income & Other,4.41,18.27,33.91,51.56,-7.05,-17.18,-6.87,-8.8,-3.8,-5.45,-9.06
Shareholders' Equity,450.5,576.64,888.1,"1,129","1,288","1,419","1,459","1,602","1,596","1,344","1,229"
Total Liabilities & Equity,"2,554","2,671","2,662","2,954","3,181","3,361","3,624","4,014","3,782","3,500","3,071"
Total Debt,"1,810","1,807","1,501","1,507","1,621","1,641","1,808","1,956","1,704","1,657","1,389"
Net Cash (Debt),"-1,721","-1,713","-1,429","-1,338","-1,300","-1,396","-1,584","-1,682","-1,406","-1,247",-999.77
Net Cash Per Share,-15.58,-14.30,-11.23,-10.28,-9.74,-10.46,-12.65,-15.44,-10.97,-9.98,-10.51
Filing Date Shares Outstanding,104.75,108.84,122.45,125.97,128.37,134.28,131.73,112.24,98.21,95.9,95.13
Total Common Shares Outstanding,104.74,110.36,122.78,125.9,131.34,134.06,131.63,112.2,98.2,95.88,95.13
Working Capital,172.71,123.52,139.53,164.63,315.57,234.75,229.18,127.67,196.85,433.58,380.1
Book Value Per Share,4.30,5.23,7.23,8.96,9.81,10.59,11.09,14.27,16.26,14.02,12.92
Tangible Book Value,263.64,387.57,847,"1,086","1,244","1,374","1,412","1,553","1,546","1,298","1,182"
Tangible Book Value Per Share,2.52,3.51,6.90,8.63,9.47,10.25,10.73,13.84,15.75,13.54,12.43
Land,-,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04
Buildings,-,39.16,33.43,32.7,30.2,29.92,31.05,30.52,32.13,32.1,31.59
Machinery,-,"3,298","3,295","3,247","3,244","3,242","3,243","2,809","1,235",348.37,353.8
Construction In Progress,-,280.78,261.23,312.8,266.66,280.49,272.39,701.08,"2,109","2,656","2,277"
