Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,659","3,304","5,098","6,458","5,459","5,242","3,230","2,054","1,156",919,799
Market Cap Growth,-50.72%,-35.19%,-21.06%,18.31%,4.13%,62.29%,57.25%,77.69%,25.74%,15.14%,-12.63%
Enterprise Value,"3,382","4,955","6,529","7,846","6,794","6,689","4,936","3,713","2,530","2,067","1,749"
Last Close Price,16.20,28.49,39.62,48.98,39.34,37.47,23.48,17.58,11.24,9.15,8.01
PE Ratio,13.95,29.30,330.70,740.43,-,-,-,-,5.29,9.63,-
Forward PE,15.84,35.94,243.41,-,-,-,-,-,21.78,12.83,9.40
PS Ratio,2.03,3.98,6.45,8.96,8.88,8.99,5.76,3.93,2.58,2.12,1.94
PB Ratio,3.77,5.73,5.74,5.72,4.24,3.69,2.21,1.28,0.72,0.68,0.65
P/TBV Ratio,6.30,8.52,6.02,5.95,4.39,3.82,2.29,1.32,0.75,0.71,0.68
P/FCF Ratio,5.44,10.80,21.12,23.62,20.94,24.84,40.21,-,-,-,-
P/OCF Ratio,4.19,8.79,16.19,18.73,18.02,20.99,16.30,7.79,4.45,4.08,3.67
PEG Ratio,1.07,-,-,-,-,-,-,-,2.61,1.28,0.84
EV/Sales Ratio,3.88,5.96,8.26,10.88,11.06,11.46,8.81,7.10,5.65,4.77,4.25
EV/EBITDA Ratio,7.60,12.19,16.26,20.64,19.32,19.75,16.04,14.29,11.32,9.16,8.23
EV/EBIT Ratio,14.33,24.35,54.80,102.32,146.70,188.50,487.79,89.15,18.32,11.72,10.88
EV/FCF Ratio,11.08,16.19,27.04,28.69,26.06,31.69,61.46,-,-,-,-
Debt / Equity Ratio,4.02,3.13,1.69,1.34,1.26,1.16,1.24,1.22,1.07,1.23,1.13
Debt / EBITDA Ratio,4.07,4.38,3.69,3.91,4.54,4.77,5.78,7.53,7.62,7.34,6.53
Debt / FCF Ratio,5.93,5.90,6.22,5.51,6.22,7.77,22.50,-,-,-,-
Asset Turnover,0.33,0.31,0.28,0.24,0.19,0.17,0.15,0.13,0.12,0.13,0.14
Inventory Turnover,3.16,2.68,3.44,5.85,4.89,3.94,4.30,6.00,6.52,4.74,3.59
Quick Ratio,1.77,1.14,1.24,1.77,3.53,2.71,2.57,1.31,1.71,5.62,4.34
Current Ratio,2.67,1.73,2.06,2.16,3.90,3.08,3.02,1.49,1.92,6.21,4.74
Return on Equity (ROE),22.59%,15.40%,1.53%,0.72%,-0.69%,-3.89%,-10.59%,-0.84%,15.91%,8.63%,0.58%
Return on Assets (ROA),5.56%,4.77%,2.65%,1.56%,0.89%,0.64%,0.17%,0.67%,2.37%,3.36%,3.36%
Return on Capital (ROIC),6.23%,5.33%,2.96%,1.73%,0.97%,0.70%,0.18%,0.76%,2.74%,3.92%,3.91%
Return on Capital Employed (ROCE),9.60%,8.10%,4.70%,2.70%,1.50%,1.10%,0.30%,1.10%,3.90%,5.20%,5.40%
Earnings Yield,7.58%,3.41%,0.30%,0.14%,-0.17%,-1.07%,-5.01%,-0.65%,20.23%,12.08%,0.89%
FCF Yield,18.38%,9.26%,4.74%,4.23%,4.78%,4.03%,2.49%,-6.22%,-12.15%,-19.63%,-34.73%
Dividend Yield,3.79%,1.93%,1.31%,-,-,-,-,-,-,-,-
Payout Ratio,50.19%,57.40%,420.20%,-,-,-,-,-,1.65%,13.90%,216.71%
Buyback Yield / Dilution,10.60%,5.83%,2.24%,2.54%,-0.03%,-6.65%,-14.86%,14.95%,-2.61%,-31.31%,13.07%
Total Shareholder Return,14.39%,7.76%,3.55%,2.54%,-0.03%,-6.65%,-14.86%,14.95%,-2.61%,-31.31%,13.07%
