Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,43.69,58.84,44.58,39.84,10.18,3.96,2.32
Revenue Growth (YoY),-32.98%,32.00%,11.88%,291.46%,156.89%,70.85%,-
Cost of Revenue,406.17,359.66,283.81,203.97,135.27,63.32,45.81
Gross Profit,-362.49,-300.82,-239.24,-164.13,-125.09,-59.36,-43.49
"Selling, General & Admin",214.27,178.18,110.82,81.6,57.68,25.26,18.95
Operating Expenses,355.23,178.18,110.82,81.6,57.68,25.26,18.95
Operating Income,-717.72,-479,-350.06,-245.73,-182.78,-84.62,-62.44
Interest Expense,-2.43,-1.57,-0.1,-0.06,-2.95,-1.36,-0.64
Interest & Investment Income,21.16,15.76,19.12,6.25,0.07,0.34,1.74
Other Non Operating Income (Expenses),-10.86,0.03,-1.09,0.05,0,-0.48,0.01
EBT Excluding Unusual Items,-709.84,-464.79,-332.13,-239.48,-185.65,-86.12,-61.32
Other Unusual Items,-,-,-,-,-0.83,-0.88,-0.56
Pretax Income,-715.69,-464.79,-332.13,-239.48,-186.48,-87.01,-61.88
Income Tax Expense,-0.15,-1.13,-4.06,-,-,-,-
Net Income,-715.54,-463.66,-328.07,-239.48,-186.48,-87.01,-61.88
Net Income to Common,-715.54,-463.66,-328.07,-239.48,-186.48,-87.01,-61.88
Shares Outstanding (Basic),401,274,208,176,125,22,22
Shares Outstanding (Diluted),401,274,208,176,125,22,22
Shares Change (YoY),63.30%,31.92%,18.41%,40.04%,475.48%,0.98%,-
EPS (Basic),-1.78,-1.69,-1.58,-1.36,-1.49,-3.99,-2.87
EPS (Diluted),-1.78,-1.69,-1.58,-1.36,-1.49,-3.99,-2.87
Free Cash Flow,-447.69,-372.87,-299.74,-120.58,-198.41,-51.23,-60.95
Free Cash Flow Per Share,-1.12,-1.36,-1.44,-0.69,-1.58,-2.35,-2.83
Operating Margin,-1642.79%,-814.09%,-785.33%,-616.74%,-1795.79%,-2135.66%,-2692.58%
Profit Margin,-1637.81%,-788.02%,-735.99%,-601.05%,-1832.18%,-2196.01%,-2668.35%
Free Cash Flow Margin,-1024.72%,-633.71%,-672.43%,-302.64%,-1949.42%,-1293.03%,-2628.37%
EBITDA,-640.54,-442.51,-325.66,-233.97,-174.37,-80.67,-59.95
D&A For EBITDA,77.17,36.49,24.4,11.76,8.41,3.94,2.49
EBIT,-717.72,-479,-350.06,-245.73,-182.78,-84.62,-62.44
Revenue as Reported,43.69,58.84,44.58,39.84,10.18,3.96,2.32
