Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Cash & Equivalents,-,31.68,88.16,42.09,17.34,25.62
Short-Term Investments,-,113.47,-,-,-,-
Cash & Short-Term Investments,-,145.15,88.16,42.09,17.34,25.62
Cash Growth,-,64.65%,109.45%,142.67%,-32.30%,-
Other Receivables,-,0.58,0.84,0,-,-
Receivables,-,0.58,0.84,0,-,-
Prepaid Expenses,-,1.33,0.92,0.7,0.06,0.01
Other Current Assets,277.21,0.02,0.03,0.02,0.02,0.04
Total Current Assets,277.21,147.07,89.94,42.81,17.43,25.67
"Property, Plant & Equipment",-,0.97,1.3,1.35,0.09,0.05
Other Intangible Assets,-,0.03,-,-,-,-
Long-Term Deferred Charges,-,-,-,-,0.82,-
Other Long-Term Assets,5.18,4.06,3.4,0.12,0.01,0.03
Total Assets,282.39,152.13,94.64,44.27,18.35,25.74
Accrued Expenses,-,5.47,3.18,1.83,1.54,0.97
Current Portion of Leases,-,0.28,0.31,0.2,-,-
Other Current Liabilities,8.31,0.3,0.15,0.07,0.1,0.01
Total Current Liabilities,8.31,6.05,3.63,2.1,1.64,0.97
Long-Term Leases,-,0.26,0.58,0.67,-,-
Total Liabilities,8.31,6.31,4.21,2.77,1.64,0.97
Common Stock,274.08,0,0,0,0,0
Additional Paid-In Capital,-,254.13,162.31,81.76,12.33,10.56
Retained Earnings,-,-107.65,-71.5,-39.87,-27.22,-17.56
Comprehensive Income & Other,-,-0.66,-0.37,-0.39,-0.2,-0.04
Total Common Equity,274.08,145.82,90.43,41.5,-15.09,-7.04
Shareholders' Equity,274.08,145.82,90.43,41.5,16.71,24.77
Total Liabilities & Equity,282.39,152.13,94.64,44.27,18.35,25.74
Total Debt,-,0.54,0.89,0.87,-,-
Net Cash (Debt),-,144.61,87.27,41.22,17.34,25.62
Net Cash Growth,-,65.70%,111.71%,137.68%,-32.30%,-
Net Cash Per Share,-,4.74,3.28,2.06,1.81,2.91
Filing Date Shares Outstanding,34.89,31.83,29.15,24.9,10.27,9.57
Total Common Shares Outstanding,34.89,31.83,29.15,24.9,10.27,9.57
Working Capital,268.9,141.02,86.31,40.7,15.8,24.7
Book Value Per Share,7.86,4.58,3.10,1.67,-1.47,-0.74
Tangible Book Value,274.08,145.79,90.43,41.5,-15.09,-7.04
Tangible Book Value Per Share,7.86,4.58,3.10,1.67,-1.47,-0.74
Machinery,-,0.6,0.49,0.45,0.14,0.09
Leasehold Improvements,-,0.19,0.19,0.19,-,-
