Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Revenue,"1,754","1,713","1,539","1,278","1,183","1,147","1,166","1,182","1,089",960.95,829.66
Revenue Growth (YoY),9.37%,11.33%,20.36%,8.04%,3.17%,-1.64%,-1.36%,8.52%,13.36%,15.82%,-13.41%
Cost of Revenue,"1,165","1,126","1,008",847.92,758.81,726.98,745.41,751.52,697.63,637.45,552.8
Gross Profit,588.87,587.18,530.46,430.51,424.43,419.92,420.64,430.59,391.65,323.5,276.86
"Selling, General & Admin",292.12,297.39,269.73,228.31,235.55,240.75,251.96,262.48,239.59,192.56,166.66
Research & Development,76.1,73.44,65.28,59.35,59.58,53.7,57.31,56.51,61.19,50.95,49.82
Operating Expenses,368.22,370.83,335.01,287.67,295.14,294.44,309.27,318.99,300.78,243.51,216.47
Operating Income,220.65,216.35,195.45,142.85,129.29,125.48,111.37,111.6,90.87,79.99,60.39
Interest Expense,-31.47,-31.43,-27.85,-20.04,-8.96,-16.73,-18.77,-21.61,-19.3,-9.63,-2.85
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,0.25,2.09,-0.03
EBT Excluding Unusual Items,189.18,184.92,167.61,122.8,120.33,108.74,92.61,89.99,71.82,72.45,57.51
Merger & Restructuring Charges,-3.21,-4.06,-5.62,-3.66,-1.43,-9.64,-4.6,-5.76,-4.15,-18.84,-8.72
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-2.85
Gain (Loss) on Sale of Assets,-,-,-,-,27.37,-,-,-,-,-,-
Asset Writedown,-,-,-,-,-1.01,-,-5.46,-,-7.8,-27.05,-6.82
Legal Settlements,-1.27,-1.27,-0.78,-3.91,-5.1,-0.47,3.57,1.93,-23.01,-,-2.93
Other Unusual Items,4.1,6.51,-,-,-,-,-,-,-,-0.81,-0.69
Pretax Income,188.8,186.09,161.21,115.24,140.16,98.64,86.12,86.16,36.85,25.75,35.5
Income Tax Expense,36.54,36.46,33.06,23.46,24.81,24.59,10.87,21.37,65.98,4.68,9.34
Net Income,152.26,149.64,128.15,91.78,115.35,74.05,75.25,64.8,-29.13,21.08,26.16
Net Income to Common,152.26,149.64,128.15,91.78,115.35,74.05,75.25,64.8,-29.13,21.08,26.16
Net Income Growth,14.30%,16.76%,39.63%,-20.43%,55.77%,-1.60%,16.14%,-,-,-19.43%,-59.85%
Shares Outstanding (Basic),17,17,17,17,18,18,18,18,19,19,19
Shares Outstanding (Diluted),17,17,17,17,18,18,19,19,19,20,20
Shares Change (YoY),-0.24%,-1.01%,0.95%,-3.81%,-2.82%,-1.14%,-0.64%,0.69%,-5.57%,-1.93%,-2.19%
EPS (Basic),9.06,8.93,7.55,5.45,6.57,4.12,4.14,3.58,-1.57,1.12,1.35
EPS (Diluted),8.81,8.71,7.38,5.34,6.45,4.03,4.05,3.46,-1.57,1.07,1.30
EPS Growth,14.72%,18.02%,38.20%,-17.21%,60.05%,-0.49%,17.05%,-,-,-17.69%,-58.99%
Free Cash Flow,128.73,73.76,-109.6,79,48.89,122.17,108.12,91.7,89.91,45.68,41.53
Free Cash Flow Per Share,7.45,4.29,-6.32,4.60,2.74,6.64,5.81,4.90,4.84,2.32,2.07
Gross Margin,33.58%,34.27%,34.47%,33.67%,35.87%,36.61%,36.07%,36.43%,35.95%,33.66%,33.37%
Operating Margin,12.58%,12.63%,12.70%,11.17%,10.93%,10.94%,9.55%,9.44%,8.34%,8.32%,7.28%
Profit Margin,8.68%,8.73%,8.33%,7.18%,9.75%,6.46%,6.45%,5.48%,-2.67%,2.19%,3.15%
Free Cash Flow Margin,7.34%,4.30%,-7.12%,6.18%,4.13%,10.65%,9.27%,7.76%,8.25%,4.75%,5.01%
EBITDA,263.04,259.93,237.66,181.36,167.97,169.33,161.13,153.5,153.67,148.23,118.31
EBITDA Margin,15.00%,15.17%,15.45%,14.19%,14.20%,14.76%,13.82%,12.98%,14.11%,15.43%,14.26%
D&A For EBITDA,42.39,43.58,42.21,38.51,38.68,43.86,49.76,41.9,62.8,68.24,57.92
EBIT,220.65,216.35,195.45,142.85,129.29,125.48,111.37,111.6,90.87,79.99,60.39
EBIT Margin,12.58%,12.63%,12.70%,11.17%,10.93%,10.94%,9.55%,9.44%,8.34%,8.32%,7.28%
Effective Tax Rate,19.36%,19.59%,20.51%,20.36%,17.70%,24.93%,12.62%,24.80%,179.03%,18.15%,26.31%
Revenue as Reported,"1,754","1,713","1,539","1,278","1,183","1,147","1,166","1,182","1,089",960.95,829.66
