Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,955","1,702","1,541","1,541","1,798","1,365",873,880,831,543,562
Market Cap Growth,1630.34%,10.42%,0.00%,-14.29%,31.77%,56.27%,-0.78%,5.97%,53.06%,-3.45%,11.54%
Last Close Price,13.12,8.03,6.85,6.38,6.42,4.35,6.48,6.54,6.17,5.73,5.93
PE Ratio,15.21,58.69,7.63,7.12,8.73,14.60,15.13,16.92,26.09,16.05,28.89
PS Ratio,4.95,4.46,2.42,2.31,2.68,2.56,2.21,3.44,3.40,3.18,4.45
PB Ratio,1.05,0.74,0.69,0.72,0.75,0.55,0.38,1.03,1.03,0.70,1.07
P/FCF Ratio,-,5.95,5.95,4.99,6.24,6.67,1.78,31.05,3.63,-,34.58
P/OCF Ratio,-,5.82,5.79,4.84,6.09,6.42,1.74,23.46,3.55,-,27.20
Debt / Equity Ratio,0.10,0.02,0.37,0.17,0.04,0.06,0.06,0.48,0.72,0.38,0.16
Debt / FCF Ratio,-,0.20,3.21,1.15,0.32,0.75,0.29,14.48,2.54,-,5.22
Return on Equity (ROE),-,1.28%,9.25%,9.59%,8.49%,3.92%,3.66%,6.28%,4.03%,5.19%,4.53%
Return on Assets (ROA),-,0.17%,1.13%,1.15%,1.07%,0.51%,0.50%,0.89%,0.57%,0.74%,0.56%
Earnings Yield,6.57%,1.70%,13.10%,14.05%,11.46%,6.85%,6.61%,5.91%,3.83%,6.23%,3.46%
FCF Yield,-,16.80%,16.81%,20.03%,16.02%,14.99%,56.22%,3.22%,27.56%,-80.01%,2.89%
Dividend Yield,-,5.58%,7.29%,17.37%,3.82%,-,-,-,-,-,-
Payout Ratio,-,327.57%,52.42%,108.52%,105.33%,-,-,-,-,-,10.96%
Buyback Yield / Dilution,-5.77%,0.05%,-0.02%,-0.08%,-,-59.84%,-45.84%,-,-28.53%,-10.59%,-
Total Shareholder Return,-5.77%,5.63%,7.27%,17.30%,3.82%,-59.84%,-45.84%,-,-28.53%,-10.59%,-
