Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,504.19,528.51,602.87,551.3,553.87,529.95,355.62,235.57,208.67,116.24,78.84
Interest Income on Investments,229.29,207.2,116.09,99.78,78.21,81.4,50.96,21.09,18.32,27.69,30.96
Total Interest Income,733.48,735.72,718.96,651.07,632.07,611.36,406.58,256.66,226.99,143.93,109.79
Interest Paid on Deposits,199.05,189.26,119.44,16.27,9.55,34.72,28.32,9.48,4.53,2.31,1.5
Interest Paid on Borrowings,1.78,27.29,36.31,3.57,1.37,1.4,9.29,11.88,4.99,0.54,0.08
Total Interest Expense,200.83,216.55,155.75,19.84,10.92,36.12,37.61,21.36,9.52,2.85,1.57
Net Interest Income,532.65,519.17,563.21,631.23,621.16,575.24,368.97,235.3,217.47,141.08,108.22
Net Interest Income Growth (YoY),-,-7.82%,-10.78%,1.62%,7.98%,55.90%,56.81%,8.20%,54.14%,30.36%,-2.54%
Trust Income,12.93,12.32,9.64,9.71,10.3,9.85,7.66,6.39,6.49,6.04,6.56
Gain (Loss) on Sale of Investments,4.29,-207.2,-,-11.23,-,-,0.15,0.04,0.14,5.42,0.25
Other Non-Interest Income,32.68,32.11,39.63,39.46,36.79,38.17,33.59,30.25,33.63,17.24,10.21
Total Non-Interest Income,72.56,-139.12,74.23,63.73,70.92,72.24,60.9,43.22,48.15,33.97,22.73
Non-Interest Income Growth (YoY),-,-,16.47%,-10.13%,-1.82%,18.62%,40.91%,-10.25%,41.75%,49.45%,-17.38%
Revenues Before Loan Losses,605.21,380.05,637.44,694.97,692.08,647.47,429.87,278.52,265.62,175.05,130.95
Provision for Loan Losses,38.47,-1.51,0.75,26.63,21.22,114.74,35.32,22.52,21.46,4.22,4.7
Revenue,566.74,381.56,636.69,668.34,670.86,532.73,394.54,256,244.16,170.83,126.25
Revenue Growth (YoY),-,-40.07%,-4.74%,-0.38%,25.93%,35.02%,54.12%,4.85%,42.93%,35.32%,-8.88%
Salaries and Employee Benefits,193.98,190.94,200.75,205.82,221.86,229.95,160.42,104.46,105.75,65.11,46.06
Federal Deposit Insurance,13.09,14.63,9.23,6.09,-,-,-,-,-,-,-
Amortization of Goodwill & Intangibles,12.4,13.45,17.32,20.67,24.28,26.92,14.69,7.48,7.09,5.23,3.24
"Selling, General & Administrative",93.59,89.5,91.96,96.66,61.98,70.87,42.69,26.49,26.84,18.67,15.13
Other Non-Interest Expense,38.09,34.84,39.56,37.14,76.78,101.5,96.22,45.39,48.28,27.43,27.38
Total Non-Interest Expense,354.45,345.86,358.75,366.21,384.91,429.24,314.02,183.82,187.95,116.44,91.81
EBT Excluding Unusual Items,212.29,35.7,277.94,302.13,285.95,103.49,80.52,72.18,56.21,54.4,34.44
Asset Writedown,-,-,-,-,-,-1.46,-,-,-,-,-
Pretax Income,232.79,35.7,277.94,302.13,285.95,102.03,78.32,72.18,56.21,54.4,34.44
Income Tax Expense,39.69,6.7,76.03,85.55,79.94,8.56,20.59,20.17,24.38,20.6,14.98
Net Income,193.1,29,201.91,216.58,206.01,93.46,57.73,52.01,31.83,33.8,19.45
Net Income to Common,193.1,29,201.91,216.58,206.01,93.46,57.73,52.01,31.83,33.8,19.45
Net Income Growth,-,-85.64%,-6.77%,5.13%,120.42%,61.91%,11.00%,63.38%,-5.82%,73.76%,-23.49%
Basic Shares Outstanding,214,212,212,212,212,212,133,91,91,71,64
Diluted Shares Outstanding,214,212,212,212,212,212,133,91,91,71,64
Shares Change (YoY),5.77%,-0.05%,0.02%,0.08%,-,59.84%,45.84%,-,28.53%,10.59%,-
EPS (Basic),0.90,0.14,0.95,1.02,0.97,0.44,0.44,0.57,0.35,0.48,0.30
EPS (Diluted),0.90,0.14,0.95,1.02,0.97,0.44,0.44,0.57,0.35,0.48,0.30
EPS Growth,-,-85.63%,-6.79%,5.05%,120.42%,1.29%,-23.89%,63.38%,-26.72%,57.11%,-23.49%
Dividend Per Share,-,0.448,0.499,1.109,0.245,-,-,-,-,-,-
Dividend Growth,-,-10.26%,-54.97%,351.79%,-,-,-,-,-,-,-
Effective Tax Rate,17.05%,18.76%,27.35%,28.32%,27.96%,8.39%,26.29%,27.95%,43.37%,37.86%,43.51%
