Period Ending,"Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,2.65,2.97,2.6
Short-Term Investments,0.44,0.53,0.37
Cash & Short-Term Investments,3.09,3.5,2.97
Cash Growth,-11.80%,17.94%,-
Accounts Receivable,5.58,3.52,4.05
Other Receivables,0.63,0.27,0.04
Receivables,6.21,3.79,4.09
Inventory,4.28,4.41,6
Other Current Assets,5.61,3.15,2.65
Total Current Assets,19.19,14.85,15.71
"Property, Plant & Equipment",0.72,5.14,3.42
Long-Term Deferred Charges,1.05,-,-
Other Long-Term Assets,0.08,0.16,0.06
Total Assets,21.04,20.15,19.19
Accounts Payable,7.73,2.15,8.53
Accrued Expenses,0.68,0.52,0.25
Current Portion of Long-Term Debt,0.5,0.38,0.36
Current Portion of Leases,0.33,0.34,0.44
Current Income Taxes Payable,0.24,0.14,0.04
Current Unearned Revenue,0.45,0.6,2.26
Other Current Liabilities,2.97,0.63,1.57
Total Current Liabilities,12.9,4.77,13.45
Long-Term Debt,0.02,1.31,0.98
Long-Term Leases,0.12,0.44,0.47
Other Long-Term Liabilities,32.65,22.82,8.82
Total Liabilities,45.68,29.34,23.73
Common Stock,0.05,0.05,0.05
Additional Paid-In Capital,1.66,7.31,7.43
Retained Earnings,-26.96,-15.98,-9.25
Comprehensive Income & Other,0.6,-0.58,-2.77
Shareholders' Equity,-24.64,-9.19,-4.54
Total Liabilities & Equity,21.04,20.15,19.19
Total Debt,0.97,2.46,2.25
Net Cash (Debt),2.12,1.04,0.72
Net Cash Growth,103.50%,44.99%,-
Net Cash Per Share,0.00,0.00,-
Filing Date Shares Outstanding,500,500,-
Total Common Shares Outstanding,500,500,-
Working Capital,6.29,10.08,2.26
Book Value Per Share,-0.05,-0.02,-
Tangible Book Value,-24.64,-9.19,-4.54
Tangible Book Value Per Share,-0.05,-0.02,-
Buildings,-,4.28,2.68
Machinery,0.51,0.42,0.17
