Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '17Dec 31, 2017","Dec '10Dec 31, 2010"
Cash & Equivalents,420.93,620.32,488.12,304.08,747.86,95.38,75,45.97,0.53
Short-Term Investments,392.3,449.75,699.51,843.41,575.68,142.73,147.86,-,-
Cash & Short-Term Investments,813.24,"1,070","1,188","1,147","1,324",238.12,222.86,45.97,0.53
Cash Growth,-22.91%,-9.90%,3.50%,-13.30%,455.84%,6.84%,384.77%,8496.69%,-
Accounts Receivable,119.81,122.91,97.18,70.47,51.76,34.27,24.3,17.52,-
Other Receivables,2.2,3.3,4.4,2.8,-,-,-,-,-
Receivables,122.01,126.21,101.58,73.27,51.76,34.27,24.3,17.52,-
Prepaid Expenses,57.59,43.04,43.43,36.11,31.44,28.92,20.77,-,-
Restricted Cash,-,0,-,0,-,1.93,3.11,-,-
Other Current Assets,28.52,26.11,22.91,20.14,14.64,9.17,5.45,-,-
Total Current Assets,"1,021","1,265","1,356","1,277","1,421",312.4,276.5,65.94,1.84
"Property, Plant & Equipment",48.63,48.28,41.4,45.96,13.18,14.08,16.36,0.07,-
Long-Term Investments,-,-,-,-,-,0.5,0.52,-,-
Goodwill,146.68,147.01,6.18,6.18,6.18,6.18,4.47,-,-
Other Intangible Assets,104,105.34,14.1,11.2,10.19,12.92,8,-,-
Long-Term Deferred Tax Assets,8.68,8.5,10.01,8.69,6.28,4.39,2.07,-,-
Long-Term Deferred Charges,26.06,22.53,19.76,19.54,15.01,9.11,6.16,-,-
Other Long-Term Assets,16.57,14.79,9.77,11.64,10.59,7.83,7.69,-,-
Total Assets,"1,372","1,612","1,457","1,380","1,483",367.42,321.77,85.24,1.84
Accounts Payable,7.62,1.62,3.49,5.91,6.32,3.71,3.66,3.31,0.5
Accrued Expenses,71.43,66.41,48.35,44.46,45.57,29.28,17.23,-,-
Current Portion of Leases,8.25,8.07,2.7,6.78,-,-,-,-,-
Current Income Taxes Payable,3.8,0.73,0.72,1.15,1.02,8.74,3.39,-,-
Current Unearned Revenue,348,323.44,266.4,205.63,160.17,104.18,67.54,-,-
Other Current Liabilities,11.52,7.45,5.56,7.78,10.26,6.33,6.57,-,-
Total Current Liabilities,450.62,407.72,327.21,271.69,223.35,152.24,98.38,26.66,1.25
Long-Term Leases,31.42,30.22,26.8,28.17,-,-,-,-,-
Long-Term Unearned Revenue,3.6,3.9,-,-,-,-,-,-,-
Pension & Post-Retirement Benefits,-,9.6,10.5,8.6,6.7,5.6,3.1,-,-
Other Long-Term Liabilities,34.84,22.53,20,19.93,14.73,11.23,8.43,-,-
Total Liabilities,520.47,473.96,384.51,328.4,244.77,169.07,109.92,26.66,1.25
Common Stock,0,0,0,0,0,0,-,-,-
Additional Paid-In Capital,"4,597","4,874","4,714","4,562","4,510",-,-,-,-
Retained Earnings,"-3,744","-3,736","-3,641","-3,503","-3,271","-2,697","-1,123",-,-
Comprehensive Income & Other,-1.7,-0.34,-0.75,-7.43,-0.75,0.41,0.14,-,-
Total Common Equity,851.49,"1,138","1,072","1,052","1,238","-2,697","-1,123",58.58,0.58
Shareholders' Equity,851.49,"1,138","1,072","1,052","1,238",198.36,211.85,58.58,0.58
Total Liabilities & Equity,"1,372","1,612","1,457","1,380","1,483",367.42,321.77,85.24,1.84
Total Debt,39.67,38.29,29.49,34.95,-,-,-,-,-
Net Cash (Debt),773.57,"1,032","1,158","1,113","1,324",238.12,222.86,-,-
Net Cash Growth,-24.44%,-10.91%,4.10%,-15.94%,455.84%,6.84%,-,-,-
Net Cash Per Share,2.61,3.43,3.95,3.91,10.13,3.09,2.93,-,-
Filing Date Shares Outstanding,281.97,301.53,297.94,290.23,282.65,77.62,76.03,-,-
Total Common Shares Outstanding,281.74,303.38,296.69,289.09,273.29,77.62,76.03,-,-
Working Capital,570.73,857.71,"1,028","1,005","1,198",160.16,178.11,-,-
Book Value Per Share,3.02,3.75,3.61,3.64,4.53,-34.74,-14.77,-,-
Tangible Book Value,600.81,885.57,"1,052","1,034","1,222","-2,716","-1,135",-,-
Tangible Book Value Per Share,2.13,2.92,3.55,3.58,4.47,-34.99,-14.93,-,-
Machinery,34.64,36.86,31.24,30.34,26.23,23.91,21.26,-,-
Construction In Progress,0.72,0.01,0.75,0.22,-,0.32,0.83,-,-
Leasehold Improvements,8.42,7.85,5.77,5.65,4.27,4.27,3.79,-,-
