Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,394","2,417","2,482","1,711","1,476","1,275","1,510","1,270","1,098","1,014",-
Market Cap Growth,-1.03%,-2.62%,45.04%,15.95%,15.75%,-15.55%,18.87%,15.72%,8.22%,-,-
Enterprise Value,"3,180","3,071","3,049","2,150","2,060","1,772","1,881","1,819","1,560","1,131",-
Last Close Price,38.05,38.26,39.58,32.23,28.10,24.88,29.54,24.89,22.22,20.59,-
PE Ratio,-,-,-,-,-,-,-,254.02,-,-,-
PS Ratio,3.29,3.65,3.87,2.91,2.62,7.16,3.17,2.87,2.84,3.87,-
PB Ratio,4.27,4.51,4.59,5.71,4.82,4.38,3.99,2.90,2.57,2.54,-
P/TBV Ratio,9.18,10.76,10.83,39794.86,218.43,-,71.89,14.77,26.77,-,-
P/FCF Ratio,-,-,-,47.96,35.18,-,-,18.14,-,-,-
P/OCF Ratio,86.35,145.32,1526.34,32.08,19.09,-,20.13,12.33,-,11.40,-
EV/Sales Ratio,4.40,4.63,4.76,3.65,3.65,9.96,3.95,4.12,4.04,4.32,-
EV/EBITDA Ratio,37.52,152.49,138.27,50.49,22.82,-,58.77,23.63,-,-,-
EV/EBIT Ratio,162.33,-,-,-,107.04,-,-,1819.11,-,-,-
EV/FCF Ratio,-,-,-,60.26,49.10,-,-,25.99,-,-,-
Debt / Equity Ratio,1.52,1.36,1.26,2.19,2.64,2.30,1.47,1.12,1.55,0.82,0.40
Debt / EBITDA Ratio,9.91,31.83,27.43,14.48,8.95,-,17.31,6.38,-,-,-
Debt / FCF Ratio,-,-,-,18.39,19.25,-,-,7.01,-,-,-
Asset Turnover,0.45,0.44,0.43,0.37,0.35,0.11,0.28,0.24,0.23,0.22,0.33
Quick Ratio,0.68,0.56,0.81,0.92,1.22,1.05,0.90,1.52,1.80,0.73,0.29
Current Ratio,0.87,0.63,0.93,1.11,2.17,1.41,1.42,3.06,2.42,0.83,0.42
Return on Equity (ROE),-0.17%,-5.81%,-29.83%,-11.28%,-4.35%,-23.32%,-18.87%,2.54%,-6.29%,-16.51%,-5.54%
Return on Assets (ROA),0.76%,-1.56%,-1.85%,-0.97%,0.74%,-5.06%,-1.44%,0.03%,-4.14%,-3.18%,-3.27%
Return on Capital (ROIC),0.90%,-1.90%,-2.54%,-1.48%,1.16%,-8.45%,-2.62%,0.06%,-7.77%,-6.26%,-4.94%
Return on Capital Employed (ROCE),1.40%,-,-,-,1.30%,-,-,0.10%,-,-,-
Earnings Yield,-0.04%,-1.29%,-5.05%,-2.00%,-0.88%,-6.12%,-5.10%,0.39%,-2.28%,-6.11%,-
FCF Yield,-1.18%,-2.87%,-2.72%,2.08%,2.84%,-10.67%,-1.85%,5.51%,-23.78%,-26.72%,-
Buyback Yield / Dilution,-1.08%,-1.89%,0.64%,-19.48%,13.33%,-17.65%,-,-4.08%,0.88%,-,-
