Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,364.85,317.72,281.33,236.15,189.26,160.7,158.28,144.44,144.84,139.28,130.84
Revenue Growth (YoY),20.27%,12.93%,19.13%,24.78%,17.77%,1.53%,9.58%,-0.28%,3.99%,6.46%,-12.68%
Cost of Revenue,164.99,149.89,154.93,143.89,109.37,93.74,99.21,96.56,94.12,90.26,86.34
Gross Profit,199.86,167.84,126.4,92.26,79.89,66.97,59.07,47.88,50.72,49.02,44.5
"Selling, General & Admin",22.73,19.06,17.45,15.56,12.84,12.17,11.5,10.48,10.15,9.4,9.38
Operating Expenses,46.92,42.91,40.98,37.48,33.47,33.1,29.82,27.88,26.49,25.54,25.41
Operating Income,152.93,124.92,85.42,54.78,46.42,33.87,29.25,20,24.23,23.48,19.09
Interest Expense,-,-,-,-,-,-0.25,-0.24,-0.24,-0.24,-0.25,-1.04
Interest & Investment Income,-,-,-,-,-,0.45,1.9,1.81,0.96,0.38,0.33
Other Non Operating Income (Expenses),12.68,11.46,7.94,1.78,0.1,-,-,-,-,-,-
EBT Excluding Unusual Items,165.61,136.38,93.36,56.56,46.52,34.07,30.9,21.57,24.94,23.62,18.38
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-0.9
Pretax Income,165.61,136.38,93.36,56.56,46.52,34.07,30.9,21.57,24.94,23.62,17.48
Income Tax Expense,34.89,27.54,18.81,11.13,9.47,5.85,4.84,1.88,-2.21,5.86,4.6
Net Income,130.72,108.84,74.55,45.43,37.05,28.22,26.06,19.69,27.15,17.75,12.89
Net Income to Common,130.72,108.84,74.55,45.43,37.05,28.22,26.06,19.69,27.15,17.75,12.89
Net Income Growth,32.24%,46.00%,64.10%,22.63%,31.26%,8.32%,32.37%,-27.49%,52.91%,37.78%,-33.46%
Shares Outstanding (Basic),29,29,28,28,28,28,28,28,28,28,28
Shares Outstanding (Diluted),29,29,29,28,28,28,28,28,28,28,28
Shares Change (YoY),0.25%,0.54%,0.46%,0.21%,0.51%,0.33%,0.34%,0.25%,0.30%,-0.58%,0.27%
EPS (Basic),4.57,3.81,2.62,1.60,1.31,1.00,0.93,0.70,0.97,0.64,0.46
EPS (Diluted),4.55,3.79,2.61,1.60,1.31,1.00,0.93,0.70,0.97,0.64,0.46
EPS Growth,32.23%,45.21%,63.13%,22.32%,30.80%,7.76%,32.19%,-27.78%,52.42%,38.64%,-33.72%
Free Cash Flow,104.18,98.61,58.01,37.55,25.78,41.44,19.91,-15.03,12.95,20.13,20.99
Free Cash Flow Per Share,3.63,3.44,2.03,1.32,0.91,1.47,0.71,-0.54,0.46,0.72,0.75
Dividend Per Share,0.240,0.210,0.170,0.160,0.136,0.128,0.108,0.108,0.108,0.100,0.100
Dividend Growth,20.00%,23.53%,6.25%,17.65%,6.25%,18.52%,-,-,8.00%,-,-
Gross Margin,54.78%,52.83%,44.93%,39.07%,42.21%,41.67%,37.32%,33.15%,35.02%,35.20%,34.01%
Operating Margin,41.92%,39.32%,30.36%,23.20%,24.53%,21.07%,18.48%,13.85%,16.73%,16.86%,14.59%
Profit Margin,35.83%,34.26%,26.50%,19.24%,19.57%,17.56%,16.46%,13.63%,18.74%,12.75%,9.85%
Free Cash Flow Margin,28.55%,31.04%,20.62%,15.90%,13.62%,25.79%,12.58%,-10.40%,8.94%,14.46%,16.04%
EBITDA,177.47,149.09,109.25,76.98,67.32,55.03,47.79,37.61,40.78,39.62,35.12
EBITDA Margin,48.64%,46.92%,38.83%,32.60%,35.57%,34.24%,30.20%,26.04%,28.15%,28.45%,26.84%
D&A For EBITDA,24.54,24.17,23.83,22.2,20.9,21.16,18.55,17.6,16.55,16.14,16.03
EBIT,152.93,124.92,85.42,54.78,46.42,33.87,29.25,20,24.23,23.48,19.09
EBIT Margin,41.92%,39.32%,30.36%,23.20%,24.53%,21.07%,18.48%,13.85%,16.73%,16.86%,14.59%
Effective Tax Rate,21.07%,20.20%,20.15%,19.68%,20.36%,17.17%,15.68%,8.73%,-,24.83%,26.29%
Revenue as Reported,-,-,-,-,-,-,-,-,-,139.28,130.84
