Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,437","3,005","3,230","2,470","4,246","5,081","2,087","2,490","1,780","1,279",760
Market Cap Growth,-7.23%,-6.96%,30.80%,-41.83%,-16.43%,143.42%,-16.18%,39.92%,39.09%,68.31%,-
Enterprise Value,"2,422","2,931","3,109","2,403","4,021","5,003","2,029","2,434","1,767","1,151",640
Last Close Price,48.22,60.80,64.62,49.48,84.81,103.45,42.97,51.87,37.75,27.83,16.68
PE Ratio,20.74,24.21,39.86,43.84,81.24,65.26,38.99,115.70,60.86,126.16,-
Forward PE,18.55,27.22,33.03,32.92,46.27,70.37,30.66,41.25,42.17,47.48,138.65
PS Ratio,2.42,3.20,3.66,2.93,5.67,8.22,4.16,5.92,5.25,4.90,3.64
PB Ratio,2.90,3.90,4.46,3.97,6.78,10.62,5.69,8.97,7.64,6.69,4.47
P/TBV Ratio,4.22,5.90,7.09,6.71,10.43,20.37,14.36,18.79,24.36,8.02,5.55
P/FCF Ratio,15.54,15.31,25.15,87.39,46.10,59.12,75.11,50.10,38.09,94.46,43.02
P/OCF Ratio,13.96,14.56,23.76,43.40,41.16,49.77,44.30,41.01,31.12,56.61,27.13
PEG Ratio,1.44,2.69,3.74,1.86,2.31,3.52,2.05,2.42,2.96,2.81,6.93
EV/Sales Ratio,2.44,3.12,3.53,2.85,5.37,8.10,4.04,5.79,5.21,4.41,3.07
EV/EBITDA Ratio,16.43,22.49,30.71,25.25,39.03,53.22,23.85,30.52,27.28,25.47,20.89
EV/EBIT Ratio,18.26,26.94,40.61,37.82,54.29,73.56,30.94,42.01,38.01,30.05,25.88
EV/FCF Ratio,15.53,14.93,24.21,85.03,43.66,58.22,73.01,48.97,37.82,84.99,36.23
Debt / Equity Ratio,1.21,1.37,0.73,0.85,0.75,0.33,0.29,0.24,0.31,0.04,0.04
Debt / EBITDA Ratio,6.56,7.37,4.67,5.02,4.15,1.53,1.16,0.84,1.10,0.15,0.22
Debt / FCF Ratio,6.84,5.38,4.10,18.75,5.09,1.84,3.88,1.35,1.52,0.50,0.38
Asset Turnover,0.48,0.54,0.64,0.66,0.76,0.96,1.01,1.03,1.07,1.07,1.20
Inventory Turnover,4.03,3.55,3.07,3.59,5.12,5.80,6.42,7.84,9.40,11.68,11.61
Quick Ratio,1.80,7.13,4.72,4.53,6.31,3.73,2.59,2.60,3.08,4.29,5.15
Current Ratio,2.06,7.85,5.46,5.40,7.10,4.40,3.22,3.03,3.68,4.79,5.54
Return on Equity (ROE),15.76%,16.38%,11.92%,8.91%,9.27%,18.14%,16.55%,8.43%,13.79%,5.62%,9.39%
Return on Assets (ROA),4.05%,3.91%,3.46%,3.10%,4.71%,6.59%,8.21%,8.91%,9.18%,9.83%,8.91%
Return on Capital (ROIC),4.44%,4.42%,3.98%,3.53%,5.35%,7.65%,10.00%,11.17%,11.58%,12.78%,11.71%
Return on Capital Employed (ROCE),9.00%,5.90%,6.10%,5.50%,6.70%,10.60%,13.60%,15.80%,14.20%,17.30%,12.60%
Earnings Yield,5.29%,4.13%,2.51%,2.28%,1.23%,1.53%,2.56%,0.86%,1.64%,0.79%,1.55%
FCF Yield,6.44%,6.53%,3.98%,1.14%,2.17%,1.69%,1.33%,2.00%,2.63%,1.06%,2.33%
Payout Ratio,-,-,-,-,-,-,-,-,-,-,169.95%
Buyback Yield / Dilution,-5.68%,-6.17%,0.56%,-5.80%,-1.88%,-1.37%,-1.17%,-1.09%,-2.67%,-98.58%,-519.73%
