Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,991.77,939.83,881.68,842.56,748.97,618,502.36,420.49,338.94,261.11,208.89
Revenue Growth (YoY),7.36%,6.59%,4.64%,12.50%,21.19%,23.02%,19.47%,24.06%,29.81%,25.00%,24.85%
Cost of Revenue,336.86,326.15,325.16,342.58,305.9,227.43,183.6,145.72,116.19,99.38,77.37
Gross Profit,654.91,613.68,556.52,499.98,443.07,390.58,318.76,274.78,222.75,161.73,131.51
"Selling, General & Admin",226.75,219.89,203.42,186.94,161.58,142.89,116.62,105.92,85.78,72.65,60.96
Research & Development,266.05,255.88,245.11,218.64,177.71,152.15,114.44,89.2,72.76,44.27,40
Operating Expenses,522.25,504.9,479.96,436.44,369.01,322.56,253.19,216.85,176.27,123.41,106.77
Operating Income,132.66,108.78,76.56,63.54,74.06,68.02,65.57,57.93,46.48,38.31,24.75
Interest Expense,-17.31,-11.43,-3.43,-3.14,-15.96,-2.6,-2.97,-2.92,-2.2,-0.19,-0.18
Interest & Investment Income,49.03,47.36,29.8,8.76,0.59,0.87,4.92,2.27,1.03,0.59,-
Earnings From Equity Investments,3.11,-,-,-,-,-,-,-,-,-0.08,-0.68
Other Non Operating Income (Expenses),-0.53,-2.8,4.62,-0.2,0.14,0.18,-0.4,0.14,0.04,-,0.33
EBT Excluding Unusual Items,166.96,141.91,107.56,68.95,58.83,66.47,67.12,57.43,45.35,38.64,24.22
Merger & Restructuring Charges,-0.96,-0.11,-0.62,-1.06,-0.03,-5.33,-2.6,-,-5.9,-11.1,-0.1
Gain (Loss) on Sale of Investments,0.23,0.13,-,0.14,-,25.41,-,-,-,-,-
Asset Writedown,-,-,-,-,-0.09,-,-,-,-,-,-
Legal Settlements,-1.9,-0.02,-9.04,-11.44,-12.46,-8.99,-12.75,-45.73,-7.21,-13.39,-6.35
Other Unusual Items,-0.26,-0.11,-0.07,-,-0.19,2.6,7.13,-,-,0.23,-0.31
Pretax Income,164.07,141.81,97.83,56.59,46.07,80.16,58.9,11.7,32.24,14.38,17.47
Income Tax Expense,36.91,19.29,17.49,0.96,-5.11,3.5,5.57,-9.83,2.99,4.23,5.7
Earnings From Continuing Operations,127.16,122.51,80.34,55.63,51.18,76.66,53.33,21.52,29.25,10.15,11.77
Minority Interest in Earnings,1.01,1.6,0.7,0.71,1.08,1.19,0.2,-,-,-,-
Net Income,128.17,124.12,81.04,56.34,52.26,77.85,53.53,21.52,29.25,10.15,11.77
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,0,0.01,0.01,18.99
Net Income to Common,128.17,124.12,81.04,56.34,52.26,77.85,53.53,21.52,29.24,10.14,-7.22
Net Income Growth,2.46%,53.15%,43.85%,7.80%,-32.88%,45.43%,148.70%,-26.42%,188.07%,-13.71%,-12.84%
Shares Outstanding (Basic),50,50,50,50,50,49,48,48,47,46,24
Shares Outstanding (Diluted),60,58,55,55,52,51,50,50,49,48,24
Shares Change (YoY),5.68%,6.17%,-0.56%,5.80%,1.88%,1.37%,1.17%,1.09%,2.67%,98.58%,519.73%
EPS (Basic),2.58,2.50,1.63,1.13,1.05,1.59,1.11,0.45,0.63,0.22,-0.30
EPS (Diluted),2.36,2.29,1.53,1.07,1.01,1.53,1.06,0.43,0.59,0.21,-0.30
EPS Growth,1.77%,49.84%,42.92%,5.78%,-33.99%,44.34%,146.51%,-27.12%,180.95%,-,-
Free Cash Flow,155.97,196.28,128.45,28.26,92.1,85.94,27.79,49.7,46.72,13.55,17.67
Free Cash Flow Per Share,2.61,3.38,2.35,0.51,1.77,1.69,0.55,1.00,0.95,0.28,0.73
Gross Margin,66.03%,65.30%,63.12%,59.34%,59.16%,63.20%,63.45%,65.35%,65.72%,61.94%,62.96%
Operating Margin,13.38%,11.58%,8.68%,7.54%,9.89%,11.01%,13.05%,13.78%,13.71%,14.67%,11.85%
Profit Margin,12.92%,13.21%,9.19%,6.69%,6.98%,12.60%,10.66%,5.12%,8.63%,3.88%,-3.46%
Free Cash Flow Margin,15.73%,20.89%,14.57%,3.35%,12.30%,13.91%,5.53%,11.82%,13.79%,5.19%,8.46%
EBITDA,147.44,130.31,101.23,95.17,103.02,94.02,85.06,79.75,64.78,45.19,30.64
EBITDA Margin,14.87%,13.87%,11.48%,11.29%,13.76%,15.21%,16.93%,18.97%,19.11%,17.31%,14.67%
D&A For EBITDA,14.79,21.53,24.67,31.63,28.96,26,19.49,21.82,18.3,6.88,5.9
EBIT,132.66,108.78,76.56,63.54,74.06,68.02,65.57,57.93,46.48,38.31,24.75
EBIT Margin,13.38%,11.58%,8.68%,7.54%,9.89%,11.01%,13.05%,13.78%,13.71%,14.67%,11.85%
Effective Tax Rate,22.50%,13.61%,17.87%,1.70%,-,4.37%,9.45%,-,9.27%,29.39%,32.62%
Revenue as Reported,991.77,939.83,881.68,842.56,748.97,618,502.36,420.49,338.94,261.11,208.89
Advertising Expenses,-,6.6,2.9,6.1,9.6,11.9,7.5,11.4,4.1,4.6,3.7
