Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,067","1,221",696.98,622.17,710.62,253.46,119.63,146.06,96.33,140.63,128.36
Cash & Short-Term Investments,"1,068","1,221",696.98,622.17,710.62,253.46,119.63,146.06,96.33,140.63,128.36
Cash Growth,-8.72%,75.14%,12.03%,-12.45%,180.37%,111.87%,-18.10%,51.63%,-31.50%,9.56%,201.51%
Accounts Receivable,110.98,126.08,130.63,124.28,105.55,83.33,76.37,49.51,40.63,29.81,21.35
Receivables,110.98,126.08,130.63,124.28,105.55,83.33,77.37,50.51,44.63,32.81,21.45
Inventory,92.3,87.44,96.14,115.58,75.28,44.28,34.17,22.99,14.18,10.54,6.47
Prepaid Expenses,24.5,16.1,14.6,14.5,17.7,8.4,6.1,5,-,-,-
Restricted Cash,-,2.2,0.1,0.01,-,-,-,-,-,-,-
Other Current Assets,49.43,29.07,18.33,14.54,8.48,7.95,6.4,3.5,8.8,6.2,4.77
Total Current Assets,"1,346","1,482",956.78,891.09,917.62,397.41,243.67,228.06,163.94,190.18,161.05
"Property, Plant & Equipment",122.95,116.63,78.41,86.11,72.19,78.25,69.07,27.76,23.46,20.18,15.45
Long-Term Investments,203.9,-,-,-,-,-,1,-,-,1,1.5
Goodwill,181.71,154.21,154.5,148.18,112.9,112.84,104.96,63.59,63.59,24.72,24.72
Other Intangible Assets,71.21,63.16,78.56,82.46,93.01,105.46,105.34,81.47,96.19,7.07,8.52
Long-Term Deferred Tax Assets,160.88,181.28,131.82,84.19,13.55,21.69,19.14,28.95,18.44,16.75,11.92
Other Long-Term Assets,14.84,41.33,35,33.36,18.15,11.83,9.62,1.86,3.03,1.34,0.54
Total Assets,"2,124","2,038","1,440","1,329","1,232",731.69,557.8,440.99,371.64,261.25,226.1
Accounts Payable,28.17,65.62,39.04,53.12,64.75,38.16,32.88,20.21,17.01,18.29,12.81
Accrued Expenses,70.75,58.18,50.19,43.12,43.39,33.76,26.43,48.04,16.43,14.11,11.76
Current Portion of Leases,10.2,7.7,12.04,12.16,10.33,9.97,7.68,-,-,-,-
Current Income Taxes Payable,1.1,28.05,42.5,43.58,-,-,-,-,-,-,-
Current Unearned Revenue,14.39,12.94,10.19,7.54,5.7,4.04,3.04,3.36,3.29,2.59,2.29
Other Current Liabilities,30.35,16.32,21.38,5.42,5.17,4.32,5.76,3.66,7.78,4.71,2.22
Total Current Liabilities,654.01,188.81,175.34,164.94,129.34,90.24,75.8,75.27,44.5,39.7,29.08
Long-Term Debt,488.92,983.48,493.52,490.37,425.35,110,63,67,71,6.7,6.7
Long-Term Leases,69.07,65.53,20.47,27.38,32.59,37.7,37.2,-,-,-,-
Long-Term Unearned Revenue,13.58,13.62,12.69,10.79,9.14,8.49,7.46,7.82,9.39,10.04,9.7
Other Long-Term Liabilities,14.74,15.48,12.7,13.05,9.55,6.81,7.49,13.31,13.93,13.56,10.48
Total Liabilities,"1,240","1,267",714.71,706.53,605.96,253.24,190.94,163.4,138.81,70,55.96
Common Stock,0.53,0.53,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.46
Additional Paid-In Capital,544.7,521.19,531.73,497.2,498.98,405.83,365.63,341.14,321.03,308.7,297.78
Retained Earnings,488.14,390.3,266.19,185.14,118.83,66.57,-10.46,-64.03,-88.68,-117.91,-128.06
Treasury Stock,-208.71,-186.29,-111.29,-83.99,-5.15,-5.15,-,-,-,-,-0.04
Comprehensive Income & Other,2.53,0.82,1.4,-,-,-,-,-,-,-,-
Total Common Equity,827.19,726.55,688.55,598.86,613.17,467.75,355.65,277.59,232.83,191.25,170.13
Minority Interest,56.08,44.75,36.31,23.99,12.89,10.69,11.21,-,-,-,-
Shareholders' Equity,883.27,771.29,724.85,622.85,626.06,478.44,366.86,277.59,232.83,191.25,170.13
Total Liabilities & Equity,"2,124","2,038","1,440","1,329","1,232",731.69,557.8,440.99,371.64,261.25,226.1
Total Debt,"1,067","1,057",526.03,529.91,468.27,157.67,107.88,67,71,6.7,6.7
Net Cash (Debt),1.23,163.99,170.96,92.26,242.35,95.79,11.75,79.06,25.33,133.93,121.66
Net Cash Growth,-98.94%,-4.08%,85.30%,-61.93%,153.01%,715.43%,-85.14%,212.14%,-81.09%,10.09%,239.14%
Net Cash Per Share,0.02,2.83,3.13,1.68,4.67,1.88,0.23,1.59,0.52,2.80,5.05
Filing Date Shares Outstanding,49.88,49.65,49.95,49.63,50.32,49.59,48.75,48.18,47.21,46.23,45.58
Total Common Shares Outstanding,49.76,49.62,49.87,49.45,50.26,49.48,48.7,48.1,47.2,46.14,45.49
Working Capital,691.69,"1,293",781.44,726.15,788.28,307.17,167.88,152.79,119.43,150.49,131.97
