Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"2,326","1,871","2,157","1,284","2,758","2,478","1,130",456.14,442.98,"1,260",584.43
Investment Securities,"3,372","2,748","2,838","1,423","1,480","1,247","1,087",470.18,456.62,346.97,344.18
Trading Asset Securities,88,108.64,38.09,15.44,177.42,342.51,150.57,49.48,32.26,58.47,53.14
Mortgage-Backed Securities,"8,099","5,828","6,282","1,993","2,624","1,894","1,913","2,632","2,669","2,396","2,212"
Total Investments,"11,559","8,684","9,158","3,431","4,282","3,484","3,151","3,152","3,158","2,801","2,609"
Gross Loans,"49,222","38,173","38,043","26,204","22,604","21,848","21,294","20,552","19,183","17,642","17,044"
Allowance for Loan Losses,-473,-424.63,-440.87,-301.14,-248.41,-328.4,-157.63,-144.87,-140.61,-133.98,-130.32
Other Adjustments to Gross Loans,-760,-491.83,-600.93,-47.67,-51.06,-69.09,-98.38,-129.78,-163.77,-132.93,-177.3
Net Loans,"47,989","37,256","37,001","25,855","22,305","21,451","21,038","20,278","18,879","17,375","16,736"
"Property, Plant & Equipment",572,459.9,454.78,254.61,253.49,282.99,312.18,227.42,269.18,303.88,328.73
Goodwill,"1,481","1,029","1,029",-,-,2.72,"1,788","1,788","1,788","1,788","1,788"
Other Intangible Assets,754,484.25,603.68,4.75,8.84,13.36,18.35,23.96,30.13,36.89,45.51
Loans Held for Sale,340,71.54,30.72,71.65,353.11,766.23,513.43,166.46,259.52,387.32,363.28
Accrued Interest Receivable,234,180.9,189,97.4,70.54,83.8,70.21,70.53,64.04,56.04,52.84
Other Receivables,-,-,-,-,46.69,33.89,26.69,12.97,22.92,12.4,10.72
Restricted Cash,17,7.7,5.1,10.5,4,95.6,232.69,166.5,191.3,189.4,189.3
Other Current Assets,-,-,-,-,34.38,30.89,31.46,26.4,21.05,19.01,15.02
Long-Term Deferred Tax Assets,392,359.43,347.2,132.82,-,-,-,-,-,34.32,138.08
Other Real Estate Owned & Foreclosed,3,-,-,-,1.87,1.81,3.3,10.96,11.73,6.74,22.31
Other Long-Term Assets,"1,829","1,172","1,197",707.16,524.12,511.66,531.88,561.45,543.04,499.46,477.33
Total Assets,"67,496","51,576","52,174","31,849","30,641","29,235","28,847","26,940","25,680","24,813","23,406"
Interest Bearing Deposits,"36,190","27,211","26,316","16,194","15,091","14,090","14,336","11,523","11,758","11,457","10,784"
Institutional Deposits,"1,771","1,202","1,034",582.84,480.43,899.56,"1,232","2,947","1,684","1,703","1,604"
Non-Interest Bearing Deposits,"17,810","13,308","14,256","10,289","11,024","9,633","6,913","6,667","6,506","5,861","5,319"
Total Deposits,"55,771","41,721","41,607","27,066","26,595","24,622","22,482","21,137","19,948","19,021","17,707"
Short-Term Borrowings,361,517.25,513.21,579.97,501.92,384.17,320.12,313.13,294.3,352.95,304.56
Current Portion of Long-Term Debt,"2,300","3,100",-,-,-,-,-,-,-,-,-
Current Portion of Leases,-,33.81,-,-,-,-,-,-,-,-,-
Long-Term Debt,-,-,-,-,-,-,-,-,802.36,852.4,888.77
