Period Ending,"Oct '25Oct 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"2,077","2,127","2,517","1,975","2,955",-,-
Market Cap Growth,22.76%,-15.49%,27.43%,-33.16%,-,-,-
Enterprise Value,"1,745","1,814","2,226","1,664","3,833",-,-
Last Close Price,10.00,10.34,12.39,9.94,15.06,-,-
PE Ratio,-,261.17,-,-,-,-,-
Forward PE,33.00,32.52,111.62,-,-,-,-
PS Ratio,4.61,4.85,6.61,6.24,11.90,-,-
PB Ratio,3.02,3.17,3.83,3.00,4.09,-,-
P/TBV Ratio,4.55,4.89,6.20,5.03,6.47,-,-
P/FCF Ratio,25.54,30.45,406.16,-,-,-,-
P/OCF Ratio,24.84,29.57,297.83,-,-,-,-
EV/Sales Ratio,3.91,4.13,5.85,5.26,15.43,-,-
EV/EBITDA Ratio,62.65,53.29,-,-,-,-,-
EV/FCF Ratio,21.45,25.96,359.14,-,-,-,-
Debt / Equity Ratio,0.11,0.11,0.22,0.23,0.26,0.56,0.51
Debt / EBITDA Ratio,2.58,2.10,-,-,-,-,-
Debt / FCF Ratio,0.92,1.08,23.19,-,-,-,-
Asset Turnover,0.22,0.19,0.16,0.14,0.17,0.29,-
Quick Ratio,0.37,0.33,0.30,0.36,0.45,1.30,2.45
Current Ratio,1.33,1.29,1.25,1.30,1.39,2.03,3.09
Return on Equity (ROE),-1.17%,1.23%,-7.20%,-14.67%,-38.23%,-32.11%,-
Return on Assets (ROA),-0.21%,-0.06%,-1.42%,-2.32%,-4.48%,-5.61%,-
Return on Capital (ROIC),-0.54%,-0.18%,-4.15%,-6.03%,-9.49%,-7.55%,-
Earnings Yield,-0.39%,0.38%,-1.88%,-5.13%,-6.76%,-,-
FCF Yield,3.92%,3.28%,0.25%,-1.61%,-2.37%,-,-
Buyback Yield / Dilution,-0.78%,-3.60%,-1.94%,-132.83%,-71.02%,-16.96%,-
