Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,554","6,939","9,058","5,103","7,777","10,825","9,708","4,407","8,122","2,644","2,543"
Market Cap Growth,-42.40%,-23.39%,77.48%,-34.38%,-28.15%,11.50%,120.28%,-45.73%,207.12%,3.99%,100.66%
Enterprise Value,"4,976","6,411","8,593","4,443","7,020","10,159","9,120","3,914","7,756","2,359","2,181"
Last Close Price,116.83,144.85,187.82,105.14,158.98,220.48,197.01,89.25,164.32,53.53,51.76
PE Ratio,25.18,31.32,44.84,24.44,42.48,81.78,70.76,75.79,79.43,55.87,174.90
Forward PE,21.94,29.17,41.52,26.95,33.85,63.99,56.78,47.06,69.53,45.90,32.51
PS Ratio,8.68,10.71,15.71,8.28,14.05,25.24,23.96,17.81,24.20,13.30,13.31
PB Ratio,3.18,4.29,6.26,4.00,7.07,11.86,11.96,6.38,12.32,5.00,5.45
P/TBV Ratio,3.34,4.56,6.79,4.21,7.59,13.26,14.01,8.01,16.34,7.67,6.44
P/FCF Ratio,34.43,32.87,95.36,60.53,52.57,89.61,59.25,45.72,78.42,36.21,23.44
P/OCF Ratio,25.91,27.35,58.52,40.24,40.70,72.75,50.06,36.19,60.90,32.92,22.38
PEG Ratio,2.37,1.50,2.53,1.70,1.13,2.77,1.11,0.64,0.64,0.64,0.64
EV/Sales Ratio,7.78,9.90,14.91,7.21,12.68,23.69,22.51,15.82,23.11,11.86,11.42
EV/EBITDA Ratio,17.81,22.66,32.97,14.36,26.04,52.18,47.31,44.83,44.80,26.34,47.05
EV/EBIT Ratio,21.28,26.85,39.56,16.63,30.84,64.49,57.60,68.98,53.03,34.30,67.59
EV/FCF Ratio,30.85,30.37,90.47,52.69,47.45,84.10,55.66,40.60,74.89,32.29,20.10
Debt / Equity Ratio,0.01,0.01,0.02,0.03,0.03,0.01,0.01,-,-,-,-
Debt / EBITDA Ratio,0.09,0.08,0.10,0.10,0.11,0.04,0.04,-,-,-,-
Debt / FCF Ratio,0.16,0.11,0.28,0.39,0.21,0.07,0.05,-,-,-,-
Asset Turnover,0.34,0.37,0.36,0.41,0.41,0.36,0.40,0.29,0.48,0.34,0.36
Inventory Turnover,0.82,0.89,0.81,0.86,1.10,1.34,1.40,1.28,2.67,2.55,2.97
Quick Ratio,6.66,5.10,5.50,4.94,4.10,4.92,4.38,4.20,7.41,8.78,12.18
Current Ratio,9.55,7.18,7.72,6.63,4.93,5.61,4.91,4.77,8.14,9.59,12.97
Return on Equity (ROE),13.31%,14.50%,14.91%,17.69%,18.31%,15.47%,18.42%,8.72%,17.50%,9.66%,3.21%
Return on Assets (ROA),7.78%,8.53%,8.48%,11.13%,10.40%,8.24%,9.64%,4.14%,12.99%,7.24%,3.84%
Return on Capital (ROIC),8.65%,9.59%,9.76%,13.69%,13.87%,11.31%,13.10%,5.25%,15.39%,8.64%,4.41%
Return on Capital Employed (ROCE),12.70%,14.00%,14.00%,19.10%,17.80%,14.30%,16.50%,7.10%,20.40%,11.70%,6.10%
Earnings Yield,3.99%,3.20%,2.24%,4.12%,2.37%,1.23%,1.43%,1.33%,1.28%,1.82%,0.58%
FCF Yield,2.90%,3.04%,1.05%,1.65%,1.90%,1.12%,1.69%,2.19%,1.27%,2.76%,4.27%
Dividend Yield,1.54%,1.10%,0.74%,1.14%,0.50%,0.27%,0.20%,0.27%,0.07%,-,-
Payout Ratio,38.79%,34.30%,32.87%,27.13%,20.59%,21.33%,13.63%,19.23%,5.44%,-,-
Buyback Yield / Dilution,-0.07%,-0.06%,-0.33%,-0.22%,-0.27%,-0.51%,-0.21%,-0.20%,-0.58%,2.02%,-1.73%
Total Shareholder Return,1.47%,1.04%,0.42%,0.92%,0.23%,-0.24%,-0.01%,0.07%,-0.51%,2.02%,-1.73%
