Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,639.98,647.68,576.43,616.62,553.53,428.87,405.18,247.41,335.63,198.89,191.05
Revenue Growth (YoY),-0.58%,12.36%,-6.52%,11.40%,29.07%,5.85%,63.77%,-26.28%,68.75%,4.10%,0.01%
Cost of Revenue,159.05,159.21,145.38,137.1,123.84,104.13,93.98,68,71.45,38.36,74.08
Gross Profit,480.93,488.48,431.05,479.52,429.68,324.74,311.19,179.41,264.18,160.53,116.96
"Selling, General & Admin",75.02,74.29,67.39,77.89,80.37,61.35,59.61,47,46.81,32.52,29.05
Research & Development,153.88,157.19,130.48,117.06,99.67,83.89,71.28,53.72,49.14,42.74,44.64
Amortization of Goodwill & Intangibles,18.2,18.2,15.99,17.46,21.99,21.97,21.96,21.96,21.98,16.49,11
Operating Expenses,247.1,249.67,213.86,212.41,202.04,167.21,152.85,122.68,117.94,91.75,84.69
Operating Income,233.83,238.8,217.19,267.11,227.64,157.53,158.34,56.74,146.25,68.77,32.28
Interest & Investment Income,40.49,40.68,28.17,7.81,0.51,5.14,10.8,7.66,3.29,2.11,0.78
Currency Exchange Gain (Loss),-7.2,-7.2,-,-,-,-,-,-,-,-1.93,-
Other Non Operating Income (Expenses),6.33,-0.16,-0.18,0.27,0.1,0.86,0.77,-0.08,-0,-,-
EBT Excluding Unusual Items,273.46,272.13,245.17,275.19,228.25,163.53,169.91,64.31,149.54,68.96,33.06
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-0.36,-
Gain (Loss) on Sale of Investments,-,-,-,-6.96,-,-,-,-,-,-,-
Pretax Income,273.46,272.13,245.17,268.23,228.25,163.53,169.91,64.31,149.54,68.6,33.06
Income Tax Expense,51.7,50.05,42.16,58.17,44.03,30.16,31.6,5.47,45.65,20.53,18.38
Net Income,221.75,222.08,203.01,210.06,184.21,133.37,138.3,58.84,103.89,48.07,14.68
Preferred Dividends & Other Adjustments,0.2,0.53,0.99,1.22,1.14,1,1.11,0.69,1.64,0.73,0.14
Net Income to Common,221.56,221.55,202.02,208.85,183.08,132.37,137.2,58.15,102.25,47.34,14.54
Net Income Growth,-6.84%,9.39%,-3.36%,14.03%,38.12%,-3.57%,135.05%,-43.36%,116.11%,227.50%,-64.93%
Shares Outstanding (Basic),48,48,48,47,47,47,47,47,47,46,47
Shares Outstanding (Diluted),48,48,48,47,47,47,47,47,47,47,47
Shares Change (YoY),0.07%,0.06%,0.33%,0.22%,0.27%,0.51%,0.21%,0.20%,0.58%,-2.02%,1.73%
EPS (Basic),4.66,4.66,4.25,4.41,3.87,2.80,2.92,1.24,2.19,1.02,0.31
EPS (Diluted),4.64,4.65,4.24,4.40,3.87,2.80,2.92,1.24,2.18,1.02,0.31
EPS Growth,-6.82%,9.67%,-3.64%,13.69%,38.21%,-4.11%,135.48%,-43.12%,113.73%,229.03%,-65.56%
Free Cash Flow,161.33,211.1,94.99,84.32,147.94,120.8,163.85,96.41,103.56,73.04,108.51
Free Cash Flow Per Share,3.38,4.43,2.00,1.78,3.12,2.56,3.49,2.06,2.21,1.57,2.29
Dividend Per Share,1.750,1.600,1.400,1.200,0.800,0.600,0.400,0.240,0.120,-,-
Dividend Growth,12.90%,14.29%,16.67%,50.00%,33.33%,50.00%,66.67%,100.00%,-,-,-
Gross Margin,75.15%,75.42%,74.78%,77.77%,77.63%,75.72%,76.80%,72.52%,78.71%,80.71%,61.22%
Operating Margin,36.54%,36.87%,37.68%,43.32%,41.13%,36.73%,39.08%,22.93%,43.57%,34.58%,16.89%
Profit Margin,34.62%,34.21%,35.05%,33.87%,33.07%,30.86%,33.86%,23.50%,30.46%,23.80%,7.61%
Free Cash Flow Margin,25.21%,32.59%,16.48%,13.67%,26.73%,28.17%,40.44%,38.96%,30.86%,36.72%,56.80%
EBITDA,279.41,282.94,260.59,309.38,269.61,194.71,192.76,87.31,173.15,89.54,46.36
EBITDA Margin,43.66%,43.69%,45.21%,50.17%,48.71%,45.40%,47.58%,35.29%,51.59%,45.02%,24.27%
D&A For EBITDA,45.58,44.14,43.4,42.27,41.96,37.19,34.42,30.57,26.9,20.76,14.09
EBIT,233.83,238.8,217.19,267.11,227.64,157.53,158.34,56.74,146.25,68.77,32.28
EBIT Margin,36.54%,36.87%,37.68%,43.32%,41.13%,36.73%,39.08%,22.93%,43.57%,34.58%,16.89%
Effective Tax Rate,18.91%,18.39%,17.20%,21.69%,19.29%,18.44%,18.60%,8.51%,30.53%,29.93%,55.60%
Revenue as Reported,639.98,647.68,576.43,616.62,553.53,428.87,405.18,247.41,-,-,191.05
