Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,385","3,683","7,171","7,489","5,459","4,473","2,942","2,269","2,867","2,896","4,478"
Market Cap Growth,-65.08%,-48.64%,-4.25%,37.19%,22.05%,52.02%,29.67%,-20.85%,-1.02%,-35.32%,22.09%
Enterprise Value,"3,717","5,750","8,703","9,055","6,893","7,864","6,614","5,464","6,079","6,548","6,570"
Last Close Price,15.65,39.65,77.76,82.32,60.70,50.26,33.22,25.71,32.63,33.10,62.46
PE Ratio,12.73,14.41,-,27.42,28.64,-,27.01,-,14.35,471.48,39.78
Forward PE,6.87,11.61,21.49,25.32,21.21,18.71,14.86,11.14,13.97,13.39,23.83
PS Ratio,0.44,1.17,2.45,2.87,2.36,2.14,1.47,1.19,1.01,1.03,2.50
PB Ratio,0.45,1.15,2.48,2.58,2.11,2.29,1.16,0.96,1.11,1.33,2.65
P/TBV Ratio,1.85,4.99,14.85,14.57,22.07,-,8.37,-,-,-,-
P/FCF Ratio,-,-,187.68,88.71,42.10,10.31,29.36,14.10,22.86,53.63,-
P/OCF Ratio,4.14,28.40,15.51,19.68,14.58,6.79,8.84,5.48,7.17,8.01,18.63
PEG Ratio,-,1.91,2.08,2.02,2.54,1.60,2.19,1.03,1.57,0.82,1.01
EV/Sales Ratio,1.14,1.82,2.97,3.47,2.98,3.76,3.29,2.87,2.14,2.33,3.66
EV/EBITDA Ratio,5.93,8.56,13.62,16.06,13.70,18.37,16.45,14.16,10.46,11.29,17.09
EV/EBIT Ratio,8.37,11.01,17.18,20.29,17.38,23.63,21.06,17.88,13.88,14.71,20.48
EV/FCF Ratio,-,-,227.78,107.26,53.16,18.13,65.99,33.96,48.47,121.25,-
Debt / Equity Ratio,0.75,0.66,0.52,0.53,0.64,1.67,1.30,1.35,1.25,1.50,1.33
Debt / EBITDA Ratio,3.63,2.91,2.20,2.53,3.04,7.02,7.53,8.28,5.58,5.67,5.83
Debt / FCF Ratio,-,-,39.54,18.25,12.72,7.53,32.89,19.85,25.84,60.88,-
Asset Turnover,0.53,0.56,0.57,0.54,0.41,0.31,0.31,0.30,0.46,0.55,0.55
Inventory Turnover,323.32,329.33,323.16,302.57,276.96,278.24,261.31,229.79,350.45,356.30,265.93
Quick Ratio,1.20,0.86,0.60,1.16,1.08,0.52,0.91,0.97,1.13,1.12,0.89
Current Ratio,1.44,1.00,0.67,1.30,1.22,1.93,1.17,1.08,1.25,1.25,1.02
Return on Equity (ROE),3.69%,8.70%,-0.54%,10.21%,9.18%,6.37%,2.18%,2.32%,8.35%,0.21%,8.66%
Return on Assets (ROA),4.52%,5.77%,6.12%,5.72%,4.40%,3.11%,3.01%,3.03%,4.40%,5.40%,6.18%
Return on Capital (ROIC),5.08%,6.74%,7.16%,6.43%,5.24%,3.76%,3.45%,3.35%,4.84%,5.92%,6.81%
Return on Capital Employed (ROCE),7.50%,9.70%,11.30%,9.70%,9.10%,6.40%,4.90%,5.30%,7.20%,7.80%,8.00%
Earnings Yield,7.75%,6.94%,-0.30%,3.65%,3.49%,-15.03%,3.70%,-7.75%,6.97%,0.21%,2.51%
FCF Yield,-25.07%,-15.22%,0.53%,1.13%,2.38%,9.70%,3.41%,7.09%,4.37%,1.86%,-0.80%
Buyback Yield / Dilution,0.53%,-1.22%,0.66%,-0.84%,-2.48%,-0.89%,-0.46%,-0.41%,-1.27%,-25.71%,-23.61%
