Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,289,234,299,278,274,312.15,523.02,331.76,279.77,227.4,87.4
Cash & Short-Term Investments,289,234,299,278,274,312.15,523.02,331.76,279.77,227.4,87.4
Cash Growth,-18.13%,-21.74%,7.55%,1.46%,-12.22%,-40.32%,57.65%,18.58%,23.03%,160.19%,-23.74%
Receivables,"1,399","1,122","1,165",998,"1,073","1,073","1,131","1,154","1,027",860.55,590.16
Inventory,"3,316","3,220","3,121","2,752","2,611","2,415","2,773","2,836","2,381","1,935","1,557"
Prepaid Expenses,644,263,215,172,238,176.88,205.92,142.82,134.48,87.77,106.6
Other Current Assets,67,67,68,58,58,57,54.98,56.21,-,456.64,-
Total Current Assets,"5,715","4,906","4,868","4,258","4,254","4,034","4,688","4,521","3,822","3,568","2,341"
"Property, Plant & Equipment","2,742","2,905","2,852","2,463","2,660","2,602","2,543","1,220",913.09,811.58,696.57
Long-Term Investments,251,169,159,141,181,155.22,142.51,194.14,227.51,199.89,2.76
Goodwill,"5,451","5,448","5,600","4,319","4,540","4,592","4,407","4,381","3,537","3,055","2,319"
Other Intangible Assets,"1,096","1,150","1,313",653,746,814.22,850.34,928.75,743.77,584.23,215.12
Long-Term Deferred Tax Assets,-,17,23,25,32,16.97,10.12,3.38,15.11,3.6,3.35
Other Long-Term Assets,345,360,264,179,193,146.7,139.73,144.57,108.76,81.54,70.09
Total Assets,"15,600","14,955","15,079","12,038","12,606","12,361","12,780","11,393","9,367","8,303","5,648"
Accounts Payable,"1,905","1,801","1,648","1,339","1,176",932.41,942.8,942.4,788.61,633.77,415.59
Accrued Expenses,599,566,569,512,532,485.03,467.92,460.3,362.02,327.86,247.41
Current Portion of Long-Term Debt,537,10,570,17,20,103.49,317.93,121.95,126.36,66.11,57.38
Current Portion of Leases,238,265,250,205,218,234.05,230.94,-,-,-,-
Other Current Liabilities,302,220,281,198,219,233.52,218.94,165.69,45.73,183.05,31.6
Total Current Liabilities,"3,581","2,862","3,318","2,271","2,165","1,988","2,179","1,690","1,323","1,211",751.97
Long-Term Debt,"3,513","4,056","3,600","2,591","2,740","2,768","3,707","4,190","3,339","3,279","1,529"
Long-Term Leases,"1,217","1,279","1,220","1,122","1,246","1,243","1,169",39.97,-,-,-
Long-Term Deferred Tax Liabilities,364,386,448,280,279,291.42,310.13,311.43,252.36,199.66,127.24
Other Long-Term Liabilities,346,340,312,283,365,374.64,342.32,323.32,246.02,171.02,125.28
Total Liabilities,"9,021","8,923","8,898","6,547","6,795","6,665","7,707","6,555","5,160","4,860","2,533"
Common Stock,3,3,3,3,3,3.21,3.2,3.18,3.09,3.08,3.06
Additional Paid-In Capital,"1,574","1,556","1,538","1,506","1,474","1,445","1,418","1,415","1,141","1,117","1,091"
Retained Earnings,"7,969","7,662","7,290","6,656","5,794","4,776","4,140","3,599","3,124","2,590","2,126"
Treasury Stock,"-2,908","-2,787","-2,424","-2,389","-1,346",-469.11,-351.81,-60,-,-,-
Comprehensive Income & Other,-84,-417,-240,-323,-153,-99.01,-200.89,-174.95,-70.48,-267.18,-105.47
Total Common Equity,"6,554","6,017","6,167","5,453","5,772","5,656","5,009","4,782","4,198","3,443","3,115"
Minority Interest,25,15,14,38,39,39.66,63.78,56.45,8.48,-,-
Shareholders' Equity,"6,579","6,032","6,181","5,491","5,811","5,695","5,073","4,839","4,207","3,443","3,115"
Total Liabilities & Equity,"15,600","14,955","15,079","12,038","12,606","12,361","12,780","11,393","9,367","8,303","5,648"
Total Debt,"5,505","5,610","5,640","3,935","4,224","4,348","5,425","4,351","3,465","3,345","1,586"
Net Cash (Debt),"-5,216","-5,376","-5,341","-3,657","-3,950","-4,036","-4,902","-4,020","-3,186","-3,117","-1,499"
Net Cash Per Share,-20.16,-20.37,-19.91,-13.15,-13.27,-13.23,-15.76,-12.73,-10.26,-10.06,-4.87
Filing Date Shares Outstanding,255.97,259.15,266.61,267.07,285.01,303.31,307.15,314.78,309.57,308,306.2
Total Common Shares Outstanding,256.3,259.1,267.2,267.3,287.02,303.55,306.73,316.15,309.13,307.54,305.57
Working Capital,"2,134","2,044","1,550","1,987","2,089","2,046","2,509","2,831","2,499","2,357","1,589"
Book Value Per Share,25.57,23.22,23.08,20.40,20.11,18.63,16.33,15.13,13.58,11.19,10.19
Tangible Book Value,7,-581,-746,481,486,249.93,-248,-527.91,-82.11,-196.05,580.32
Tangible Book Value Per Share,0.03,-2.24,-2.79,1.80,1.69,0.82,-0.81,-1.67,-0.27,-0.64,1.90
Land,-,271,260,217,204,200.96,194.44,178,137.79,127.21,118.42
Buildings,-,505,473,409,415,415.81,384.92,351.73,233.08,209.77,183.48
Machinery,-,"1,287","1,226","1,102","1,057","1,037","1,042",970.71,848.34,716.43,611.21
Construction In Progress,-,63,132,52,159,76.92,53.34,65.47,42.49,101.45,80.67
Leasehold Improvements,-,476,457,398,350,314.57,295.53,278.69,257.51,152.36,140.73
