Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"14,097","14,355","13,866","12,794","13,089","11,629","12,506","11,877","9,737","8,584","7,193"
Revenue Growth (YoY),-0.01%,3.53%,8.38%,-2.25%,12.55%,-7.01%,5.30%,21.98%,13.43%,19.35%,6.71%
Cost of Revenue,"8,591","8,729","8,287","7,571","7,767","7,028","7,634","7,302","5,937","5,232","4,359"
Gross Profit,"5,506","5,626","5,579","5,223","5,322","4,601","4,872","4,575","3,800","3,352","2,834"
"Selling, General & Admin","3,910","3,918","3,871","3,544","3,569","3,222","3,581","3,353","2,713","2,359","1,987"
Operating Expenses,"4,286","4,279","4,154","3,781","3,829","3,494","3,872","3,627","2,933","2,551","2,109"
Operating Income,"1,220","1,347","1,425","1,442","1,493","1,107","1,000",947.37,866.99,801.16,724.14
Interest Expense,-254,-262,-214,-78,-72,-104,-138.5,-146.38,-101.64,-88.26,-57.86
Interest & Investment Income,32,23,44,15,22,-,2.23,1.84,1.02,0.58,0.52
Earnings From Equity Investments,5,8,15,11,23,5,-32.28,-64.47,5.91,-0.59,-6.1
Currency Exchange Gain (Loss),-,-,-,-,-,-47,14.02,20.42,-57.3,20.34,-
Other Non Operating Income (Expenses),-,-,-,-,-,70,17.46,-12.8,71.47,-0.33,2.2
EBT Excluding Unusual Items,"1,003","1,116","1,270","1,390","1,466","1,031",863.35,745.98,786.44,732.89,662.89
Merger & Restructuring Charges,-69,-150,-20,-20,-20,-73,-57.63,-32.43,-19.67,-37.76,-19.51
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,8.21,-
Gain (Loss) on Sale of Assets,-,-,-,159,-,-3,-47.1,-33.24,-,-,-
Other Unusual Items,-,-,-,-,-24,-65,0.13,-1.35,5.76,-26.65,-0.45
Pretax Income,934,966,"1,250","1,529","1,422",890,758.75,678.96,772.53,676.69,642.93
Income Tax Expense,236,273,306,385,331,250,215.33,191.4,235.56,220.57,219.7
Earnings From Continuing Operations,698,693,944,"1,144","1,091",640,543.42,487.57,536.97,456.12,423.22
Earnings From Discontinued Operations,1,-,-6,6,1,-,0.65,-4.4,-6.75,7.85,-
Net Income to Company,699,693,938,"1,150","1,092",640,544.06,483.17,530.23,463.98,423.22
Minority Interest in Earnings,-2,-3,-2,-1,-1,-2,-2.8,-3.05,3.52,-,-
Net Income,697,690,936,"1,149","1,091",638,541.26,480.12,533.74,463.98,423.22
Net Income to Common,697,690,936,"1,149","1,091",638,541.26,480.12,533.74,463.98,423.22
Net Income Growth,-1.97%,-26.28%,-18.54%,5.32%,71.00%,17.87%,12.73%,-10.05%,15.04%,9.63%,10.93%
Shares Outstanding (Basic),259,264,268,277,297,305,310,314,309,307,305
Shares Outstanding (Diluted),259,264,268,278,298,305,311,316,311,310,307
Shares Change (YoY),-2.75%,-1.64%,-3.49%,-6.62%,-2.39%,-1.92%,-1.54%,1.67%,0.28%,0.74%,0.47%
EPS (Basic),2.70,2.62,3.50,4.15,3.68,2.09,1.75,1.53,1.73,1.51,1.39
EPS (Diluted),2.69,2.62,3.49,4.13,3.66,2.09,1.74,1.52,1.72,1.50,1.38
EPS Growth,0.63%,-25.00%,-15.50%,12.84%,74.74%,20.38%,14.47%,-11.63%,15.02%,8.36%,10.40%
Free Cash Flow,722,810,998,"1,028","1,074","1,271",798.3,460.71,339.81,427.94,373.79
Free Cash Flow Per Share,2.79,3.07,3.72,3.70,3.61,4.17,2.57,1.46,1.09,1.38,1.22
Dividend Per Share,1.200,1.200,1.125,1.025,0.250,-,-,-,-,-,-
Dividend Growth,-,6.67%,9.76%,310.00%,-,-,-,-,-,-,-
Gross Margin,39.06%,39.19%,40.23%,40.82%,40.66%,39.56%,38.96%,38.52%,39.02%,39.05%,39.40%
Operating Margin,8.65%,9.38%,10.28%,11.27%,11.41%,9.52%,8.00%,7.98%,8.90%,9.33%,10.07%
Profit Margin,4.94%,4.81%,6.75%,8.98%,8.33%,5.49%,4.33%,4.04%,5.48%,5.41%,5.88%
Free Cash Flow Margin,5.12%,5.64%,7.20%,8.04%,8.21%,10.93%,6.38%,3.88%,3.49%,4.98%,5.20%
EBITDA,"1,640","1,753","1,744","1,706","1,777","1,401","1,313","1,241","1,097",999.49,852.33
EBITDA Margin,11.63%,12.21%,12.58%,13.33%,13.58%,12.05%,10.50%,10.45%,11.27%,11.64%,11.85%
D&A For EBITDA,420,406,319,264,284,294,312.08,294.08,230.2,198.33,128.19
EBIT,"1,220","1,347","1,425","1,442","1,493","1,107","1,000",947.37,866.99,801.16,724.14
EBIT Margin,8.65%,9.38%,10.28%,11.27%,11.41%,9.52%,8.00%,7.98%,8.90%,9.33%,10.07%
Effective Tax Rate,25.27%,28.26%,24.48%,25.18%,23.28%,28.09%,28.38%,28.19%,30.49%,32.59%,34.17%
