Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,025","9,554","12,789","14,270","17,498","10,725","10,941","7,551","12,569","9,425","9,052"
Market Cap Growth,-18.25%,-25.30%,-10.38%,-18.45%,63.15%,-1.97%,44.89%,-39.92%,33.35%,4.13%,6.22%
Enterprise Value,"13,241","14,991","18,118","17,727","20,913","14,848","15,797","11,684","15,494","12,420","10,524"
Last Close Price,31.35,35.89,45.38,49.63,54.68,31.96,32.38,21.52,36.88,27.80,26.87
PE Ratio,11.65,13.85,13.66,12.42,16.04,16.81,20.21,15.73,23.55,20.31,21.39
Forward PE,9.88,10.36,11.97,13.39,15.37,12.95,14.10,9.66,19.56,15.53,19.06
PS Ratio,0.57,0.67,0.92,1.12,1.34,0.92,0.88,0.64,1.29,1.10,1.26
PB Ratio,1.23,1.58,2.07,2.60,3.01,1.88,2.16,1.56,2.99,2.74,2.91
P/TBV Ratio,1146.36,-,-,29.67,36.01,42.91,-,-,-,-,15.60
P/FCF Ratio,11.11,11.79,12.81,13.88,16.29,8.44,13.71,16.39,36.99,22.03,24.22
P/OCF Ratio,8.29,8.52,9.43,11.42,12.80,7.43,10.28,10.62,24.22,14.84,16.63
PEG Ratio,-,1.40,1.40,1.40,1.40,1.40,1.76,0.71,1.35,0.88,1.06
EV/Sales Ratio,0.94,1.04,1.31,1.39,1.60,1.28,1.26,0.98,1.59,1.45,1.46
EV/EBITDA Ratio,8.07,8.55,10.39,10.39,11.77,10.60,12.04,9.41,14.12,12.43,12.35
EV/EBIT Ratio,10.85,11.13,12.71,12.29,14.01,13.41,15.79,12.33,17.87,15.50,14.53
EV/FCF Ratio,18.34,18.51,18.15,17.24,19.47,11.68,19.79,25.36,45.60,29.02,28.16
Debt / Equity Ratio,0.84,0.93,0.91,0.72,0.73,0.76,1.07,0.90,0.82,0.97,0.51
Debt / EBITDA Ratio,2.51,2.49,2.59,1.88,1.93,2.40,3.13,3.51,3.16,3.35,1.86
Debt / FCF Ratio,7.63,6.93,5.65,3.83,3.93,3.42,6.80,9.45,10.20,7.82,4.24
Asset Turnover,0.91,0.96,1.02,1.04,1.05,0.93,1.03,1.14,1.10,1.23,1.29
Inventory Turnover,2.67,2.75,2.82,2.82,3.09,2.71,2.72,2.80,2.75,3.00,2.92
Quick Ratio,0.47,0.47,0.44,0.56,0.62,0.70,0.76,0.88,0.99,0.90,0.90
Current Ratio,1.60,1.71,1.47,1.88,1.97,2.03,2.15,2.68,2.89,2.95,3.11
Return on Equity (ROE),10.88%,11.35%,16.18%,20.24%,18.96%,11.89%,10.96%,10.78%,14.04%,13.91%,14.51%
Return on Assets (ROA),4.91%,5.61%,6.57%,7.31%,7.47%,5.50%,5.17%,5.70%,6.13%,7.18%,8.14%
Return on Capital (ROIC),6.33%,7.18%,8.38%,9.26%,9.29%,6.74%,6.35%,7.02%,7.50%,8.72%,9.76%
Return on Capital Employed (ROCE),10.20%,11.10%,12.10%,14.80%,14.30%,10.70%,9.40%,9.80%,10.80%,11.30%,14.80%
Earnings Yield,8.69%,7.22%,7.32%,8.05%,6.24%,5.95%,4.95%,6.36%,4.25%,4.92%,4.68%
FCF Yield,9.00%,8.48%,7.80%,7.20%,6.14%,11.85%,7.30%,6.10%,2.70%,4.54%,4.13%
Dividend Yield,3.86%,3.34%,2.48%,2.07%,0.46%,-,-,-,-,-,-
Payout Ratio,44.54%,46.09%,32.27%,24.72%,6.69%,-,-,-,-,-,-
Buyback Yield / Dilution,2.75%,1.64%,3.49%,6.62%,2.39%,1.92%,1.54%,-1.67%,-0.28%,-0.74%,-0.47%
Total Shareholder Return,6.58%,4.98%,5.97%,8.68%,2.85%,1.92%,1.54%,-1.67%,-0.28%,-0.74%,-0.47%
