Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,753","9,279","17,988","36,014","24,681","22,168","3,198",503,206,63,159
Market Cap Growth,-66.32%,-48.42%,-50.05%,45.92%,11.34%,593.18%,535.90%,143.97%,229.66%,-60.70%,-74.48%
Enterprise Value,"3,509","8,845","17,521","35,906","24,330","21,883","3,112",499,225,75,154
Last Close Price,28.68,68.68,132.14,264.96,182.94,175.47,26.13,4.73,2.41,1.01,3.51
PE Ratio,19.90,90.39,40.98,90.63,169.69,165.44,19.85,-,-,-,-
Forward PE,13.96,20.07,39.24,52.35,66.66,103.35,24.77,19.67,259.14,-,-
PS Ratio,2.50,6.98,7.85,15.45,17.86,28.63,5.12,1.59,0.72,0.19,0.45
PB Ratio,3.77,11.14,18.29,43.62,57.38,45.80,11.75,64.67,-22.59,48.10,3.84
P/TBV Ratio,4.98,16.68,26.64,73.01,178.13,52.09,14.80,-,-,-,4.94
P/FCF Ratio,17.27,19.33,30.68,51.57,82.33,113.23,25.73,41.98,-,-,-
P/OCF Ratio,14.65,18.06,25.82,48.35,70.11,102.47,23.00,31.17,-,-,-
EV/Sales Ratio,2.32,6.65,7.65,15.41,17.60,28.26,4.99,1.58,0.79,0.23,0.43
EV/EBITDA Ratio,12.47,54.24,33.29,70.18,96.71,106.98,26.06,30.80,-,-,-
EV/EBIT Ratio,16.95,97.79,37.97,79.29,110.22,117.37,29.55,76.44,-,-,-
EV/FCF Ratio,16.15,18.42,29.88,51.41,81.16,111.77,25.04,41.63,-,-,-
Debt / Equity Ratio,1.24,1.60,1.34,1.59,2.45,0.72,0.43,14.12,-5.45,26.08,0.41
Debt / EBITDA Ratio,4.20,7.65,2.46,2.53,4.07,1.67,0.96,6.78,-,-,-
Debt / FCF Ratio,5.68,2.77,2.25,1.88,3.51,1.79,0.95,9.16,-,-,-
Asset Turnover,0.46,0.40,0.71,0.90,0.84,0.81,1.19,1.24,1.72,1.96,2.25
Inventory Turnover,5.93,4.54,7.08,12.10,14.25,11.61,16.68,10.49,7.94,7.27,7.98
Quick Ratio,1.52,2.88,4.11,3.27,3.13,1.65,2.07,1.35,1.03,0.95,1.02
Current Ratio,2.04,3.53,4.59,3.55,3.33,1.75,2.51,1.51,1.42,1.42,1.67
Return on Equity (ROE),20.30%,11.30%,48.52%,63.29%,31.82%,35.44%,115.11%,-,-,-315.62%,-49.96%
Return on Assets (ROA),3.93%,1.70%,8.92%,10.96%,8.41%,12.18%,12.50%,1.60%,-8.44%,-22.38%,-8.31%
Return on Capital (ROIC),5.76%,2.53%,12.98%,15.62%,11.90%,19.02%,25.92%,5.16%,-37.03%,-78.65%,-25.07%
Return on Capital Employed (ROCE),9.60%,3.50%,16.20%,18.50%,13.50%,28.00%,20.50%,3.40%,-,-,-
Earnings Yield,5.21%,1.11%,2.44%,1.10%,0.59%,0.60%,5.04%,-2.31%,-21.92%,-107.89%,-13.88%
FCF Yield,5.79%,5.17%,3.26%,1.94%,1.21%,0.88%,3.89%,2.38%,-15.80%,-72.16%,-21.17%
Buyback Yield / Dilution,-0.92%,2.29%,0.76%,-1.06%,-0.68%,-7.80%,-32.15%,-20.11%,-64.17%,-13.19%,-4.03%
