Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,001","3,402","2,615","2,546","2,974","2,533","2,733","2,079","2,188","2,264","1,609"
Market Cap Growth,-8.33%,30.10%,2.71%,-14.41%,17.45%,-7.32%,31.45%,-4.98%,-3.37%,40.73%,1.73%
Enterprise Value,"3,872","4,156","3,339","3,208","3,542","3,037","3,240","2,444","2,484","2,540","1,911"
PE Ratio,22.41,28.22,22.22,22.95,28.12,27.40,31.45,24.68,22.41,29.96,22.55
PS Ratio,4.24,5.16,3.88,3.64,5.01,4.83,4.92,3.81,3.99,4.27,2.93
PB Ratio,2.32,2.77,2.29,2.35,2.90,2.60,3.19,2.55,2.81,3.13,2.33
P/FCF Ratio,-,83.26,168.82,-,-,-,-,-,94.12,35.26,23.26
P/OCF Ratio,10.25,12.25,11.01,16.56,21.63,14.69,20.94,13.58,16.65,15.31,11.39
EV/Sales Ratio,5.46,6.30,4.95,4.59,5.97,5.79,5.84,4.48,4.52,4.79,3.48
EV/EBITDA Ratio,13.84,16.35,13.80,13.84,17.26,15.80,17.93,13.82,13.75,14.76,11.34
EV/EBIT Ratio,21.82,26.63,21.96,20.42,26.45,24.68,28.36,19.53,18.98,19.47,15.38
EV/FCF Ratio,-,101.72,215.54,-,-,-,-,-,106.86,39.57,27.63
Debt / Equity Ratio,0.65,0.65,0.69,0.68,0.63,0.62,0.66,0.63,0.55,0.54,0.57
Debt / EBITDA Ratio,3.00,3.13,3.25,3.17,3.17,3.12,3.11,2.90,2.36,2.25,2.32
Debt / FCF Ratio,-,19.50,50.94,-,-,-,-,-,18.36,6.03,5.65
Quick Ratio,0.43,0.94,0.68,0.54,0.97,0.63,0.76,1.34,1.51,1.68,1.79
Current Ratio,0.91,1.81,1.52,1.08,1.69,1.10,1.41,1.99,2.30,2.66,3.03
Asset Turnover,0.25,0.24,0.26,0.29,0.26,0.24,0.27,0.28,0.30,0.30,0.32
Return on Equity (ROE),10.80%,10.17%,10.60%,10.52%,10.56%,10.09%,10.39%,10.56%,12.99%,10.68%,10.57%
Return on Assets (ROA),3.86%,3.54%,3.66%,4.02%,3.62%,3.55%,3.51%,4.07%,4.47%,4.62%,4.54%
Return on Capital (ROIC),5.41%,4.93%,5.07%,5.62%,5.14%,5.14%,5.20%,6.17%,7.06%,7.44%,7.23%
Return on Capital Employed (ROCE),6.40%,5.80%,6.00%,6.90%,5.90%,6.00%,5.80%,6.70%,7.60%,7.70%,7.60%
Earnings Yield,4.43%,3.54%,4.50%,4.36%,3.56%,3.65%,3.18%,4.05%,4.46%,3.34%,4.44%
FCF Yield,-1.04%,1.20%,0.59%,-0.84%,-0.53%,-1.21%,-1.23%,-2.85%,1.06%,2.84%,4.30%
Dividend Yield,2.30%,1.90%,2.40%,2.40%,2.00%,2.29%,1.98%,2.54%,2.35%,2.23%,3.07%
Payout Ratio,50.13%,52.75%,51.31%,51.82%,51.80%,55.97%,55.07%,54.34%,44.75%,55.29%,56.13%
Buyback Yield / Dilution,-0.86%,-0.15%,-0.03%,-0.02%,-1.56%,-2.72%,-,-,-,-,-
Total Shareholder Return,1.44%,1.75%,2.36%,2.38%,0.45%,-0.43%,1.98%,2.54%,2.35%,2.23%,3.07%
