Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,281","5,507","4,055","4,035","5,131","3,314","3,370","3,041","3,586","3,822","2,295"
Market Cap Growth,59.28%,35.83%,0.49%,-21.37%,54.85%,-1.66%,10.81%,-15.21%,-6.17%,66.56%,-11.34%
Last Close Price,109.03,111.63,81.28,79.52,99.36,63.68,62.04,54.08,62.79,66.35,39.40
PE Ratio,12.26,12.48,11.58,9.35,14.54,11.57,13.83,15.55,14.51,24.07,19.77
PS Ratio,3.27,3.51,2.85,2.82,4.06,2.85,3.17,3.23,3.81,4.42,2.99
PB Ratio,1.16,1.59,1.31,1.51,1.63,1.10,1.29,1.37,1.64,1.95,1.21
P/FCF Ratio,10.33,27.39,9.10,5.62,10.26,10.57,12.59,12.79,12.36,15.56,14.51
P/OCF Ratio,9.70,24.45,8.58,5.24,9.61,8.87,9.91,10.28,10.98,12.89,10.83
Debt / Equity Ratio,0.46,0.91,1.44,1.05,1.14,0.88,0.79,0.72,0.62,0.99,1.01
Debt / FCF Ratio,4.31,15.70,10.02,3.89,7.17,8.51,7.65,6.76,4.65,7.92,12.15
Return on Equity (ROE),11.06%,13.44%,12.14%,14.85%,11.46%,10.19%,10.08%,8.90%,8.83%,7.97%,5.46%
Return on Assets (ROA),1.02%,0.94%,0.85%,1.06%,0.93%,0.96%,0.98%,0.87%,0.86%,0.77%,0.53%
Earnings Yield,7.19%,8.01%,8.63%,10.70%,6.88%,8.65%,7.23%,6.43%,6.89%,4.15%,5.06%
FCF Yield,9.68%,3.65%,10.99%,17.79%,9.75%,9.46%,7.94%,7.82%,8.09%,6.43%,6.89%
Dividend Yield,1.57%,1.41%,1.88%,1.87%,1.39%,1.96%,1.95%,2.16%,1.66%,1.49%,2.41%
Payout Ratio,18.33%,17.48%,21.21%,16.69%,18.91%,21.04%,24.40%,29.81%,20.99%,30.88%,39.60%
Buyback Yield / Dilution,-36.59%,-0.60%,-0.03%,-0.02%,-0.82%,1.52%,1.37%,0.14%,-1.14%,-3.57%,-4.70%
Total Shareholder Return,-35.01%,0.80%,1.85%,1.85%,0.57%,3.48%,3.32%,2.30%,0.52%,-2.08%,-2.28%
